timestamp,cpu_percent,mem_used_mb
1762514231.0902739,27.00,13186.12
1762514232.0917559,27.80,13206.09
1762514233.0925825,11.80,13209.07
1762514234.0936882,15.00,13190.18
1762514235.0947163,20.00,13197.11
1762514236.095932,9.10,13199.88
1762514237.096838,16.10,13207.80
1762514238.098485,11.80,13188.18
1762514239.09964,6.60,13194.18
1762514240.1005955,7.80,13193.86
1762514241.1023862,10.30,13197.17
1762514242.1035163,6.40,13197.29
1762514243.1044097,8.00,13200.99
1762514244.1060622,7.30,13192.98
1762514245.1069965,14.20,13177.69
1762514246.1076167,7.00,13177.98
1762514247.1090565,12.00,13181.15
1762514248.110883,9.60,13170.01
1762514249.1120725,10.00,13158.53
1762514250.1131115,6.10,13159.18
1762514251.1143074,8.50,13157.25
1762514252.117078,6.80,13153.64
1762514253.1178663,13.00,13150.20
1762514254.119047,6.30,13151.66
1762514255.1200056,7.70,13157.38
1762514256.1207683,9.60,13179.34
1762514257.1221611,15.80,13165.20
1762514258.123804,11.90,13161.46
1762514259.1250556,10.70,13161.14
1762514260.1268892,10.30,13161.68
1762514261.127953,9.00,13154.98
1762514262.128894,7.30,13156.90
1762514263.1294734,9.00,13173.30
1762514264.1304028,5.20,13167.38
1762514265.1315887,6.20,13175.00
1762514266.1328125,15.30,13173.32
1762514267.133475,6.90,13164.36
1762514268.134214,10.10,13168.35
1762514269.1353414,9.30,13165.27
1762514270.1368146,11.80,13166.57
1762514271.1381485,20.40,13166.60
1762514272.1391578,19.20,13166.48
1762514273.1409433,9.10,13162.94
1762514274.1418483,6.10,13163.39
1762514275.142945,9.50,13162.74
1762514276.1442947,6.20,13156.55
1762514277.1453574,7.90,13161.11
1762514278.1467788,8.70,13169.53
1762514279.1476312,7.10,13169.28
1762514280.1482747,6.50,13171.29
1762514281.1497765,8.20,13162.55
1762514282.1505005,6.30,13160.69
1762514283.1516256,11.90,13152.45
1762514284.1527297,6.60,13158.65
1762514285.1541107,9.00,13153.25
1762514286.155078,11.80,13189.20
1762514287.1567078,13.30,13175.98
1762514288.1575894,9.40,13168.01
1762514289.1589906,8.40,13175.00
1762514290.1605663,5.60,13175.88
1762514291.1621633,7.20,13175.41
1762514292.1629603,7.80,13176.05
1762514293.164159,6.70,13172.04
1762514294.1657233,8.50,13171.64
1762514295.16632,8.60,13172.17
1762514296.1673832,6.30,13177.24
1762514297.1682708,8.90,13178.14
1762514298.1694837,12.00,13179.68
1762514299.171133,10.10,13180.90
1762514300.171911,8.00,13176.74
1762514301.1735604,10.60,13179.89
1762514302.1744013,14.00,13180.79
1762514303.175182,9.60,13183.12
1762514304.1763039,9.10,13192.49
1762514305.177437,9.50,13190.73
1762514306.1791327,7.20,13200.78
1762514307.1800573,8.50,13194.83
1762514308.1811626,5.80,13194.91
1762514309.18239,4.40,13193.99
1762514310.183935,10.30,13196.96
1762514311.184882,7.50,13192.99
