timestamp,cpu_percent,mem_used_mb
1762514649.7381487,100.00,24381.78
1762514650.750667,100.00,24374.46
1762514651.754761,100.00,24303.99
1762514652.7567787,100.00,24307.79
1762514653.757824,100.00,24252.00
1762514654.7600837,100.00,24244.33
1762514655.7658293,100.00,24227.20
1762514656.7675748,88.20,24262.95
1762514657.7686536,65.30,24236.65
1762514658.7698195,82.40,24247.42
1762514659.7709517,77.00,24221.34
1762514660.7718601,45.90,24222.90
1762514661.772797,70.40,24223.97
1762514662.774095,82.90,24223.95
1762514663.7754374,91.00,24218.20
1762514664.7764232,75.60,24212.46
1762514665.778145,66.40,24213.74
1762514666.7791073,72.10,24213.72
1762514667.7798843,31.80,24200.97
1762514668.780669,82.20,24200.88
