timestamp,cpu_percent,mem_used_mb
1761989112.753522,31.80,2431.18
1761989113.7558281,1.00,2431.18
1761989114.7584126,1.00,2431.18
1761989115.7609992,1.50,2431.18
1761989116.763518,2.00,2431.17
1761989117.765565,2.00,2431.15
1761989118.7675748,1.00,2430.66
1761989119.7692041,6.40,2415.34
1761989120.7706738,7.00,2415.64
1761989121.7725525,5.30,2415.54
1761989122.7743495,6.10,2415.75
1761989123.776041,2.60,2415.99
1761989124.7778332,3.00,2415.99
1761989125.7798703,2.00,2413.83
1761989126.7817104,4.10,2413.33
1761989127.7838838,4.70,2413.07
1761989128.785893,4.10,2413.76
1761989129.7878597,4.30,2413.53
1761989130.7894537,7.30,2413.31
1761989131.7911537,5.60,2413.56
1761989132.793851,4.10,2413.41
1761989133.7958398,4.70,2413.88
1761989134.797759,4.60,2413.88
1761989135.7993436,3.10,2413.87
1761989136.8004677,4.70,2413.87
1761989137.8015676,2.60,2413.12
1761989138.8033845,2.10,2413.25
1761989139.805131,3.10,2413.74
1761989140.8071134,3.10,2413.74
1761989141.80948,3.10,2413.74
1761989142.8111615,3.10,2413.74
1761989143.8130524,5.20,2413.74
1761989144.8151116,3.60,2413.96
1761989145.81736,4.10,2414.59
1761989146.8193798,2.60,2413.79
1761989147.8214972,5.70,2414.91
1761989148.8235478,4.60,2414.91
1761989149.8255723,2.00,2411.76
1761989150.8278198,2.50,2411.75
1761989151.8301036,1.50,2411.74
1761989152.8328133,2.00,2411.98
1761989153.834877,1.50,2412.23
1761989154.8370795,1.00,2412.23
1761989155.8396928,2.50,2412.23
1761989156.841863,1.00,2412.23
1761989157.844091,1.50,2412.44
1761989158.846143,0.50,2412.44
1761989159.8481145,1.50,2412.44
1761989160.8504837,0.50,2412.44
1761989161.8527396,1.50,2412.44
1761989162.854724,1.00,2412.44
1761989163.8565989,1.00,2412.43
1761989164.8586314,1.00,2412.43
1761989165.8607938,0.00,2412.43
1761989166.8630252,1.50,2412.43
1761989167.865194,0.50,2412.43
1761989168.8675125,0.50,2412.43
1761989169.869665,0.50,2412.43
1761989170.871183,1.50,2412.43
1761989171.8739347,7.00,2412.67
1761989172.8761027,1.00,2412.67
1761989173.8781295,0.50,2412.67
1761989174.880717,1.00,2412.67
1761989175.8831632,0.50,2412.66
1761989176.8857098,1.00,2412.66
1761989177.8878775,0.00,2412.66
1761989178.8886552,1.00,2412.66
1761989179.89041,1.50,2412.66
1761989180.8921838,0.50,2412.66
1761989181.8945863,0.50,2412.66
1761989182.897407,0.50,2412.66
1761989183.8992054,0.00,2412.66
1761989184.9014137,0.50,2412.66
1761989185.903998,1.00,2412.66
1761989186.9060702,0.00,2412.66
1761989187.9079804,1.00,2412.66
1761989188.909829,1.00,2412.65
1761989189.9117594,1.00,2412.65
1761989190.9140916,1.50,2412.65
1761989191.9163697,2.00,2412.65
1761989192.9186494,0.00,2412.65
1761989193.9208157,12.60,2404.77
1761989194.922996,0.50,2404.77
1761989195.92472,1.00,2404.77
1761989196.9268126,5.10,2405.00
1761989197.9287627,4.00,2404.96
1761989198.931635,0.50,2404.96
1761989199.93398,1.00,2404.96
1761989200.935935,1.00,2404.96
1761989201.937739,0.00,2404.96
1761989202.9396148,1.00,2404.96
1761989203.9415774,0.00,2404.96
1761989204.9437742,0.00,2404.97
1761989205.94595,1.00,2404.97
1761989206.94783,2.00,2404.96
1761989207.9498274,1.00,2404.96
1761989208.9516723,1.50,2404.96
1761989209.9538245,0.50,2404.96
1761989210.9566114,1.00,2404.95
1761989211.9588108,0.50,2404.95
1761989212.9607768,1.50,2404.94
1761989213.9629798,0.50,2404.94
1761989214.964825,0.50,2404.94
1761989215.9668996,2.50,2404.94
1761989216.9689593,0.50,2404.93
1761989217.9707377,1.00,2404.93
1761989218.9729242,1.00,2404.93
1761989219.974699,1.00,2405.18
1761989220.976969,1.00,2405.18
1761989221.9793973,0.50,2405.18
1761989222.9825761,0.50,2405.17
1761989223.9845731,0.50,2405.17
1761989224.987119,0.50,2405.17
1761989225.9894824,0.50,2405.17
1761989226.9919846,0.00,2405.17
1761989227.9939551,1.00,2405.17
1761989228.99659,0.50,2405.17
1761989229.9989135,0.50,2405.17
1761989231.0009592,1.50,2405.17
1761989232.0016675,1.00,2405.17
1761989233.0037181,6.50,2405.17
1761989234.0057793,0.00,2405.17
1761989235.0077896,0.50,2405.17
1761989236.009725,1.00,2405.16
1761989237.0119858,0.50,2405.16
1761989238.0144718,1.00,2405.15
1761989239.0167668,0.50,2405.15
1761989240.0186968,1.00,2405.15
1761989241.020555,0.50,2405.15
1761989242.0229192,1.00,2405.15
1761989243.025091,0.50,2405.14
1761989244.0270138,0.50,2405.14
1761989245.0290716,0.00,2405.14
1761989246.0314894,1.00,2405.14
1761989247.0337203,0.50,2405.14
1761989248.0357058,1.00,2405.14
1761989249.0378811,0.50,2405.14
1761989250.039793,1.00,2405.14
1761989251.0417206,2.00,2405.14
1761989252.0438037,3.70,2384.83
1761989253.0457156,5.90,2385.07
1761989254.047629,8.90,2385.32
1761989255.0492227,2.60,2381.05
1761989256.051165,4.80,2381.37
1761989257.052994,4.80,2381.03
1761989258.0547235,6.20,2380.77
1761989259.0565858,5.70,2381.00
1761989260.0582044,5.70,2381.21
1761989261.0604498,2.60,2381.33
1761989262.062111,1.00,2381.80
1761989263.063928,3.20,2381.34
1761989264.0657713,4.20,2381.33
1761989265.0680904,6.70,2381.39
1761989266.070076,4.10,2381.26
1761989267.0718064,3.60,2381.34
1761989268.0735774,6.20,2381.83
1761989269.0755174,6.10,2381.62
1761989270.0773768,6.20,2381.52
1761989271.0792348,5.20,2381.18
1761989272.0815747,4.30,2381.65
1761989273.083431,2.10,2381.16
1761989274.0851474,4.60,2381.63
1761989275.0870433,6.70,2381.88
1761989276.089196,6.30,2381.87
1761989277.0909536,5.80,2381.58
1761989278.092501,6.90,2381.39
1761989279.0940385,6.20,2381.88
1761989280.0950677,4.10,2381.88
1761989281.0967245,3.70,2381.88
1761989282.0989366,6.20,2382.61
1761989283.1019676,1.00,2382.58
1761989284.1045544,0.00,2382.58
1761989285.106201,2.00,2383.06
1761989286.1081522,3.50,2386.50
1761989287.1101213,1.00,2386.50
1761989288.111931,2.50,2386.51
1761989289.1138847,1.00,2386.50
1761989290.1159856,0.50,2386.50
1761989291.118198,1.50,2386.50
1761989292.120593,1.00,2386.50
1761989293.1228764,8.60,2386.50
1761989294.124755,1.50,2386.50
1761989295.1274652,1.00,2386.50
1761989296.1289673,0.50,2386.49
1761989297.1314857,1.00,2386.49
1761989298.1338267,1.50,2386.49
1761989299.135784,1.00,2386.48
1761989300.1377187,1.00,2386.48
1761989301.1398282,2.00,2386.48
1761989302.1419036,1.00,2386.48
1761989303.1436937,0.50,2386.48
1761989304.1456625,2.00,2386.46
1761989305.1482198,1.50,2386.70
1761989306.1504185,1.00,2386.69
1761989307.1521995,1.00,2386.69
1761989308.1548042,1.00,2386.69
1761989309.155886,1.50,2386.69
1761989310.1581883,1.50,2386.69
1761989311.160118,2.00,2386.69
1761989312.1620247,2.00,2387.42
1761989313.164028,1.00,2387.42
1761989314.1666696,1.00,2387.42
