PING 192.168.0.104 (192.168.0.104) 56(84) bytes of data.
64 bytes from 192.168.0.104: icmp_seq=1 ttl=64 time=10.1 ms
64 bytes from 192.168.0.104: icmp_seq=2 ttl=64 time=5.02 ms
64 bytes from 192.168.0.104: icmp_seq=3 ttl=64 time=7.32 ms
64 bytes from 192.168.0.104: icmp_seq=4 ttl=64 time=4.44 ms
64 bytes from 192.168.0.104: icmp_seq=5 ttl=64 time=4.28 ms
64 bytes from 192.168.0.104: icmp_seq=6 ttl=64 time=3.64 ms
64 bytes from 192.168.0.104: icmp_seq=7 ttl=64 time=18.7 ms
64 bytes from 192.168.0.104: icmp_seq=8 ttl=64 time=6.42 ms
64 bytes from 192.168.0.104: icmp_seq=9 ttl=64 time=19.2 ms
64 bytes from 192.168.0.104: icmp_seq=10 ttl=64 time=12.5 ms
64 bytes from 192.168.0.104: icmp_seq=11 ttl=64 time=3.37 ms
64 bytes from 192.168.0.104: icmp_seq=12 ttl=64 time=9.96 ms
64 bytes from 192.168.0.104: icmp_seq=13 ttl=64 time=5.25 ms
64 bytes from 192.168.0.104: icmp_seq=14 ttl=64 time=9.08 ms
64 bytes from 192.168.0.104: icmp_seq=15 ttl=64 time=13.4 ms
64 bytes from 192.168.0.104: icmp_seq=16 ttl=64 time=6.57 ms
64 bytes from 192.168.0.104: icmp_seq=17 ttl=64 time=7.28 ms
64 bytes from 192.168.0.104: icmp_seq=18 ttl=64 time=10.1 ms
64 bytes from 192.168.0.104: icmp_seq=19 ttl=64 time=5.76 ms
64 bytes from 192.168.0.104: icmp_seq=20 ttl=64 time=3.13 ms
64 bytes from 192.168.0.104: icmp_seq=21 ttl=64 time=4.50 ms
64 bytes from 192.168.0.104: icmp_seq=22 ttl=64 time=71.7 ms
64 bytes from 192.168.0.104: icmp_seq=23 ttl=64 time=4.68 ms
64 bytes from 192.168.0.104: icmp_seq=24 ttl=64 time=39.8 ms
64 bytes from 192.168.0.104: icmp_seq=25 ttl=64 time=11.6 ms
64 bytes from 192.168.0.104: icmp_seq=26 ttl=64 time=5.94 ms
64 bytes from 192.168.0.104: icmp_seq=27 ttl=64 time=6.02 ms
64 bytes from 192.168.0.104: icmp_seq=28 ttl=64 time=4.66 ms
64 bytes from 192.168.0.104: icmp_seq=29 ttl=64 time=5.05 ms
64 bytes from 192.168.0.104: icmp_seq=30 ttl=64 time=7.17 ms
64 bytes from 192.168.0.104: icmp_seq=31 ttl=64 time=4.15 ms
64 bytes from 192.168.0.104: icmp_seq=32 ttl=64 time=7.18 ms
64 bytes from 192.168.0.104: icmp_seq=33 ttl=64 time=6.68 ms
64 bytes from 192.168.0.104: icmp_seq=34 ttl=64 time=8.46 ms
64 bytes from 192.168.0.104: icmp_seq=35 ttl=64 time=40.0 ms
64 bytes from 192.168.0.104: icmp_seq=36 ttl=64 time=3.96 ms
64 bytes from 192.168.0.104: icmp_seq=37 ttl=64 time=75.8 ms
64 bytes from 192.168.0.104: icmp_seq=38 ttl=64 time=5.97 ms
64 bytes from 192.168.0.104: icmp_seq=39 ttl=64 time=4.47 ms
64 bytes from 192.168.0.104: icmp_seq=40 ttl=64 time=11.5 ms
64 bytes from 192.168.0.104: icmp_seq=41 ttl=64 time=15.4 ms
64 bytes from 192.168.0.104: icmp_seq=42 ttl=64 time=23.8 ms
64 bytes from 192.168.0.104: icmp_seq=43 ttl=64 time=11.9 ms
64 bytes from 192.168.0.104: icmp_seq=44 ttl=64 time=9.87 ms
64 bytes from 192.168.0.104: icmp_seq=45 ttl=64 time=8.17 ms
64 bytes from 192.168.0.104: icmp_seq=46 ttl=64 time=22.0 ms
64 bytes from 192.168.0.104: icmp_seq=47 ttl=64 time=60.5 ms
64 bytes from 192.168.0.104: icmp_seq=48 ttl=64 time=12.5 ms
64 bytes from 192.168.0.104: icmp_seq=49 ttl=64 time=4.14 ms
64 bytes from 192.168.0.104: icmp_seq=50 ttl=64 time=5.50 ms
64 bytes from 192.168.0.104: icmp_seq=51 ttl=64 time=15.8 ms
64 bytes from 192.168.0.104: icmp_seq=52 ttl=64 time=6.01 ms
64 bytes from 192.168.0.104: icmp_seq=53 ttl=64 time=7.75 ms
64 bytes from 192.168.0.104: icmp_seq=54 ttl=64 time=3.79 ms
64 bytes from 192.168.0.104: icmp_seq=55 ttl=64 time=3.63 ms
64 bytes from 192.168.0.104: icmp_seq=56 ttl=64 time=12.3 ms
64 bytes from 192.168.0.104: icmp_seq=57 ttl=64 time=14.1 ms
64 bytes from 192.168.0.104: icmp_seq=58 ttl=64 time=30.1 ms
64 bytes from 192.168.0.104: icmp_seq=59 ttl=64 time=5.51 ms
64 bytes from 192.168.0.104: icmp_seq=60 ttl=64 time=3.96 ms
64 bytes from 192.168.0.104: icmp_seq=61 ttl=64 time=3.37 ms
64 bytes from 192.168.0.104: icmp_seq=62 ttl=64 time=74.7 ms
64 bytes from 192.168.0.104: icmp_seq=63 ttl=64 time=19.4 ms
64 bytes from 192.168.0.104: icmp_seq=64 ttl=64 time=3.37 ms
64 bytes from 192.168.0.104: icmp_seq=65 ttl=64 time=4.47 ms
64 bytes from 192.168.0.104: icmp_seq=66 ttl=64 time=7.19 ms
64 bytes from 192.168.0.104: icmp_seq=67 ttl=64 time=4.55 ms
64 bytes from 192.168.0.104: icmp_seq=68 ttl=64 time=10.6 ms
64 bytes from 192.168.0.104: icmp_seq=69 ttl=64 time=12.0 ms
64 bytes from 192.168.0.104: icmp_seq=70 ttl=64 time=4.24 ms
64 bytes from 192.168.0.104: icmp_seq=71 ttl=64 time=4.97 ms
64 bytes from 192.168.0.104: icmp_seq=72 ttl=64 time=19.4 ms
64 bytes from 192.168.0.104: icmp_seq=73 ttl=64 time=5.98 ms
64 bytes from 192.168.0.104: icmp_seq=74 ttl=64 time=26.0 ms
64 bytes from 192.168.0.104: icmp_seq=75 ttl=64 time=4.94 ms
64 bytes from 192.168.0.104: icmp_seq=76 ttl=64 time=3.89 ms
64 bytes from 192.168.0.104: icmp_seq=77 ttl=64 time=6.44 ms
64 bytes from 192.168.0.104: icmp_seq=78 ttl=64 time=5.80 ms
64 bytes from 192.168.0.104: icmp_seq=79 ttl=64 time=3.38 ms
64 bytes from 192.168.0.104: icmp_seq=80 ttl=64 time=4.80 ms
64 bytes from 192.168.0.104: icmp_seq=81 ttl=64 time=7.00 ms
64 bytes from 192.168.0.104: icmp_seq=82 ttl=64 time=8.87 ms
64 bytes from 192.168.0.104: icmp_seq=83 ttl=64 time=5.69 ms
64 bytes from 192.168.0.104: icmp_seq=84 ttl=64 time=5.45 ms
64 bytes from 192.168.0.104: icmp_seq=85 ttl=64 time=7.76 ms
64 bytes from 192.168.0.104: icmp_seq=86 ttl=64 time=6.15 ms
64 bytes from 192.168.0.104: icmp_seq=87 ttl=64 time=4.90 ms
64 bytes from 192.168.0.104: icmp_seq=88 ttl=64 time=4.25 ms
64 bytes from 192.168.0.104: icmp_seq=89 ttl=64 time=9.07 ms
64 bytes from 192.168.0.104: icmp_seq=90 ttl=64 time=5.38 ms
64 bytes from 192.168.0.104: icmp_seq=91 ttl=64 time=6.50 ms
64 bytes from 192.168.0.104: icmp_seq=92 ttl=64 time=8.50 ms
64 bytes from 192.168.0.104: icmp_seq=93 ttl=64 time=4.71 ms
64 bytes from 192.168.0.104: icmp_seq=94 ttl=64 time=5.57 ms
64 bytes from 192.168.0.104: icmp_seq=95 ttl=64 time=5.64 ms
64 bytes from 192.168.0.104: icmp_seq=96 ttl=64 time=5.50 ms
64 bytes from 192.168.0.104: icmp_seq=97 ttl=64 time=10.4 ms
64 bytes from 192.168.0.104: icmp_seq=98 ttl=64 time=5.02 ms
64 bytes from 192.168.0.104: icmp_seq=99 ttl=64 time=3.70 ms
64 bytes from 192.168.0.104: icmp_seq=100 ttl=64 time=6.20 ms

--- 192.168.0.104 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99161ms
rtt min/avg/max/mdev = 3.131/11.272/75.820/13.957 ms
