timestamp,cpu_percent,mem_used_mb
1761989919.0895734,5.80,888.84
1761989920.0913377,5.70,893.87
1761989921.0928686,3.10,898.68
1761989922.094445,4.10,889.10
1761989923.0959065,3.70,890.84
1761989924.0974777,4.60,888.45
1761989925.0989478,4.20,893.62
1761989926.1007547,3.10,890.61
1761989927.1024709,4.10,895.42
1761989928.1040478,2.60,900.23
1761989929.1055822,3.10,904.39
1761989930.1071827,2.60,909.66
1761989931.1096241,3.60,914.25
1761989932.1134548,3.60,914.64
1761989933.1151316,2.10,914.81
1761989934.11671,2.10,915.75
1761989935.1183832,2.00,915.39
1761989936.119884,1.50,915.75
1761989937.1214986,1.50,914.86
1761989938.124494,1.00,915.13
1761989939.1263304,1.00,914.87
1761989940.1280324,2.60,900.27
1761989941.1299863,3.10,903.10
1761989942.1328428,1.00,907.26
1761989943.134499,2.60,910.53
1761989944.1365185,2.10,914.47
1761989945.1382415,1.00,914.50
1761989946.139801,1.50,915.03
1761989947.141412,0.50,914.44
1761989948.1428835,2.10,915.56
