timestamp,cpu_percent,mem_used_mb
1761990997.457609,27.90,2682.44
1761990998.4593623,7.60,2682.43
1761990999.4609356,10.60,2682.43
1761991000.4626124,7.10,2682.43
1761991001.463579,4.00,2682.75
1761991002.4652085,3.00,2682.59
1761991003.4671414,4.10,2682.56
1761991004.4690416,1.00,2682.78
1761991005.470783,3.10,2683.00
1761991006.4731917,5.60,2682.92
1761991007.4760456,3.10,2682.89
1761991008.4780803,4.60,2683.37
1761991009.4811354,1.50,2683.33
1761991010.484485,3.10,2683.33
1761991011.4862745,1.00,2683.33
1761991012.4883933,1.00,2683.33
1761991013.4910328,1.00,2683.32
1761991014.493048,1.00,2683.32
1761991015.4951982,2.60,2683.32
1761991016.4976857,3.70,2683.32
1761991017.4999452,2.10,2683.32
1761991018.5020342,1.00,2683.31
1761991019.503977,2.00,2683.31
1761991020.5060859,1.60,2683.31
1761991021.510229,1.60,2683.31
1761991022.5130095,1.60,2683.31
1761991023.514904,1.50,2683.31
1761991024.5167167,2.10,2683.29
1761991025.5193791,3.00,2683.28
1761991026.5214403,2.10,2683.28
1761991027.5238302,15.60,2683.51
1761991028.5260813,4.10,2683.51
1761991029.5276575,1.50,2683.51
1761991030.529504,4.70,2683.51
1761991031.5326128,3.10,2683.50
1761991032.5337083,3.00,2676.34
1761991033.5359304,7.10,2676.79
1761991034.5386379,1.00,2676.78
1761991035.541088,4.00,2677.02
1761991036.5435517,17.30,2655.62
1761991037.5461862,3.00,2655.86
1761991038.548476,0.50,2655.86
1761991039.5508041,2.50,2656.58
1761991040.5526092,15.10,2657.23
1761991041.5547097,2.50,2657.23
1761991042.5567844,10.20,2661.55
1761991043.5584848,9.10,2658.19
1761991044.5605462,3.50,2658.19
1761991045.5840447,1.00,2658.19
1761991046.5859609,3.50,2658.43
1761991047.5881495,3.10,2658.41
1761991048.5910141,14.10,2659.15
1761991049.635656,1.00,2659.15
1761991050.6380177,2.00,2659.14
1761991051.6397755,0.50,2659.14
