timestamp,cpu_percent,mem_used_mb
1761991957.4439907,10.20,1285.08
1761991958.446243,3.10,1287.25
1761991959.44743,1.50,1288.57
1761991960.449001,1.00,1288.78
1761991961.4506805,5.10,1289.65
1761991962.4523034,0.50,1289.87
1761991963.4538362,1.00,1290.75
1761991964.4554489,1.50,1292.52
1761991965.4572804,0.00,1294.05
1761991966.458859,1.50,1294.48
1761991967.4602354,2.00,1295.14
1761991968.4619284,0.50,1296.23
1761991969.4635077,0.50,1297.76
1761991970.4650495,1.00,1299.29
1761991971.4664617,1.00,1299.95
1761991972.4681742,1.00,1300.82
1761991973.470016,0.50,1302.13
1761991974.4716196,1.00,1303.22
1761991975.4738154,2.00,1304.54
1761991976.4754405,1.00,1305.41
1761991977.476993,0.50,1306.50
1761991978.4786394,0.50,1306.92
1761991979.480281,1.50,1307.80
1761991980.4819236,2.50,1307.99
1761991981.4834728,1.00,1308.43
1761991982.4850295,0.50,1309.08
1761991983.4866729,1.00,1309.96
1761991984.4882696,0.00,1311.27
1761991985.4898314,2.50,1311.39
1761991986.4916172,0.50,1311.20
