timestamp,cpu_percent,mem_used_mb
1761995512.5765452,58.30,1144.17
1761995513.5787828,9.20,1144.40
1761995514.5804188,1.50,1144.37
1761995515.5819166,1.00,1144.37
1761995516.583549,2.00,1144.37
1761995517.5852916,1.50,1144.36
1761995518.5868149,0.50,1144.36
1761995519.588736,0.50,1144.36
1761995520.5903885,1.00,1144.36
1761995521.5919063,0.50,1144.36
1761995522.5936365,0.00,1144.36
1761995523.5953135,1.00,1144.36
1761995524.5969927,0.50,1144.36
1761995525.5986598,0.50,1144.36
1761995526.6004195,7.70,1119.97
1761995527.6024864,61.70,1120.23
1761995528.6036687,69.70,1119.80
1761995529.6053472,46.50,1119.89
1761995530.6066253,44.00,1120.05
1761995531.6082675,28.60,1119.67
1761995532.6097054,34.80,1120.02
1761995533.6114612,76.30,1120.36
1761995534.6132047,50.30,1119.89
1761995535.6147897,33.50,1119.57
1761995536.6157415,14.50,1119.79
1761995537.616364,11.90,1119.79
1761995538.6177397,31.10,1120.04
1761995539.6187387,58.30,1119.57
1761995540.6203814,63.50,1119.98
1761995541.6217995,65.10,1120.20
1761995542.62433,51.00,1119.90
1761995543.625581,66.20,1120.03
1761995544.6266508,68.50,1120.33
1761995545.6288211,41.80,1120.23
1761995546.62942,53.30,1119.70
1761995547.6309316,13.10,1119.79
1761995548.6326146,11.80,1119.73
1761995549.6341805,20.30,1119.41
1761995550.635378,20.50,1119.82
1761995551.636899,21.10,1120.12
1761995552.6386204,22.90,1119.71
1761995553.6406758,63.00,1119.74
1761995554.641717,70.50,1119.83
1761995555.6431983,54.00,1120.00
1761995556.6446757,29.90,1112.39
1761995557.6463413,0.50,1112.39
1761995558.648114,0.00,1112.38
1761995559.6497667,1.00,1113.12
1761995560.6513672,0.50,1113.12
1761995561.6529942,0.50,1113.12
1761995562.6546347,0.50,1113.12
1761995563.656524,0.50,1113.12
1761995564.6583488,0.50,1113.11
1761995565.6599064,0.00,1113.11
1761995566.661739,0.00,1113.11
1761995567.6637132,0.50,1113.11
1761995568.66558,0.50,1113.11
1761995569.6672187,0.00,1113.11
1761995570.6686735,0.00,1113.11
1761995571.6705732,0.00,1113.11
1761995572.6721036,0.50,1113.11
1761995573.6736915,0.00,1113.11
1761995574.6753795,1.00,1113.11
1761995575.676927,1.00,1113.11
1761995576.6785548,0.00,1113.11
1761995577.6801581,0.00,1113.11
1761995578.6816223,0.50,1113.11
1761995579.68325,0.00,1113.11
1761995580.6848588,0.50,1113.11
1761995581.68646,0.50,1113.11
1761995582.6883745,0.00,1113.11
1761995583.6898854,0.00,1113.11
1761995584.6916497,0.00,1113.11
1761995585.6932914,0.50,1113.11
1761995586.6951222,0.00,1113.11
1761995587.69679,0.50,1113.11
1761995588.69844,0.50,1113.11
1761995589.700107,0.00,1113.11
1761995590.7018626,0.50,1113.11
1761995591.703418,0.50,1113.11
1761995592.7050836,0.00,1113.11
1761995593.7067661,0.50,1113.11
1761995594.7085223,0.00,1113.11
1761995595.710225,0.50,1113.11
1761995596.711777,0.00,1113.11
1761995597.7133648,0.50,1113.11
1761995598.7149248,0.50,1113.11
1761995599.7167623,0.00,1113.11
1761995600.7183545,0.00,1113.11
1761995601.720328,0.00,1113.11
1761995602.7221963,0.50,1113.11
1761995603.7238283,0.50,1113.11
1761995604.7254684,0.50,1113.11
1761995605.7276692,0.00,1113.11
1761995606.7297437,0.50,1113.06
1761995607.7313163,0.50,1113.06
1761995608.732871,0.00,1113.06
1761995609.7344081,0.00,1113.06
1761995610.7361052,0.00,1113.06
1761995611.7382123,0.50,1113.06
1761995612.7401507,0.00,1113.06
1761995613.741728,0.50,1113.06
1761995614.7436562,0.50,1113.06
1761995615.7453165,0.00,1113.06
1761995616.7469234,0.00,1113.06
1761995617.749328,0.00,1113.06
1761995618.7516224,0.00,1113.06
1761995619.7538126,0.50,1113.06
1761995620.7553663,0.00,1113.06
1761995621.7570794,0.00,1113.06
1761995622.7589138,0.00,1113.06
1761995623.7607112,0.50,1113.06
1761995624.7624028,0.50,1113.06
1761995625.7639823,0.00,1113.04
1761995626.7656162,0.00,1113.04
1761995627.7674422,0.00,1113.04
1761995628.769257,0.50,1113.04
1761995629.7709746,0.50,1113.04
1761995630.7725832,0.00,1113.04
1761995631.7743182,0.00,1113.04
1761995632.775884,0.50,1113.04
1761995633.7777755,0.00,1113.04
1761995634.7799797,0.00,1113.04
