PING 192.168.0.135 (192.168.0.135) 56(84) bytes of data.
64 bytes from 192.168.0.135: icmp_seq=1 ttl=64 time=1.50 ms
64 bytes from 192.168.0.135: icmp_seq=2 ttl=64 time=0.480 ms
64 bytes from 192.168.0.135: icmp_seq=3 ttl=64 time=0.495 ms
64 bytes from 192.168.0.135: icmp_seq=4 ttl=64 time=0.389 ms
64 bytes from 192.168.0.135: icmp_seq=5 ttl=64 time=0.567 ms
64 bytes from 192.168.0.135: icmp_seq=6 ttl=64 time=0.371 ms
64 bytes from 192.168.0.135: icmp_seq=7 ttl=64 time=0.664 ms
64 bytes from 192.168.0.135: icmp_seq=8 ttl=64 time=0.564 ms
64 bytes from 192.168.0.135: icmp_seq=9 ttl=64 time=0.469 ms
64 bytes from 192.168.0.135: icmp_seq=10 ttl=64 time=0.503 ms
64 bytes from 192.168.0.135: icmp_seq=11 ttl=64 time=0.737 ms
64 bytes from 192.168.0.135: icmp_seq=12 ttl=64 time=0.392 ms
64 bytes from 192.168.0.135: icmp_seq=13 ttl=64 time=0.488 ms
64 bytes from 192.168.0.135: icmp_seq=14 ttl=64 time=0.437 ms
64 bytes from 192.168.0.135: icmp_seq=15 ttl=64 time=0.599 ms
64 bytes from 192.168.0.135: icmp_seq=16 ttl=64 time=0.563 ms
64 bytes from 192.168.0.135: icmp_seq=17 ttl=64 time=0.545 ms
64 bytes from 192.168.0.135: icmp_seq=18 ttl=64 time=0.641 ms
64 bytes from 192.168.0.135: icmp_seq=19 ttl=64 time=0.529 ms
64 bytes from 192.168.0.135: icmp_seq=20 ttl=64 time=0.561 ms
64 bytes from 192.168.0.135: icmp_seq=21 ttl=64 time=0.956 ms
64 bytes from 192.168.0.135: icmp_seq=22 ttl=64 time=0.466 ms
64 bytes from 192.168.0.135: icmp_seq=23 ttl=64 time=0.541 ms
64 bytes from 192.168.0.135: icmp_seq=24 ttl=64 time=15.4 ms
64 bytes from 192.168.0.135: icmp_seq=25 ttl=64 time=0.703 ms
64 bytes from 192.168.0.135: icmp_seq=26 ttl=64 time=0.421 ms
64 bytes from 192.168.0.135: icmp_seq=27 ttl=64 time=0.713 ms
64 bytes from 192.168.0.135: icmp_seq=28 ttl=64 time=1.29 ms
64 bytes from 192.168.0.135: icmp_seq=29 ttl=64 time=0.633 ms
64 bytes from 192.168.0.135: icmp_seq=30 ttl=64 time=0.354 ms
64 bytes from 192.168.0.135: icmp_seq=31 ttl=64 time=0.475 ms
64 bytes from 192.168.0.135: icmp_seq=32 ttl=64 time=0.622 ms
64 bytes from 192.168.0.135: icmp_seq=33 ttl=64 time=0.694 ms
64 bytes from 192.168.0.135: icmp_seq=34 ttl=64 time=0.593 ms
64 bytes from 192.168.0.135: icmp_seq=35 ttl=64 time=0.593 ms
64 bytes from 192.168.0.135: icmp_seq=36 ttl=64 time=0.600 ms
64 bytes from 192.168.0.135: icmp_seq=37 ttl=64 time=0.787 ms
64 bytes from 192.168.0.135: icmp_seq=38 ttl=64 time=0.695 ms
64 bytes from 192.168.0.135: icmp_seq=39 ttl=64 time=0.676 ms
64 bytes from 192.168.0.135: icmp_seq=40 ttl=64 time=0.655 ms
64 bytes from 192.168.0.135: icmp_seq=41 ttl=64 time=0.850 ms
64 bytes from 192.168.0.135: icmp_seq=42 ttl=64 time=0.653 ms
64 bytes from 192.168.0.135: icmp_seq=43 ttl=64 time=0.553 ms
64 bytes from 192.168.0.135: icmp_seq=44 ttl=64 time=0.760 ms
64 bytes from 192.168.0.135: icmp_seq=45 ttl=64 time=0.520 ms
64 bytes from 192.168.0.135: icmp_seq=46 ttl=64 time=0.591 ms
64 bytes from 192.168.0.135: icmp_seq=47 ttl=64 time=0.563 ms
64 bytes from 192.168.0.135: icmp_seq=48 ttl=64 time=0.470 ms
64 bytes from 192.168.0.135: icmp_seq=49 ttl=64 time=0.460 ms
64 bytes from 192.168.0.135: icmp_seq=50 ttl=64 time=0.905 ms
64 bytes from 192.168.0.135: icmp_seq=51 ttl=64 time=0.526 ms
64 bytes from 192.168.0.135: icmp_seq=52 ttl=64 time=0.618 ms
64 bytes from 192.168.0.135: icmp_seq=53 ttl=64 time=0.626 ms
64 bytes from 192.168.0.135: icmp_seq=54 ttl=64 time=0.756 ms
64 bytes from 192.168.0.135: icmp_seq=55 ttl=64 time=0.619 ms
64 bytes from 192.168.0.135: icmp_seq=56 ttl=64 time=0.630 ms
64 bytes from 192.168.0.135: icmp_seq=57 ttl=64 time=0.715 ms
64 bytes from 192.168.0.135: icmp_seq=58 ttl=64 time=0.366 ms
64 bytes from 192.168.0.135: icmp_seq=59 ttl=64 time=0.650 ms
64 bytes from 192.168.0.135: icmp_seq=60 ttl=64 time=0.667 ms
64 bytes from 192.168.0.135: icmp_seq=61 ttl=64 time=0.593 ms
64 bytes from 192.168.0.135: icmp_seq=62 ttl=64 time=0.531 ms
64 bytes from 192.168.0.135: icmp_seq=63 ttl=64 time=0.479 ms
64 bytes from 192.168.0.135: icmp_seq=64 ttl=64 time=0.783 ms
64 bytes from 192.168.0.135: icmp_seq=65 ttl=64 time=0.779 ms
64 bytes from 192.168.0.135: icmp_seq=66 ttl=64 time=0.677 ms
64 bytes from 192.168.0.135: icmp_seq=67 ttl=64 time=0.626 ms
64 bytes from 192.168.0.135: icmp_seq=68 ttl=64 time=0.643 ms
64 bytes from 192.168.0.135: icmp_seq=69 ttl=64 time=0.723 ms
64 bytes from 192.168.0.135: icmp_seq=70 ttl=64 time=0.620 ms
64 bytes from 192.168.0.135: icmp_seq=71 ttl=64 time=0.607 ms
64 bytes from 192.168.0.135: icmp_seq=72 ttl=64 time=0.543 ms
64 bytes from 192.168.0.135: icmp_seq=73 ttl=64 time=0.642 ms
64 bytes from 192.168.0.135: icmp_seq=74 ttl=64 time=0.959 ms
64 bytes from 192.168.0.135: icmp_seq=75 ttl=64 time=0.912 ms
64 bytes from 192.168.0.135: icmp_seq=76 ttl=64 time=0.676 ms
64 bytes from 192.168.0.135: icmp_seq=77 ttl=64 time=0.778 ms
64 bytes from 192.168.0.135: icmp_seq=78 ttl=64 time=0.446 ms
64 bytes from 192.168.0.135: icmp_seq=79 ttl=64 time=0.659 ms
64 bytes from 192.168.0.135: icmp_seq=80 ttl=64 time=0.595 ms
64 bytes from 192.168.0.135: icmp_seq=81 ttl=64 time=1.64 ms
64 bytes from 192.168.0.135: icmp_seq=82 ttl=64 time=0.697 ms
64 bytes from 192.168.0.135: icmp_seq=83 ttl=64 time=0.625 ms
64 bytes from 192.168.0.135: icmp_seq=84 ttl=64 time=0.587 ms
64 bytes from 192.168.0.135: icmp_seq=85 ttl=64 time=0.539 ms
64 bytes from 192.168.0.135: icmp_seq=86 ttl=64 time=0.507 ms
64 bytes from 192.168.0.135: icmp_seq=87 ttl=64 time=0.445 ms
64 bytes from 192.168.0.135: icmp_seq=88 ttl=64 time=0.802 ms
64 bytes from 192.168.0.135: icmp_seq=89 ttl=64 time=0.553 ms
64 bytes from 192.168.0.135: icmp_seq=90 ttl=64 time=0.718 ms
64 bytes from 192.168.0.135: icmp_seq=91 ttl=64 time=0.632 ms
64 bytes from 192.168.0.135: icmp_seq=92 ttl=64 time=0.679 ms
64 bytes from 192.168.0.135: icmp_seq=93 ttl=64 time=0.670 ms
64 bytes from 192.168.0.135: icmp_seq=94 ttl=64 time=0.396 ms
64 bytes from 192.168.0.135: icmp_seq=95 ttl=64 time=0.563 ms
64 bytes from 192.168.0.135: icmp_seq=96 ttl=64 time=0.567 ms
64 bytes from 192.168.0.135: icmp_seq=97 ttl=64 time=0.559 ms
64 bytes from 192.168.0.135: icmp_seq=98 ttl=64 time=0.607 ms
64 bytes from 192.168.0.135: icmp_seq=99 ttl=64 time=0.837 ms
64 bytes from 192.168.0.135: icmp_seq=100 ttl=64 time=0.515 ms

--- 192.168.0.135 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101320ms
rtt min/avg/max/mdev = 0.354/0.782/15.420/1.484 ms
