timestamp,cpu_percent,mem_used_mb
1761996469.6377008,48.20,769.56
1761996470.642404,48.10,771.89
1761996471.6435947,42.30,772.87
1761996472.6452363,39.90,771.48
1761996473.6467712,37.90,773.68
1761996474.647627,38.30,772.88
1761996475.6485596,40.40,774.62
1761996476.6493623,36.00,773.33
1761996477.650489,40.60,773.64
1761996478.6513987,41.40,774.15
1761996479.6531525,36.60,773.26
1761996480.6546743,46.80,771.75
1761996481.6562064,44.90,761.29
1761996482.6576712,51.00,761.80
1761996483.6594973,50.50,761.89
1761996484.661362,48.40,772.13
1761996485.6633685,42.80,772.83
1761996486.6649108,36.00,773.04
1761996487.665507,41.90,773.98
1761996488.6666317,42.70,773.85
1761996489.6686585,43.20,773.79
1761996490.6703172,42.50,773.80
1761996491.6715338,41.60,773.64
1761996492.6725974,45.50,774.24
1761996493.673734,42.30,776.16
1761996494.6756184,37.40,774.39
1761996495.677388,45.00,773.24
1761996496.6785429,39.20,772.73
1761996497.6794121,41.20,774.72
1761996498.6803613,26.60,774.05
