timestamp,cpu_percent,mem_used_mb
1761997829.835004,45.30,1307.69
1761997830.8369384,16.10,1307.84
1761997831.83856,5.00,1307.84
1761997832.8402684,0.50,1307.84
1761997833.8418372,0.50,1307.84
1761997834.8434155,1.50,1307.84
1761997835.8449204,0.50,1307.84
1761997836.8466074,8.20,1300.50
1761997837.8476846,3.00,1300.50
1761997838.849307,6.70,1300.50
1761997839.8511665,4.50,1300.50
1761997840.852635,4.00,1300.49
1761997841.8541214,4.00,1300.47
1761997842.855619,4.40,1300.47
1761997843.8571286,3.40,1300.47
1761997844.8587542,3.90,1300.47
1761997845.8603015,3.30,1300.47
1761997846.8617613,4.00,1300.47
1761997847.8636386,2.80,1300.47
1761997848.8651664,5.00,1300.46
1761997849.8666534,3.40,1300.45
1761997850.8681698,3.40,1300.45
1761997851.869657,2.80,1300.45
1761997852.8711934,4.50,1300.45
1761997853.8727245,5.00,1300.45
1761997854.8743618,6.20,1300.45
1761997855.8759809,6.20,1300.45
1761997856.877601,6.70,1300.45
1761997857.8791385,13.00,1300.45
1761997858.8805466,4.50,1300.42
1761997859.8819847,4.70,1300.42
1761997860.8837416,5.10,1300.41
1761997861.8853018,3.40,1300.41
1761997862.886783,4.50,1300.41
1761997863.8883348,2.80,1300.39
1761997864.8898158,2.80,1300.39
1761997865.8913484,3.30,1300.39
1761997866.8928602,1.60,1293.42
1761997867.894833,0.50,1293.42
1761997868.8963861,1.00,1293.42
1761997869.8974447,1.00,1293.42
1761997870.8992438,1.00,1293.42
1761997871.9007888,0.50,1293.42
1761997872.902612,1.00,1293.41
1761997873.9053416,1.00,1293.41
1761997874.9082768,0.50,1293.41
1761997875.9101,1.00,1293.41
1761997876.9116035,4.00,1293.40
1761997877.913246,1.00,1293.40
1761997878.9147537,1.50,1293.40
1761997879.9163148,7.50,1293.40
1761997880.9180825,0.00,1293.39
1761997881.9196203,1.00,1293.39
1761997882.9212687,0.00,1293.39
1761997883.9227796,1.00,1293.39
1761997884.9243925,0.00,1293.39
1761997885.9259157,4.50,1294.12
1761997886.9278176,2.00,1294.10
1761997887.929429,0.00,1294.10
1761997888.9312422,1.50,1294.10
1761997889.932862,0.50,1294.09
1761997890.9343643,1.50,1294.06
1761997891.935867,0.50,1294.06
1761997892.9374518,0.00,1294.06
1761997893.9391828,0.50,1294.06
1761997894.9406502,0.50,1294.05
1761997895.9422238,0.50,1294.05
1761997896.9439373,5.50,1294.27
1761997897.945589,1.50,1294.27
1761997898.9463022,5.00,1294.51
1761997899.947896,2.00,1294.41
1761997900.9494827,2.50,1294.40
1761997901.95115,1.00,1294.40
1761997902.952689,0.00,1294.40
1761997903.954304,0.00,1294.40
1761997904.9558456,1.00,1294.40
1761997905.9575512,1.00,1294.36
1761997906.9591184,1.00,1294.36
1761997907.9608278,0.50,1294.36
1761997908.962543,0.00,1294.34
1761997909.9641907,1.00,1294.34
1761997910.9657695,1.00,1294.34
1761997911.967347,1.00,1294.33
1761997912.9689035,0.00,1294.33
1761997913.970531,1.00,1294.33
1761997914.9723248,0.00,1294.32
1761997915.9739177,0.50,1294.32
1761997916.9755356,0.00,1294.32
1761997917.9771392,0.00,1294.32
1761997918.9788146,0.50,1294.32
1761997919.980373,0.00,1294.32
1761997920.9819467,0.50,1294.31
1761997921.9835966,0.50,1294.31
1761997922.9852834,0.50,1294.31
1761997923.9868116,0.00,1294.31
1761997924.987522,3.00,1294.31
1761997925.9893045,1.50,1294.29
1761997926.9909863,0.50,1294.29
1761997927.9926765,0.50,1294.29
1761997928.994295,2.50,1294.29
1761997929.996359,1.00,1294.27
1761997930.9979892,2.50,1294.25
1761997931.9996424,1.00,1294.25
1761997933.0012329,3.50,1294.25
1761997934.0027535,0.00,1294.25
1761997935.0045655,1.50,1294.25
1761997936.006399,4.50,1294.23
1761997937.0079167,1.50,1294.23
1761997938.0095017,0.50,1294.21
1761997939.0110857,0.00,1294.21
1761997940.0124485,4.50,1294.21
1761997941.014188,0.50,1294.20
1761997942.0159338,1.00,1294.20
1761997943.0176668,0.00,1294.20
1761997944.0193927,0.50,1294.20
1761997945.020909,0.50,1294.20
1761997946.0226617,1.50,1294.19
1761997947.0243452,0.00,1294.19
1761997948.0262165,0.50,1294.19
1761997949.0278475,0.00,1294.18
1761997950.0298023,0.00,1294.18
1761997951.0314689,0.50,1294.18
1761997952.0331793,1.00,1294.17
1761997953.034747,1.50,1294.17
1761997954.0363786,0.50,1294.17
1761997955.038002,0.00,1294.17
1761997956.0396595,1.50,1294.17
1761997957.0417964,0.00,1294.14
1761997958.043402,2.50,1294.14
1761997959.0449045,5.10,1294.57
1761997960.046526,0.50,1294.57
1761997961.0484748,0.50,1294.57
1761997962.0501618,0.50,1294.57
1761997963.0514305,0.00,1294.57
1761997964.0531461,0.50,1294.57
1761997965.055836,0.50,1294.57
1761997966.0574942,0.50,1294.57
1761997967.0590863,0.50,1294.56
1761997968.0607638,7.00,1294.56
