timestamp,cpu_percent,mem_used_mb
1761998241.155683,17.60,1196.48
1761998242.156605,14.40,1201.50
1761998243.1578069,10.80,1206.77
1761998244.1591535,12.40,1211.35
1761998245.1606147,13.30,1215.94
1761998246.1618319,10.90,1219.60
1761998247.163023,11.30,1220.30
1761998248.166148,11.20,1219.96
1761998249.167947,9.90,1220.27
1761998250.1695952,12.70,1220.17
1761998251.1705556,8.80,1220.29
1761998252.1718116,10.30,1220.46
1761998253.1726835,10.30,1220.10
1761998254.173788,11.80,1220.28
1761998255.1747003,9.80,1219.56
1761998256.1755831,10.80,1219.68
1761998257.1766675,9.80,1220.09
1761998258.1775682,12.80,1219.66
1761998259.179385,11.40,1219.58
1761998260.181466,12.80,1220.45
1761998261.1829505,8.80,1220.71
1761998262.1849034,13.40,1220.12
1761998263.1857245,10.80,1220.07
1761998264.1868365,10.90,1219.85
1761998265.1877685,9.80,1219.95
1761998266.188613,11.90,1219.97
1761998267.1898718,9.80,1219.78
1761998268.1905594,10.80,1219.63
1761998269.1916502,10.30,1219.78
1761998270.1924846,11.30,1219.46
