PING 192.168.0.135 (192.168.0.135) 56(84) bytes of data.
64 bytes from 192.168.0.135: icmp_seq=1 ttl=64 time=0.978 ms
64 bytes from 192.168.0.135: icmp_seq=2 ttl=64 time=0.446 ms
64 bytes from 192.168.0.135: icmp_seq=3 ttl=64 time=0.592 ms
64 bytes from 192.168.0.135: icmp_seq=4 ttl=64 time=0.600 ms
64 bytes from 192.168.0.135: icmp_seq=5 ttl=64 time=0.750 ms
64 bytes from 192.168.0.135: icmp_seq=6 ttl=64 time=0.518 ms
64 bytes from 192.168.0.135: icmp_seq=7 ttl=64 time=0.567 ms
64 bytes from 192.168.0.135: icmp_seq=8 ttl=64 time=0.823 ms
64 bytes from 192.168.0.135: icmp_seq=9 ttl=64 time=0.538 ms
64 bytes from 192.168.0.135: icmp_seq=10 ttl=64 time=0.589 ms
64 bytes from 192.168.0.135: icmp_seq=11 ttl=64 time=0.461 ms
64 bytes from 192.168.0.135: icmp_seq=12 ttl=64 time=0.780 ms
64 bytes from 192.168.0.135: icmp_seq=13 ttl=64 time=1.07 ms
64 bytes from 192.168.0.135: icmp_seq=14 ttl=64 time=1.07 ms
64 bytes from 192.168.0.135: icmp_seq=15 ttl=64 time=0.525 ms
64 bytes from 192.168.0.135: icmp_seq=16 ttl=64 time=0.579 ms
64 bytes from 192.168.0.135: icmp_seq=17 ttl=64 time=0.547 ms
64 bytes from 192.168.0.135: icmp_seq=18 ttl=64 time=0.734 ms
64 bytes from 192.168.0.135: icmp_seq=19 ttl=64 time=0.499 ms
64 bytes from 192.168.0.135: icmp_seq=20 ttl=64 time=0.562 ms
64 bytes from 192.168.0.135: icmp_seq=21 ttl=64 time=0.708 ms
64 bytes from 192.168.0.135: icmp_seq=22 ttl=64 time=0.640 ms
64 bytes from 192.168.0.135: icmp_seq=23 ttl=64 time=0.546 ms
64 bytes from 192.168.0.135: icmp_seq=24 ttl=64 time=0.628 ms
64 bytes from 192.168.0.135: icmp_seq=25 ttl=64 time=1.48 ms
64 bytes from 192.168.0.135: icmp_seq=26 ttl=64 time=0.983 ms
64 bytes from 192.168.0.135: icmp_seq=27 ttl=64 time=1.67 ms
64 bytes from 192.168.0.135: icmp_seq=28 ttl=64 time=0.510 ms
64 bytes from 192.168.0.135: icmp_seq=29 ttl=64 time=0.629 ms
64 bytes from 192.168.0.135: icmp_seq=30 ttl=64 time=0.721 ms
64 bytes from 192.168.0.135: icmp_seq=31 ttl=64 time=0.700 ms
64 bytes from 192.168.0.135: icmp_seq=32 ttl=64 time=0.506 ms
64 bytes from 192.168.0.135: icmp_seq=33 ttl=64 time=0.634 ms
64 bytes from 192.168.0.135: icmp_seq=34 ttl=64 time=0.533 ms
64 bytes from 192.168.0.135: icmp_seq=35 ttl=64 time=0.657 ms
64 bytes from 192.168.0.135: icmp_seq=36 ttl=64 time=0.756 ms
64 bytes from 192.168.0.135: icmp_seq=37 ttl=64 time=0.460 ms
64 bytes from 192.168.0.135: icmp_seq=38 ttl=64 time=0.769 ms
64 bytes from 192.168.0.135: icmp_seq=39 ttl=64 time=0.574 ms
64 bytes from 192.168.0.135: icmp_seq=40 ttl=64 time=0.643 ms
64 bytes from 192.168.0.135: icmp_seq=41 ttl=64 time=0.540 ms
64 bytes from 192.168.0.135: icmp_seq=42 ttl=64 time=0.464 ms
64 bytes from 192.168.0.135: icmp_seq=43 ttl=64 time=0.576 ms
64 bytes from 192.168.0.135: icmp_seq=44 ttl=64 time=0.900 ms
64 bytes from 192.168.0.135: icmp_seq=45 ttl=64 time=0.573 ms
64 bytes from 192.168.0.135: icmp_seq=46 ttl=64 time=0.591 ms
64 bytes from 192.168.0.135: icmp_seq=47 ttl=64 time=1.00 ms
64 bytes from 192.168.0.135: icmp_seq=48 ttl=64 time=0.464 ms
64 bytes from 192.168.0.135: icmp_seq=49 ttl=64 time=0.727 ms
64 bytes from 192.168.0.135: icmp_seq=50 ttl=64 time=5.30 ms
64 bytes from 192.168.0.135: icmp_seq=51 ttl=64 time=1.36 ms
64 bytes from 192.168.0.135: icmp_seq=52 ttl=64 time=0.689 ms
64 bytes from 192.168.0.135: icmp_seq=53 ttl=64 time=0.761 ms
64 bytes from 192.168.0.135: icmp_seq=54 ttl=64 time=0.681 ms
64 bytes from 192.168.0.135: icmp_seq=55 ttl=64 time=0.896 ms
64 bytes from 192.168.0.135: icmp_seq=56 ttl=64 time=0.486 ms
64 bytes from 192.168.0.135: icmp_seq=57 ttl=64 time=0.854 ms
64 bytes from 192.168.0.135: icmp_seq=58 ttl=64 time=0.494 ms
64 bytes from 192.168.0.135: icmp_seq=59 ttl=64 time=0.413 ms
64 bytes from 192.168.0.135: icmp_seq=60 ttl=64 time=0.737 ms
64 bytes from 192.168.0.135: icmp_seq=61 ttl=64 time=0.696 ms
64 bytes from 192.168.0.135: icmp_seq=62 ttl=64 time=0.490 ms
64 bytes from 192.168.0.135: icmp_seq=63 ttl=64 time=0.738 ms
64 bytes from 192.168.0.135: icmp_seq=64 ttl=64 time=0.630 ms
