PING 192.168.0.135 (192.168.0.135) 56(84) bytes of data.
64 bytes from 192.168.0.135: icmp_seq=1 ttl=64 time=60.7 ms
64 bytes from 192.168.0.135: icmp_seq=2 ttl=64 time=0.634 ms
64 bytes from 192.168.0.135: icmp_seq=3 ttl=64 time=0.726 ms
64 bytes from 192.168.0.135: icmp_seq=4 ttl=64 time=0.554 ms
64 bytes from 192.168.0.135: icmp_seq=5 ttl=64 time=0.512 ms
64 bytes from 192.168.0.135: icmp_seq=6 ttl=64 time=0.934 ms
64 bytes from 192.168.0.135: icmp_seq=7 ttl=64 time=0.485 ms
64 bytes from 192.168.0.135: icmp_seq=8 ttl=64 time=0.527 ms
64 bytes from 192.168.0.135: icmp_seq=9 ttl=64 time=0.771 ms
64 bytes from 192.168.0.135: icmp_seq=10 ttl=64 time=0.477 ms
64 bytes from 192.168.0.135: icmp_seq=11 ttl=64 time=0.833 ms
64 bytes from 192.168.0.135: icmp_seq=12 ttl=64 time=0.684 ms
64 bytes from 192.168.0.135: icmp_seq=13 ttl=64 time=0.482 ms
64 bytes from 192.168.0.135: icmp_seq=14 ttl=64 time=0.644 ms
64 bytes from 192.168.0.135: icmp_seq=15 ttl=64 time=0.584 ms
64 bytes from 192.168.0.135: icmp_seq=16 ttl=64 time=0.551 ms
64 bytes from 192.168.0.135: icmp_seq=17 ttl=64 time=0.614 ms
64 bytes from 192.168.0.135: icmp_seq=18 ttl=64 time=0.646 ms
64 bytes from 192.168.0.135: icmp_seq=19 ttl=64 time=0.598 ms
64 bytes from 192.168.0.135: icmp_seq=20 ttl=64 time=0.578 ms
64 bytes from 192.168.0.135: icmp_seq=21 ttl=64 time=0.457 ms
64 bytes from 192.168.0.135: icmp_seq=22 ttl=64 time=0.898 ms
64 bytes from 192.168.0.135: icmp_seq=23 ttl=64 time=0.674 ms
64 bytes from 192.168.0.135: icmp_seq=24 ttl=64 time=0.584 ms
64 bytes from 192.168.0.135: icmp_seq=25 ttl=64 time=0.565 ms
64 bytes from 192.168.0.135: icmp_seq=26 ttl=64 time=0.715 ms
64 bytes from 192.168.0.135: icmp_seq=27 ttl=64 time=0.780 ms
64 bytes from 192.168.0.135: icmp_seq=28 ttl=64 time=1.27 ms
64 bytes from 192.168.0.135: icmp_seq=29 ttl=64 time=0.993 ms
64 bytes from 192.168.0.135: icmp_seq=30 ttl=64 time=0.916 ms
64 bytes from 192.168.0.135: icmp_seq=31 ttl=64 time=0.929 ms
64 bytes from 192.168.0.135: icmp_seq=32 ttl=64 time=0.525 ms
64 bytes from 192.168.0.135: icmp_seq=33 ttl=64 time=0.835 ms
64 bytes from 192.168.0.135: icmp_seq=34 ttl=64 time=0.544 ms
64 bytes from 192.168.0.135: icmp_seq=35 ttl=64 time=0.512 ms
64 bytes from 192.168.0.135: icmp_seq=36 ttl=64 time=0.998 ms
64 bytes from 192.168.0.135: icmp_seq=37 ttl=64 time=1.10 ms
64 bytes from 192.168.0.135: icmp_seq=38 ttl=64 time=0.777 ms
64 bytes from 192.168.0.135: icmp_seq=39 ttl=64 time=0.985 ms
64 bytes from 192.168.0.135: icmp_seq=40 ttl=64 time=0.783 ms
64 bytes from 192.168.0.135: icmp_seq=41 ttl=64 time=0.897 ms
64 bytes from 192.168.0.135: icmp_seq=42 ttl=64 time=0.802 ms
64 bytes from 192.168.0.135: icmp_seq=43 ttl=64 time=1.93 ms
64 bytes from 192.168.0.135: icmp_seq=44 ttl=64 time=0.631 ms
64 bytes from 192.168.0.135: icmp_seq=45 ttl=64 time=0.865 ms
64 bytes from 192.168.0.135: icmp_seq=46 ttl=64 time=0.939 ms
64 bytes from 192.168.0.135: icmp_seq=47 ttl=64 time=0.652 ms
