timestamp,cpu_percent,mem_used_mb
1762006575.430356,36.90,1427.99
1762006576.4314613,2.00,1427.93
1762006577.4331915,0.50,1428.15
1762006578.4351785,45.80,1441.29
1762006579.4367611,10.20,1415.25
1762006580.439356,8.40,1393.55
1762006581.4416702,5.50,1390.48
1762006582.4435794,6.10,1388.93
1762006583.4451811,4.80,1389.69
1762006584.448848,5.50,1390.57
1762006585.451367,16.30,1391.25
1762006586.453248,5.50,1391.05
1762006587.4561222,4.90,1392.84
1762006588.4575734,4.30,1392.31
1762006589.4593308,6.70,1391.37
1762006590.4618251,7.30,1392.93
1762006591.4625392,5.50,1393.81
1762006592.4641256,5.00,1392.55
1762006593.4652371,6.70,1392.35
1762006594.4688427,5.00,1392.84
1762006595.470795,8.10,1393.07
1762006596.4731224,7.00,1393.01
1762006597.4747224,5.70,1391.73
1762006598.4756305,6.20,1392.75
1762006599.4771411,5.50,1390.53
1762006600.4785836,14.80,1392.17
1762006601.4801242,7.70,1393.52
1762006602.4817774,3.70,1391.88
1762006603.4833388,6.80,1393.59
1762006604.4848504,6.20,1393.18
1762006605.4854228,5.40,1393.26
1762006606.4870677,6.60,1393.73
1762006607.4885774,5.40,1391.79
1762006608.4903486,1.50,1379.20
1762006609.4919374,0.50,1379.20
1762006610.493581,0.50,1379.20
1762006611.4952471,1.00,1379.43
1762006612.4968927,1.00,1379.43
1762006613.4986494,0.50,1379.43
1762006614.50044,1.00,1379.43
1762006615.5023592,0.50,1379.43
1762006616.5039332,0.50,1379.43
1762006617.5055838,0.50,1379.43
1762006618.5074165,0.50,1379.43
1762006619.5093365,0.50,1379.43
1762006620.5108685,0.00,1379.43
1762006621.5124977,2.00,1378.54
1762006622.5141785,0.00,1378.78
1762006623.5157206,0.50,1378.78
1762006624.5177498,1.00,1378.78
1762006625.5196183,0.00,1378.78
1762006626.5216439,0.50,1378.78
1762006627.5232747,0.50,1378.78
1762006628.5248559,0.00,1378.77
1762006629.5262647,0.50,1378.77
1762006630.5282009,0.00,1378.77
1762006631.5298269,1.00,1378.77
1762006632.531393,1.50,1379.26
1762006633.532591,5.50,1379.70
1762006634.5344245,1.50,1379.27
1762006635.53608,0.00,1379.25
1762006636.5382354,0.50,1379.25
1762006637.5398574,0.00,1379.25
1762006638.5416434,0.50,1379.25
1762006639.5433614,0.50,1379.25
1762006640.5449002,0.50,1379.25
1762006641.5466175,0.00,1379.25
1762006642.548261,0.00,1379.25
1762006643.549755,1.00,1379.25
1762006644.5514355,0.50,1379.25
1762006645.5533051,0.00,1379.25
1762006646.5549269,0.50,1379.48
1762006647.5567715,0.00,1379.48
1762006648.5583236,0.00,1379.48
1762006649.5598872,1.00,1379.48
1762006650.5616994,0.00,1379.48
1762006651.5633998,0.00,1379.48
1762006652.5653143,1.00,1379.48
1762006653.5670779,0.50,1379.48
1762006654.5685234,0.00,1379.48
