timestamp,cpu_percent,mem_used_mb
1762006843.5874302,36.20,1220.56
1762006844.5883627,38.40,1211.66
1762006845.5913904,20.50,1211.42
1762006846.5924668,20.10,1211.38
1762006847.5938141,17.10,1211.41
1762006848.5945516,16.30,1214.50
1762006849.5954018,20.90,1214.44
1762006850.5965,16.70,1214.52
1762006851.5982044,19.20,1214.43
1762006852.599735,17.60,1214.52
1762006853.6003957,17.50,1214.40
1762006854.601347,13.30,1214.52
1762006855.6024556,17.10,1214.32
1762006856.603508,13.70,1213.60
1762006857.6045487,18.50,1213.66
1762006858.6062727,17.10,1213.79
1762006859.608629,16.50,1213.69
1762006860.6106336,20.50,1213.75
1762006861.612444,20.50,1213.84
1762006862.613584,19.70,1213.54
1762006863.614967,12.60,1213.59
1762006864.6164927,15.30,1213.59
1762006865.6174223,16.50,1213.63
1762006866.6184251,14.60,1213.59
1762006867.6193912,13.90,1213.52
1762006868.620431,17.60,1213.74
1762006869.621414,12.30,1213.79
1762006870.623587,17.80,1213.57
1762006871.624453,15.10,1213.57
1762006872.625475,17.20,1213.79
