timestamp,cpu_percent,mem_used_mb
1762008348.6644409,57.10,1466.64
1762008349.6660714,6.10,1466.63
1762008350.6678498,1.50,1466.63
1762008351.6695023,1.50,1466.88
1762008352.671475,1.00,1466.88
1762008353.6724582,38.60,1455.28
1762008354.673762,74.60,1448.30
1762008355.6755466,68.20,1447.84
1762008356.6771884,61.40,1447.90
1762008357.6789563,65.80,1447.65
1762008358.680653,66.20,1447.82
1762008359.6820984,71.20,1447.88
1762008360.683487,81.40,1447.82
1762008361.684367,70.80,1447.72
1762008362.6855934,65.60,1447.79
1762008363.6874313,80.10,1447.85
1762008364.6889331,77.60,1447.92
1762008365.6910515,76.60,1447.60
1762008366.6924925,80.60,1447.55
1762008367.6944714,79.80,1447.64
1762008368.695604,80.70,1447.75
1762008369.6973453,80.70,1447.50
1762008370.6982834,73.30,1447.52
1762008371.699741,62.00,1447.50
1762008372.700586,58.90,1447.61
1762008373.7024586,64.60,1447.66
1762008374.7038367,79.80,1445.54
1762008375.7047749,79.10,1445.43
1762008376.7057536,79.30,1445.59
1762008377.7088716,80.00,1445.56
1762008378.710572,80.30,1446.10
1762008379.7124205,84.00,1446.05
1762008380.7137306,73.00,1446.27
1762008381.7149775,65.30,1446.05
1762008382.7165442,79.50,1446.25
1762008383.718759,32.60,1440.69
1762008384.7205648,2.00,1440.66
1762008385.7222764,3.50,1441.33
1762008386.7239187,21.70,1443.50
1762008387.725858,6.50,1443.47
1762008388.727382,18.70,1442.38
1762008389.7285385,18.90,1442.36
1762008390.7302163,11.20,1442.34
1762008391.7319095,0.50,1442.26
1762008392.7339652,0.50,1442.23
1762008393.7357347,1.00,1442.23
1762008394.737492,1.00,1442.23
1762008395.739224,0.00,1442.23
1762008396.7408824,0.50,1442.23
1762008397.742553,1.00,1442.23
1762008398.7443445,2.00,1442.23
1762008399.7459714,0.50,1442.23
1762008400.7476616,3.00,1442.20
1762008401.7493677,1.50,1442.18
1762008402.7511535,0.00,1442.16
1762008403.7532377,0.50,1442.16
1762008404.7548528,1.50,1442.16
1762008405.756626,1.50,1442.15
1762008406.7583685,1.00,1442.14
1762008407.7601209,1.50,1442.13
1762008408.7618632,1.00,1442.12
1762008409.7636547,0.50,1442.12
1762008410.7655127,0.50,1442.12
1762008411.7672665,0.00,1442.12
1762008412.7688155,1.00,1442.12
1762008413.7695098,1.50,1442.12
1762008414.7712274,4.50,1442.04
