PING 192.168.79.129 (192.168.79.129) 56(84) bytes of data.
64 bytes from 192.168.79.129: icmp_seq=1 ttl=64 time=0.347 ms
64 bytes from 192.168.79.129: icmp_seq=2 ttl=64 time=0.683 ms
64 bytes from 192.168.79.129: icmp_seq=3 ttl=64 time=0.478 ms
64 bytes from 192.168.79.129: icmp_seq=4 ttl=64 time=0.470 ms
64 bytes from 192.168.79.129: icmp_seq=5 ttl=64 time=0.707 ms
64 bytes from 192.168.79.129: icmp_seq=6 ttl=64 time=0.669 ms
64 bytes from 192.168.79.129: icmp_seq=7 ttl=64 time=0.545 ms
64 bytes from 192.168.79.129: icmp_seq=8 ttl=64 time=0.600 ms
64 bytes from 192.168.79.129: icmp_seq=9 ttl=64 time=0.584 ms
64 bytes from 192.168.79.129: icmp_seq=10 ttl=64 time=0.422 ms
64 bytes from 192.168.79.129: icmp_seq=11 ttl=64 time=0.741 ms
64 bytes from 192.168.79.129: icmp_seq=12 ttl=64 time=0.503 ms
64 bytes from 192.168.79.129: icmp_seq=13 ttl=64 time=0.577 ms
64 bytes from 192.168.79.129: icmp_seq=14 ttl=64 time=0.776 ms
64 bytes from 192.168.79.129: icmp_seq=15 ttl=64 time=0.525 ms
64 bytes from 192.168.79.129: icmp_seq=16 ttl=64 time=0.497 ms
64 bytes from 192.168.79.129: icmp_seq=17 ttl=64 time=0.465 ms
64 bytes from 192.168.79.129: icmp_seq=18 ttl=64 time=0.706 ms
64 bytes from 192.168.79.129: icmp_seq=19 ttl=64 time=0.498 ms
64 bytes from 192.168.79.129: icmp_seq=20 ttl=64 time=0.556 ms
64 bytes from 192.168.79.129: icmp_seq=21 ttl=64 time=0.739 ms
64 bytes from 192.168.79.129: icmp_seq=22 ttl=64 time=0.666 ms
64 bytes from 192.168.79.129: icmp_seq=23 ttl=64 time=0.791 ms
64 bytes from 192.168.79.129: icmp_seq=24 ttl=64 time=0.651 ms
64 bytes from 192.168.79.129: icmp_seq=25 ttl=64 time=0.635 ms
64 bytes from 192.168.79.129: icmp_seq=26 ttl=64 time=0.826 ms
64 bytes from 192.168.79.129: icmp_seq=27 ttl=64 time=2.15 ms
64 bytes from 192.168.79.129: icmp_seq=28 ttl=64 time=0.896 ms
64 bytes from 192.168.79.129: icmp_seq=29 ttl=64 time=0.468 ms
64 bytes from 192.168.79.129: icmp_seq=30 ttl=64 time=0.563 ms
64 bytes from 192.168.79.129: icmp_seq=31 ttl=64 time=0.571 ms
64 bytes from 192.168.79.129: icmp_seq=32 ttl=64 time=0.915 ms
64 bytes from 192.168.79.129: icmp_seq=33 ttl=64 time=0.975 ms
64 bytes from 192.168.79.129: icmp_seq=34 ttl=64 time=0.905 ms
64 bytes from 192.168.79.129: icmp_seq=35 ttl=64 time=0.956 ms
64 bytes from 192.168.79.129: icmp_seq=36 ttl=64 time=0.937 ms
64 bytes from 192.168.79.129: icmp_seq=37 ttl=64 time=0.818 ms
64 bytes from 192.168.79.129: icmp_seq=38 ttl=64 time=0.746 ms
64 bytes from 192.168.79.129: icmp_seq=39 ttl=64 time=0.854 ms
64 bytes from 192.168.79.129: icmp_seq=40 ttl=64 time=0.899 ms
64 bytes from 192.168.79.129: icmp_seq=41 ttl=64 time=0.921 ms
64 bytes from 192.168.79.129: icmp_seq=42 ttl=64 time=0.886 ms
64 bytes from 192.168.79.129: icmp_seq=43 ttl=64 time=0.477 ms
64 bytes from 192.168.79.129: icmp_seq=44 ttl=64 time=0.865 ms
64 bytes from 192.168.79.129: icmp_seq=45 ttl=64 time=0.821 ms
64 bytes from 192.168.79.129: icmp_seq=46 ttl=64 time=0.930 ms
64 bytes from 192.168.79.129: icmp_seq=47 ttl=64 time=0.631 ms
64 bytes from 192.168.79.129: icmp_seq=48 ttl=64 time=0.618 ms
64 bytes from 192.168.79.129: icmp_seq=49 ttl=64 time=0.650 ms
64 bytes from 192.168.79.129: icmp_seq=50 ttl=64 time=0.821 ms
64 bytes from 192.168.79.129: icmp_seq=51 ttl=64 time=0.648 ms
64 bytes from 192.168.79.129: icmp_seq=52 ttl=64 time=0.667 ms
64 bytes from 192.168.79.129: icmp_seq=53 ttl=64 time=0.627 ms
64 bytes from 192.168.79.129: icmp_seq=54 ttl=64 time=0.605 ms
64 bytes from 192.168.79.129: icmp_seq=55 ttl=64 time=0.553 ms
64 bytes from 192.168.79.129: icmp_seq=56 ttl=64 time=0.755 ms
64 bytes from 192.168.79.129: icmp_seq=57 ttl=64 time=0.661 ms
64 bytes from 192.168.79.129: icmp_seq=58 ttl=64 time=0.604 ms
64 bytes from 192.168.79.129: icmp_seq=59 ttl=64 time=0.642 ms
64 bytes from 192.168.79.129: icmp_seq=60 ttl=64 time=0.469 ms
64 bytes from 192.168.79.129: icmp_seq=61 ttl=64 time=0.757 ms
64 bytes from 192.168.79.129: icmp_seq=62 ttl=64 time=0.920 ms
64 bytes from 192.168.79.129: icmp_seq=63 ttl=64 time=0.589 ms
64 bytes from 192.168.79.129: icmp_seq=64 ttl=64 time=0.943 ms
64 bytes from 192.168.79.129: icmp_seq=65 ttl=64 time=0.926 ms
64 bytes from 192.168.79.129: icmp_seq=66 ttl=64 time=0.863 ms
64 bytes from 192.168.79.129: icmp_seq=67 ttl=64 time=0.634 ms
64 bytes from 192.168.79.129: icmp_seq=68 ttl=64 time=0.630 ms
64 bytes from 192.168.79.129: icmp_seq=69 ttl=64 time=0.835 ms
64 bytes from 192.168.79.129: icmp_seq=70 ttl=64 time=0.435 ms
64 bytes from 192.168.79.129: icmp_seq=71 ttl=64 time=0.771 ms
64 bytes from 192.168.79.129: icmp_seq=72 ttl=64 time=0.842 ms
64 bytes from 192.168.79.129: icmp_seq=73 ttl=64 time=0.917 ms
64 bytes from 192.168.79.129: icmp_seq=74 ttl=64 time=0.774 ms
64 bytes from 192.168.79.129: icmp_seq=75 ttl=64 time=0.777 ms
64 bytes from 192.168.79.129: icmp_seq=76 ttl=64 time=0.798 ms
64 bytes from 192.168.79.129: icmp_seq=77 ttl=64 time=0.644 ms
64 bytes from 192.168.79.129: icmp_seq=78 ttl=64 time=0.845 ms
64 bytes from 192.168.79.129: icmp_seq=79 ttl=64 time=0.877 ms
64 bytes from 192.168.79.129: icmp_seq=80 ttl=64 time=0.958 ms
64 bytes from 192.168.79.129: icmp_seq=81 ttl=64 time=0.897 ms
64 bytes from 192.168.79.129: icmp_seq=82 ttl=64 time=0.656 ms
64 bytes from 192.168.79.129: icmp_seq=83 ttl=64 time=0.844 ms
64 bytes from 192.168.79.129: icmp_seq=84 ttl=64 time=0.783 ms
64 bytes from 192.168.79.129: icmp_seq=85 ttl=64 time=0.523 ms
64 bytes from 192.168.79.129: icmp_seq=86 ttl=64 time=0.705 ms
64 bytes from 192.168.79.129: icmp_seq=87 ttl=64 time=1.18 ms
64 bytes from 192.168.79.129: icmp_seq=88 ttl=64 time=0.892 ms
64 bytes from 192.168.79.129: icmp_seq=89 ttl=64 time=0.763 ms
64 bytes from 192.168.79.129: icmp_seq=90 ttl=64 time=0.767 ms
64 bytes from 192.168.79.129: icmp_seq=91 ttl=64 time=0.518 ms
64 bytes from 192.168.79.129: icmp_seq=92 ttl=64 time=0.458 ms
64 bytes from 192.168.79.129: icmp_seq=93 ttl=64 time=0.535 ms
64 bytes from 192.168.79.129: icmp_seq=94 ttl=64 time=0.739 ms
64 bytes from 192.168.79.129: icmp_seq=95 ttl=64 time=0.519 ms
64 bytes from 192.168.79.129: icmp_seq=96 ttl=64 time=0.656 ms
