timestamp,cpu_percent,mem_used_mb
1762009428.219869,23.90,1252.75
1762009429.2204318,34.60,1253.66
1762009430.221579,36.50,1253.50
1762009431.2230325,44.10,1242.24
1762009432.224574,50.50,1242.02
1762009433.225592,51.90,1254.24
1762009434.2263763,34.60,1255.35
1762009435.2274861,36.80,1254.77
1762009436.228417,35.60,1254.05
1762009437.2294228,35.10,1254.41
1762009438.230562,33.80,1254.70
1762009439.231638,35.10,1255.21
1762009440.233098,50.50,1242.08
1762009441.2346015,51.30,1242.78
1762009442.236176,50.70,1243.22
1762009443.2374334,36.40,1255.34
1762009444.23859,36.50,1254.62
1762009445.239394,46.00,1255.49
1762009446.2405581,36.20,1254.15
1762009447.2414062,34.80,1254.64
1762009448.245541,34.30,1254.49
1762009449.2474887,48.10,1242.26
1762009450.2489433,50.50,1253.05
1762009451.2505224,36.50,1255.13
1762009452.2522101,37.90,1253.63
1762009453.253532,38.30,1253.71
1762009454.2548122,37.90,1255.77
1762009455.2555127,40.40,1255.69
1762009456.2563627,36.80,1255.07
1762009457.2578259,36.30,1253.32
