PING 192.168.79.129 (192.168.79.129) 56(84) bytes of data.
64 bytes from 192.168.79.129: icmp_seq=1 ttl=64 time=0.313 ms
64 bytes from 192.168.79.129: icmp_seq=2 ttl=64 time=0.679 ms
64 bytes from 192.168.79.129: icmp_seq=3 ttl=64 time=0.604 ms
64 bytes from 192.168.79.129: icmp_seq=4 ttl=64 time=0.567 ms
64 bytes from 192.168.79.129: icmp_seq=5 ttl=64 time=0.722 ms
64 bytes from 192.168.79.129: icmp_seq=6 ttl=64 time=0.760 ms
64 bytes from 192.168.79.129: icmp_seq=7 ttl=64 time=0.494 ms
64 bytes from 192.168.79.129: icmp_seq=8 ttl=64 time=0.436 ms
64 bytes from 192.168.79.129: icmp_seq=9 ttl=64 time=0.505 ms
64 bytes from 192.168.79.129: icmp_seq=10 ttl=64 time=0.595 ms
64 bytes from 192.168.79.129: icmp_seq=11 ttl=64 time=0.445 ms
64 bytes from 192.168.79.129: icmp_seq=12 ttl=64 time=0.481 ms
64 bytes from 192.168.79.129: icmp_seq=13 ttl=64 time=0.420 ms
64 bytes from 192.168.79.129: icmp_seq=14 ttl=64 time=0.993 ms
64 bytes from 192.168.79.129: icmp_seq=15 ttl=64 time=0.876 ms
64 bytes from 192.168.79.129: icmp_seq=16 ttl=64 time=0.725 ms
64 bytes from 192.168.79.129: icmp_seq=17 ttl=64 time=0.490 ms
64 bytes from 192.168.79.129: icmp_seq=18 ttl=64 time=0.647 ms
64 bytes from 192.168.79.129: icmp_seq=19 ttl=64 time=0.841 ms
64 bytes from 192.168.79.129: icmp_seq=20 ttl=64 time=0.836 ms
64 bytes from 192.168.79.129: icmp_seq=21 ttl=64 time=0.584 ms
64 bytes from 192.168.79.129: icmp_seq=22 ttl=64 time=0.517 ms
64 bytes from 192.168.79.129: icmp_seq=23 ttl=64 time=1.33 ms
64 bytes from 192.168.79.129: icmp_seq=24 ttl=64 time=0.676 ms
64 bytes from 192.168.79.129: icmp_seq=25 ttl=64 time=0.621 ms
64 bytes from 192.168.79.129: icmp_seq=26 ttl=64 time=0.771 ms
64 bytes from 192.168.79.129: icmp_seq=27 ttl=64 time=0.695 ms
64 bytes from 192.168.79.129: icmp_seq=28 ttl=64 time=0.748 ms
64 bytes from 192.168.79.129: icmp_seq=29 ttl=64 time=0.719 ms
64 bytes from 192.168.79.129: icmp_seq=30 ttl=64 time=0.806 ms
64 bytes from 192.168.79.129: icmp_seq=31 ttl=64 time=0.467 ms
64 bytes from 192.168.79.129: icmp_seq=32 ttl=64 time=0.516 ms
64 bytes from 192.168.79.129: icmp_seq=33 ttl=64 time=0.955 ms
64 bytes from 192.168.79.129: icmp_seq=34 ttl=64 time=0.626 ms
64 bytes from 192.168.79.129: icmp_seq=35 ttl=64 time=0.533 ms
64 bytes from 192.168.79.129: icmp_seq=36 ttl=64 time=0.886 ms
64 bytes from 192.168.79.129: icmp_seq=37 ttl=64 time=0.567 ms
64 bytes from 192.168.79.129: icmp_seq=38 ttl=64 time=0.613 ms
64 bytes from 192.168.79.129: icmp_seq=39 ttl=64 time=0.653 ms
64 bytes from 192.168.79.129: icmp_seq=40 ttl=64 time=0.474 ms
64 bytes from 192.168.79.129: icmp_seq=41 ttl=64 time=0.610 ms
64 bytes from 192.168.79.129: icmp_seq=42 ttl=64 time=0.750 ms
64 bytes from 192.168.79.129: icmp_seq=43 ttl=64 time=0.507 ms
64 bytes from 192.168.79.129: icmp_seq=44 ttl=64 time=0.627 ms
64 bytes from 192.168.79.129: icmp_seq=45 ttl=64 time=0.873 ms
64 bytes from 192.168.79.129: icmp_seq=46 ttl=64 time=0.959 ms
64 bytes from 192.168.79.129: icmp_seq=47 ttl=64 time=0.632 ms
64 bytes from 192.168.79.129: icmp_seq=48 ttl=64 time=0.809 ms
64 bytes from 192.168.79.129: icmp_seq=49 ttl=64 time=0.615 ms
64 bytes from 192.168.79.129: icmp_seq=50 ttl=64 time=0.870 ms
64 bytes from 192.168.79.129: icmp_seq=51 ttl=64 time=0.471 ms
64 bytes from 192.168.79.129: icmp_seq=52 ttl=64 time=0.653 ms
64 bytes from 192.168.79.129: icmp_seq=53 ttl=64 time=0.705 ms
64 bytes from 192.168.79.129: icmp_seq=54 ttl=64 time=0.692 ms
64 bytes from 192.168.79.129: icmp_seq=55 ttl=64 time=0.476 ms
64 bytes from 192.168.79.129: icmp_seq=56 ttl=64 time=0.729 ms
64 bytes from 192.168.79.129: icmp_seq=57 ttl=64 time=0.825 ms
64 bytes from 192.168.79.129: icmp_seq=58 ttl=64 time=0.747 ms
64 bytes from 192.168.79.129: icmp_seq=59 ttl=64 time=0.606 ms
