timestamp,cpu_percent,mem_used_mb
1762084593.303386,3.60,1230.65
1762084594.3042765,1.80,1231.52
1762084595.3051133,1.80,1232.19
1762084596.3056147,0.00,1232.63
1762084597.3065505,0.60,1232.63
1762084598.3077722,1.20,1232.62
1762084599.3095582,0.60,1232.62
1762084600.311251,0.60,1232.62
1762084601.3121662,1.20,1232.62
1762084602.3132808,0.60,1232.62
1762084603.3143659,0.00,1232.62
1762084604.3156219,0.60,1232.62
1762084605.3170393,1.80,1232.60
1762084606.3178616,0.60,1232.60
1762084607.3189902,0.60,1232.60
1762084608.3197365,1.80,1232.60
1762084609.3209672,1.20,1233.26
1762084610.3224666,0.60,1237.88
1762084611.3243668,1.20,1242.92
1762084612.3253243,1.80,1247.08
1762084613.3261945,0.60,1251.89
1762084614.3275821,6.50,1256.27
1762084615.3287032,0.60,1259.13
1762084616.3302088,0.60,1258.94
1762084617.3317487,0.00,1259.56
1762084618.3329222,1.80,1259.19
1762084619.333975,0.60,1259.22
1762084620.3353274,1.20,1258.93
1762084621.3379486,1.20,1259.21
1762084622.3393066,0.60,1258.62
