timestamp,cpu_percent,mem_used_mb
1762087279.70562,38.10,1302.32
1762087280.709681,3.00,1301.25
1762087281.7114015,1.00,1301.21
1762087282.7128973,0.00,1301.21
1762087283.714499,1.00,1301.21
1762087284.7160065,0.50,1301.21
1762087285.7177033,4.00,1301.20
1762087286.7194142,0.50,1301.20
1762087287.7208638,16.10,1294.29
1762087288.7234797,35.20,1294.61
1762087289.7250838,29.20,1294.69
1762087290.727014,22.90,1294.42
1762087291.72934,20.70,1294.43
1762087292.7309113,20.50,1294.40
1762087293.7318912,25.00,1294.39
1762087294.7336712,24.40,1294.60
1762087295.7353415,20.00,1294.31
1762087296.7369542,16.70,1294.57
1762087297.7386916,16.10,1294.63
1762087298.7403474,20.00,1294.39
1762087299.7420332,24.60,1294.47
1762087300.743774,20.00,1294.28
1762087301.7459402,21.00,1294.44
1762087302.747975,16.70,1294.26
1762087303.7500236,17.40,1294.32
1762087304.751595,16.60,1294.26
1762087305.7532635,17.10,1291.91
1762087306.755266,19.30,1291.92
1762087307.7570295,14.10,1292.16
1762087308.75867,11.90,1292.12
1762087309.7606027,12.30,1291.95
1762087310.7621636,13.40,1291.87
1762087311.7637084,15.20,1291.77
1762087312.764708,15.00,1291.84
1762087313.7665453,14.00,1291.80
1762087314.7681105,15.90,1291.97
1762087315.7698333,19.20,1291.74
1762087316.7714465,18.10,1292.19
1762087317.773255,9.20,1274.00
1762087318.7750046,1.00,1273.95
1762087319.7767735,0.50,1273.95
1762087320.7777507,1.00,1274.67
1762087321.7794764,0.50,1274.67
1762087322.781101,0.50,1274.67
1762087323.782701,0.50,1274.67
1762087324.784461,0.50,1274.67
1762087325.786227,0.50,1274.67
1762087326.7879243,0.50,1274.67
1762087327.789487,0.50,1274.67
1762087328.7910593,1.00,1274.66
1762087329.792719,0.50,1274.66
1762087330.7944903,0.00,1274.66
1762087331.7961237,1.00,1274.66
1762087332.797996,0.00,1274.66
1762087333.7997108,0.00,1274.66
1762087334.8013747,0.00,1274.66
1762087335.8030128,0.00,1274.66
1762087336.8046594,0.50,1274.66
1762087337.8066165,1.00,1274.66
1762087338.8084214,0.00,1274.65
1762087339.8099537,1.00,1274.65
1762087340.811693,0.00,1274.65
1762087341.8134217,0.00,1274.65
1762087342.8152797,0.00,1274.65
1762087343.8169258,0.50,1274.65
1762087344.818584,0.50,1274.65
1762087345.820081,0.00,1274.65
1762087346.821745,0.50,1274.64
1762087347.8234563,0.00,1274.64
1762087348.8250363,0.50,1274.64
1762087349.8266463,0.00,1274.64
1762087350.8285012,0.00,1274.64
1762087351.8300676,0.50,1274.64
1762087352.831799,0.50,1274.63
1762087353.8335288,0.50,1274.63
1762087354.8351893,0.00,1274.63
1762087355.8368254,0.50,1274.63
1762087356.8384504,0.50,1274.63
1762087357.8400688,1.50,1274.87
1762087358.8418403,0.50,1274.84
1762087359.843505,0.50,1274.84
1762087360.845261,1.50,1274.84
1762087361.8469899,0.00,1274.84
1762087362.8485968,0.50,1274.84
1762087363.8504977,0.00,1274.84
1762087364.8521748,0.50,1274.84
1762087365.8538818,0.50,1274.83
1762087366.8555617,1.00,1274.82
1762087367.8566337,0.00,1274.82
1762087368.8577724,0.50,1274.82
1762087369.8594265,1.50,1274.82
1762087370.861247,0.00,1274.79
1762087371.8628256,1.00,1274.79
1762087372.8648884,0.00,1274.79
1762087373.8665721,1.00,1274.79
1762087374.8682582,0.50,1274.77
1762087375.8707023,5.00,1274.77
1762087376.8723755,1.00,1274.77
1762087377.8739486,1.00,1274.77
1762087378.875589,0.00,1274.77
1762087379.8772166,0.50,1274.77
1762087380.8799672,0.00,1274.77
1762087381.8816981,0.50,1274.77
1762087382.8834019,0.50,1274.76
1762087383.8854825,0.00,1274.76
1762087384.8873038,0.00,1274.76
1762087385.8897965,0.00,1274.74
1762087386.8914304,0.50,1274.74
1762087387.8929706,0.50,1274.74
1762087388.8946254,0.00,1274.74
1762087389.896364,0.50,1274.73
1762087390.89801,0.50,1274.73
1762087391.899607,0.50,1274.73
1762087392.9013166,0.00,1274.73
1762087393.9029377,1.00,1274.73
1762087394.904591,0.00,1274.73
1762087395.9060593,1.00,1274.71
1762087396.9077039,2.50,1274.71
1762087397.90931,9.50,1277.62
1762087398.9112687,0.00,1277.62
1762087399.9128177,1.00,1277.61
1762087400.9145033,1.50,1277.61
1762087401.916251,1.00,1277.57
1762087402.9177988,0.50,1277.57
1762087403.91944,0.00,1277.57
1762087404.921483,0.50,1277.57
1762087405.923305,0.50,1277.57
1762087406.9249618,0.00,1277.57
1762087407.9267466,0.50,1277.57
1762087408.928469,0.50,1277.57
1762087409.9303012,0.00,1277.56
1762087410.9318492,0.00,1277.56
1762087411.9335008,1.00,1277.56
1762087412.9350464,0.00,1277.56
1762087413.9373183,0.00,1277.55
1762087414.9390116,1.00,1277.55
1762087415.9408755,0.00,1277.55
1762087416.9425766,0.00,1277.55
1762087417.9442825,0.00,1277.55
1762087418.946379,1.00,1277.54
1762087419.948082,0.50,1277.79
1762087420.9499872,25.60,1277.10
1762087421.9518323,26.30,1277.43
1762087422.9535913,22.40,1277.52
1762087423.9544768,23.30,1277.41
1762087424.9564986,12.20,1277.38
1762087425.9580216,13.50,1277.18
1762087426.9596403,15.20,1277.13
1762087427.960477,15.20,1277.18
1762087428.9627228,14.90,1277.36
1762087429.9642632,13.20,1277.13
1762087430.967535,12.80,1277.38
1762087431.9691694,17.50,1277.06
1762087432.9716663,15.40,1277.37
1762087433.972525,17.80,1277.20
1762087434.9739637,15.50,1276.98
1762087435.975552,23.10,1277.07
1762087436.9770203,19.20,1277.16
1762087437.9775393,19.90,1280.39
1762087438.9793694,17.50,1277.11
1762087439.9814095,17.80,1277.11
1762087440.9828587,21.10,1277.23
1762087441.9846592,25.60,1277.07
1762087442.9868844,23.30,1277.29
1762087443.9887514,22.60,1277.20
1762087444.9905252,17.00,1277.09
1762087445.9922056,14.50,1277.21
1762087446.9936585,16.80,1276.98
1762087447.9951,18.00,1276.94
1762087448.996675,16.60,1277.05
1762087449.998294,16.00,1277.41
1762087450.9999175,1.50,1274.59
1762087452.0014844,0.00,1274.59
1762087453.0030615,3.00,1274.82
1762087454.0046456,1.50,1275.29
1762087455.00633,1.00,1275.29
1762087456.0079355,0.00,1275.29
1762087457.0099955,0.50,1275.29
1762087458.0115047,0.50,1275.29
1762087459.013071,0.00,1275.29
1762087460.0147328,0.50,1275.29
1762087461.0166128,0.50,1275.29
1762087462.0182767,0.50,1275.28
