timestamp,cpu_percent,mem_used_mb
1762089333.4725313,70.30,1347.82
1762089334.474339,16.20,1347.81
1762089335.4765294,1.50,1347.80
1762089336.478761,1.00,1347.80
1762089337.4797106,0.50,1347.80
1762089338.4813037,1.00,1347.80
1762089339.4826088,0.50,1347.80
1762089340.4845154,1.00,1347.71
1762089341.486005,3.30,1348.73
1762089342.4878788,6.40,1335.75
1762089343.4894927,4.20,1341.07
1762089344.4910257,2.40,1341.20
1762089345.4927547,1.20,1341.73
1762089346.4944563,1.80,1341.45
1762089347.495966,1.20,1341.24
1762089348.4978685,1.20,1341.41
1762089349.4998696,1.20,1340.35
1762089350.5014107,0.00,1341.35
1762089351.502946,1.80,1341.27
1762089352.5048392,3.00,1342.68
1762089353.5065043,0.00,1341.30
1762089354.5080345,2.40,1341.20
1762089355.5095873,1.80,1341.74
1762089356.5110953,2.40,1342.30
1762089357.5125012,1.80,1341.25
1762089358.5140395,10.50,1341.07
1762089359.5158606,4.10,1341.07
1762089360.5176737,7.10,1338.95
1762089361.5193357,1.20,1339.98
1762089362.5199773,3.00,1340.00
1762089363.5216317,3.00,1340.91
1762089364.523615,43.40,1357.43
1762089365.5247676,15.20,1356.58
1762089366.525703,0.00,1356.58
1762089367.5270255,1.80,1356.96
1762089368.5281162,1.70,1357.68
1762089369.5289958,0.60,1356.89
1762089370.5306246,1.20,1357.66
1762089371.5327702,2.20,1321.88
1762089372.5344553,0.50,1321.88
1762089373.5369987,0.50,1321.88
1762089374.5385675,1.00,1322.13
1762089375.5403214,0.00,1322.12
1762089376.5422587,1.00,1322.12
1762089377.5438375,0.00,1322.12
1762089378.5471098,0.50,1322.11
1762089379.5488234,1.00,1322.11
1762089380.5504003,0.00,1322.11
1762089381.551969,1.00,1322.11
1762089382.5536056,0.50,1322.11
1762089383.5558007,1.00,1322.11
1762089384.5575135,0.00,1322.11
1762089385.5593138,0.00,1322.11
1762089386.5612726,0.50,1322.11
1762089387.5629838,0.00,1322.11
1762089388.5648162,0.50,1322.58
1762089389.5670767,1.00,1322.57
1762089390.5688453,0.00,1322.57
1762089391.5705152,0.00,1322.57
1762089392.5720694,5.00,1322.57
1762089393.5737157,0.00,1322.57
1762089394.5753164,0.00,1322.57
1762089395.5771084,0.50,1322.57
1762089396.5790558,0.00,1322.57
1762089397.5802681,0.50,1322.80
1762089398.5820425,1.00,1322.80
1762089399.5839074,0.00,1322.79
1762089400.5855331,1.00,1322.79
1762089401.5871212,0.00,1322.79
1762089402.589361,0.00,1322.79
1762089403.590125,1.00,1322.79
1762089404.591932,1.00,1322.79
1762089405.59356,2.50,1323.51
1762089406.5950694,3.50,1323.51
1762089407.596807,1.00,1323.51
1762089408.5984578,0.50,1323.51
1762089409.6002522,1.00,1323.50
1762089410.6018248,2.50,1323.50
1762089411.6034951,1.00,1323.50
1762089412.6051288,0.00,1323.48
1762089413.6069543,0.50,1323.48
1762089414.6085052,0.50,1323.48
1762089415.6100547,0.00,1323.48
1762089416.6116881,1.50,1323.48
1762089417.6135628,0.00,1323.46
1762089418.6151357,2.00,1323.42
1762089419.616903,0.50,1323.42
