timestamp,cpu_percent,mem_used_mb
1762090015.5160851,7.10,1325.38
1762090016.5178192,3.40,1325.62
1762090017.519323,4.40,1325.61
1762090018.521537,2.80,1325.61
1762090019.523471,3.90,1325.61
1762090020.5252974,3.40,1325.59
1762090021.5273347,3.90,1325.59
1762090022.529762,5.10,1325.84
1762090023.531915,3.40,1325.84
1762090024.5334172,3.40,1325.84
1762090025.535031,2.90,1325.84
1762090026.5365815,3.30,1325.84
1762090027.5382097,3.40,1325.84
1762090028.53991,4.00,1325.84
1762090029.5415046,3.90,1325.84
1762090030.5429807,5.60,1325.82
1762090031.5445042,2.80,1325.82
1762090032.546392,2.30,1325.82
1762090033.5480056,2.40,1325.82
1762090034.5498886,4.00,1325.82
1762090035.551816,2.20,1325.82
1762090036.5534425,3.40,1325.82
1762090037.5541697,3.90,1325.82
1762090038.555889,2.80,1325.82
1762090039.5572367,4.60,1325.82
1762090040.5588653,4.90,1325.82
1762090041.5601003,1.70,1325.82
1762090042.5615416,13.90,1325.82
1762090043.563847,4.60,1325.81
1762090044.565119,7.30,1325.81
