PING 192.168.79.129 (192.168.79.129) 56(84) bytes of data.
64 bytes from 192.168.79.129: icmp_seq=1 ttl=64 time=0.749 ms
64 bytes from 192.168.79.129: icmp_seq=2 ttl=64 time=0.645 ms
64 bytes from 192.168.79.129: icmp_seq=3 ttl=64 time=0.881 ms
64 bytes from 192.168.79.129: icmp_seq=4 ttl=64 time=0.600 ms
64 bytes from 192.168.79.129: icmp_seq=5 ttl=64 time=0.854 ms
64 bytes from 192.168.79.129: icmp_seq=6 ttl=64 time=0.470 ms
64 bytes from 192.168.79.129: icmp_seq=7 ttl=64 time=0.645 ms
64 bytes from 192.168.79.129: icmp_seq=8 ttl=64 time=0.727 ms
64 bytes from 192.168.79.129: icmp_seq=9 ttl=64 time=0.610 ms
64 bytes from 192.168.79.129: icmp_seq=10 ttl=64 time=0.764 ms
64 bytes from 192.168.79.129: icmp_seq=11 ttl=64 time=0.660 ms
64 bytes from 192.168.79.129: icmp_seq=12 ttl=64 time=0.911 ms
64 bytes from 192.168.79.129: icmp_seq=13 ttl=64 time=0.476 ms
64 bytes from 192.168.79.129: icmp_seq=14 ttl=64 time=0.623 ms
64 bytes from 192.168.79.129: icmp_seq=15 ttl=64 time=0.641 ms
64 bytes from 192.168.79.129: icmp_seq=16 ttl=64 time=0.589 ms
64 bytes from 192.168.79.129: icmp_seq=17 ttl=64 time=0.772 ms
64 bytes from 192.168.79.129: icmp_seq=18 ttl=64 time=0.392 ms
64 bytes from 192.168.79.129: icmp_seq=19 ttl=64 time=0.488 ms
64 bytes from 192.168.79.129: icmp_seq=20 ttl=64 time=0.622 ms
64 bytes from 192.168.79.129: icmp_seq=21 ttl=64 time=0.404 ms
64 bytes from 192.168.79.129: icmp_seq=22 ttl=64 time=0.417 ms
64 bytes from 192.168.79.129: icmp_seq=23 ttl=64 time=0.396 ms
64 bytes from 192.168.79.129: icmp_seq=24 ttl=64 time=0.417 ms
64 bytes from 192.168.79.129: icmp_seq=25 ttl=64 time=0.715 ms
64 bytes from 192.168.79.129: icmp_seq=26 ttl=64 time=0.687 ms
64 bytes from 192.168.79.129: icmp_seq=27 ttl=64 time=0.604 ms
64 bytes from 192.168.79.129: icmp_seq=28 ttl=64 time=0.794 ms
64 bytes from 192.168.79.129: icmp_seq=29 ttl=64 time=0.560 ms
64 bytes from 192.168.79.129: icmp_seq=30 ttl=64 time=0.810 ms
64 bytes from 192.168.79.129: icmp_seq=31 ttl=64 time=0.496 ms
64 bytes from 192.168.79.129: icmp_seq=32 ttl=64 time=0.707 ms
64 bytes from 192.168.79.129: icmp_seq=33 ttl=64 time=0.673 ms
64 bytes from 192.168.79.129: icmp_seq=34 ttl=64 time=0.817 ms
64 bytes from 192.168.79.129: icmp_seq=35 ttl=64 time=0.650 ms
64 bytes from 192.168.79.129: icmp_seq=36 ttl=64 time=0.923 ms
64 bytes from 192.168.79.129: icmp_seq=37 ttl=64 time=0.546 ms
64 bytes from 192.168.79.129: icmp_seq=38 ttl=64 time=0.552 ms
64 bytes from 192.168.79.129: icmp_seq=39 ttl=64 time=1.04 ms
64 bytes from 192.168.79.129: icmp_seq=40 ttl=64 time=0.550 ms
64 bytes from 192.168.79.129: icmp_seq=41 ttl=64 time=0.642 ms
64 bytes from 192.168.79.129: icmp_seq=42 ttl=64 time=0.660 ms
64 bytes from 192.168.79.129: icmp_seq=43 ttl=64 time=0.674 ms
64 bytes from 192.168.79.129: icmp_seq=44 ttl=64 time=0.564 ms
64 bytes from 192.168.79.129: icmp_seq=45 ttl=64 time=0.392 ms
64 bytes from 192.168.79.129: icmp_seq=46 ttl=64 time=0.796 ms
64 bytes from 192.168.79.129: icmp_seq=47 ttl=64 time=0.864 ms
64 bytes from 192.168.79.129: icmp_seq=48 ttl=64 time=0.971 ms
64 bytes from 192.168.79.129: icmp_seq=49 ttl=64 time=0.810 ms
64 bytes from 192.168.79.129: icmp_seq=50 ttl=64 time=0.721 ms
64 bytes from 192.168.79.129: icmp_seq=51 ttl=64 time=0.680 ms
64 bytes from 192.168.79.129: icmp_seq=52 ttl=64 time=0.859 ms
64 bytes from 192.168.79.129: icmp_seq=53 ttl=64 time=0.721 ms
64 bytes from 192.168.79.129: icmp_seq=54 ttl=64 time=0.492 ms
64 bytes from 192.168.79.129: icmp_seq=55 ttl=64 time=0.898 ms
64 bytes from 192.168.79.129: icmp_seq=56 ttl=64 time=0.642 ms
64 bytes from 192.168.79.129: icmp_seq=57 ttl=64 time=0.454 ms
64 bytes from 192.168.79.129: icmp_seq=58 ttl=64 time=0.879 ms
64 bytes from 192.168.79.129: icmp_seq=59 ttl=64 time=0.643 ms
64 bytes from 192.168.79.129: icmp_seq=60 ttl=64 time=0.943 ms
64 bytes from 192.168.79.129: icmp_seq=61 ttl=64 time=0.578 ms
64 bytes from 192.168.79.129: icmp_seq=62 ttl=64 time=0.777 ms
64 bytes from 192.168.79.129: icmp_seq=63 ttl=64 time=0.735 ms
64 bytes from 192.168.79.129: icmp_seq=64 ttl=64 time=0.639 ms
64 bytes from 192.168.79.129: icmp_seq=65 ttl=64 time=1.03 ms
64 bytes from 192.168.79.129: icmp_seq=66 ttl=64 time=0.759 ms
64 bytes from 192.168.79.129: icmp_seq=67 ttl=64 time=0.544 ms
64 bytes from 192.168.79.129: icmp_seq=68 ttl=64 time=0.671 ms
64 bytes from 192.168.79.129: icmp_seq=69 ttl=64 time=0.682 ms
64 bytes from 192.168.79.129: icmp_seq=70 ttl=64 time=0.892 ms
64 bytes from 192.168.79.129: icmp_seq=71 ttl=64 time=0.802 ms
64 bytes from 192.168.79.129: icmp_seq=72 ttl=64 time=0.599 ms
64 bytes from 192.168.79.129: icmp_seq=73 ttl=64 time=0.974 ms
64 bytes from 192.168.79.129: icmp_seq=74 ttl=64 time=0.809 ms
64 bytes from 192.168.79.129: icmp_seq=75 ttl=64 time=0.522 ms
64 bytes from 192.168.79.129: icmp_seq=76 ttl=64 time=0.634 ms
64 bytes from 192.168.79.129: icmp_seq=77 ttl=64 time=0.795 ms
64 bytes from 192.168.79.129: icmp_seq=78 ttl=64 time=0.802 ms
64 bytes from 192.168.79.129: icmp_seq=79 ttl=64 time=1.02 ms
64 bytes from 192.168.79.129: icmp_seq=80 ttl=64 time=0.713 ms
64 bytes from 192.168.79.129: icmp_seq=81 ttl=64 time=0.715 ms
64 bytes from 192.168.79.129: icmp_seq=82 ttl=64 time=0.654 ms
64 bytes from 192.168.79.129: icmp_seq=83 ttl=64 time=0.802 ms
64 bytes from 192.168.79.129: icmp_seq=84 ttl=64 time=0.535 ms
64 bytes from 192.168.79.129: icmp_seq=85 ttl=64 time=0.545 ms
64 bytes from 192.168.79.129: icmp_seq=86 ttl=64 time=0.589 ms
64 bytes from 192.168.79.129: icmp_seq=87 ttl=64 time=0.720 ms
64 bytes from 192.168.79.129: icmp_seq=88 ttl=64 time=0.769 ms
64 bytes from 192.168.79.129: icmp_seq=89 ttl=64 time=0.571 ms
64 bytes from 192.168.79.129: icmp_seq=90 ttl=64 time=0.550 ms
64 bytes from 192.168.79.129: icmp_seq=91 ttl=64 time=0.572 ms
64 bytes from 192.168.79.129: icmp_seq=92 ttl=64 time=0.749 ms
64 bytes from 192.168.79.129: icmp_seq=93 ttl=64 time=0.593 ms
64 bytes from 192.168.79.129: icmp_seq=94 ttl=64 time=0.702 ms
64 bytes from 192.168.79.129: icmp_seq=95 ttl=64 time=0.591 ms
64 bytes from 192.168.79.129: icmp_seq=96 ttl=64 time=0.511 ms
64 bytes from 192.168.79.129: icmp_seq=97 ttl=64 time=1.05 ms
64 bytes from 192.168.79.129: icmp_seq=98 ttl=64 time=0.698 ms
64 bytes from 192.168.79.129: icmp_seq=99 ttl=64 time=0.465 ms
64 bytes from 192.168.79.129: icmp_seq=100 ttl=64 time=0.624 ms

--- 192.168.79.129 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101346ms
rtt min/avg/max/mdev = 0.392/0.681/1.047/0.155 ms
