timestamp,cpu_percent,mem_used_mb
1762100517.0868921,31.60,1408.01
1762100518.0888894,6.60,1408.45
1762100519.0907774,1.00,1408.45
1762100520.0927107,1.00,1408.43
1762100521.094596,1.50,1408.43
1762100522.0967603,2.00,1408.43
1762100523.099277,1.50,1408.43
1762100524.100921,2.00,1408.44
1762100525.101597,47.70,1390.29
1762100526.102748,46.80,1384.12
1762100527.1047065,63.20,1370.26
1762100528.1063714,58.60,1360.00
1762100529.1079152,57.60,1351.73
1762100530.1089945,47.20,1351.66
1762100531.114384,54.30,1351.55
1762100532.1159053,63.10,1350.79
1762100533.1176314,52.90,1350.89
1762100534.1186285,56.50,1350.71
1762100535.1204333,58.00,1350.88
1762100536.1216154,54.50,1351.15
1762100537.1232743,56.90,1350.69
1762100538.1250489,52.60,1350.90
1762100539.1270056,52.60,1350.45
1762100540.1288793,53.10,1350.80
1762100541.1314013,53.00,1350.90
1762100542.1333532,56.20,1350.83
1762100543.134663,58.70,1350.85
1762100544.13559,56.50,1350.97
1762100545.137203,73.60,1350.73
1762100546.1389987,57.50,1350.84
1762100547.140456,51.90,1350.89
1762100548.1419814,59.60,1350.93
1762100549.1440217,70.60,1350.84
1762100550.1458976,79.30,1350.78
1762100551.1482832,75.70,1350.98
1762100552.1503747,80.30,1351.42
1762100553.1525235,81.70,1351.71
1762100554.1540713,74.70,1351.57
1762100555.156265,7.60,1348.40
1762100556.1584435,1.50,1348.40
1762100557.160394,0.00,1348.40
1762100558.1620412,4.50,1352.02
1762100559.1636634,3.00,1351.93
1762100560.165756,0.00,1351.92
1762100561.1676702,1.50,1351.92
1762100562.169773,12.40,1353.48
1762100563.171824,4.00,1353.22
1762100564.1736946,2.50,1352.62
1762100565.175611,4.00,1352.59
1762100566.1776147,0.50,1352.59
1762100567.1797643,3.50,1352.59
1762100568.181671,2.00,1352.63
1762100569.1834974,6.50,1351.90
1762100570.1855562,1.00,1351.38
1762100571.1875424,1.00,1348.75
1762100572.1897318,0.50,1348.68
1762100573.191803,3.00,1348.68
1762100574.193648,3.50,1347.95
1762100575.194869,1.00,1347.95
1762100576.1967244,1.50,1347.95
1762100577.1991656,0.50,1347.95
1762100578.2010684,1.50,1347.95
1762100579.20257,1.00,1347.94
1762100580.2047033,1.00,1347.94
1762100581.2083385,0.00,1347.94
1762100582.2103212,1.00,1347.46
1762100583.2124312,0.50,1347.46
1762100584.2142437,2.00,1347.46
1762100585.2176862,0.50,1347.46
1762100586.2199173,2.50,1347.46
1762100587.2229693,0.00,1347.45
1762100588.2250552,7.00,1347.08
1762100589.2268453,0.50,1347.08
1762100590.228958,1.00,1347.08
1762100591.2308407,0.50,1347.08
1762100592.234,0.50,1347.08
1762100593.236555,0.00,1347.08
1762100594.2390876,1.00,1347.08
1762100595.2422702,2.00,1347.32
1762100596.2445154,2.50,1347.32
1762100597.245687,1.00,1347.32
1762100598.2496128,1.50,1347.32
1762100599.251396,0.00,1347.32
1762100600.2529297,0.00,1347.32
1762100601.2547882,0.90,1347.32
1762100602.2564754,0.50,1347.32
1762100603.2583675,0.00,1347.31
1762100604.2599907,0.00,1347.31
1762100605.2618766,1.00,1347.31
1762100606.2635965,1.00,1347.31
1762100607.2652748,1.50,1347.31
1762100608.2669327,0.50,1347.31
1762100609.2687054,1.00,1347.31
1762100610.2706902,0.50,1347.30
1762100611.2725785,1.50,1347.29
1762100612.274237,0.00,1347.29
1762100613.2758987,0.00,1347.29
1762100614.2775757,1.00,1347.29
1762100615.2792003,0.00,1347.29
1762100616.2809432,1.00,1347.29
1762100617.2825513,1.50,1347.20
1762100618.2842631,3.00,1347.41
1762100619.2860126,3.00,1347.41
1762100620.287683,0.00,1347.41
