timestamp,cpu_percent,mem_used_mb
1762101061.9459393,39.30,1404.98
1762101062.948044,37.40,1394.77
1762101063.9497633,50.30,1394.96
1762101064.9512475,32.90,1405.12
1762101065.9528942,32.10,1405.85
1762101066.9541154,32.60,1406.17
1762101067.9556136,33.60,1407.66
1762101068.9565911,33.60,1406.50
1762101069.9583127,36.20,1406.48
1762101070.959906,30.80,1407.07
1762101071.9607012,33.60,1405.32
1762101072.9622898,36.20,1406.18
1762101073.9637017,35.30,1405.89
1762101074.9649308,47.60,1393.87
1762101075.9665384,50.30,1394.30
1762101076.9678352,50.00,1394.41
1762101077.9693487,50.00,1394.58
1762101078.9707947,36.20,1406.48
1762101079.972419,45.60,1406.20
1762101080.974159,36.60,1406.45
1762101081.975692,32.80,1407.64
1762101082.978501,43.10,1402.78
1762101083.979822,44.50,1405.70
1762101084.9814398,34.10,1406.16
1762101085.9827027,29.10,1407.22
1762101086.9833152,36.20,1406.30
1762101087.9854274,44.90,1407.36
1762101088.9871485,40.60,1405.63
1762101089.9887407,37.10,1406.92
1762101090.9898517,32.60,1407.07
