PING 192.168.10.128 (192.168.10.128) 56(84) bytes of data.
64 bytes from 192.168.10.128: icmp_seq=1 ttl=64 time=0.492 ms
64 bytes from 192.168.10.128: icmp_seq=2 ttl=64 time=0.541 ms
64 bytes from 192.168.10.128: icmp_seq=3 ttl=64 time=0.607 ms
64 bytes from 192.168.10.128: icmp_seq=4 ttl=64 time=0.602 ms
64 bytes from 192.168.10.128: icmp_seq=5 ttl=64 time=0.654 ms
64 bytes from 192.168.10.128: icmp_seq=6 ttl=64 time=0.638 ms
64 bytes from 192.168.10.128: icmp_seq=7 ttl=64 time=0.791 ms
64 bytes from 192.168.10.128: icmp_seq=8 ttl=64 time=0.655 ms
64 bytes from 192.168.10.128: icmp_seq=9 ttl=64 time=0.593 ms
64 bytes from 192.168.10.128: icmp_seq=10 ttl=64 time=0.874 ms
64 bytes from 192.168.10.128: icmp_seq=11 ttl=64 time=0.613 ms
64 bytes from 192.168.10.128: icmp_seq=12 ttl=64 time=0.549 ms
64 bytes from 192.168.10.128: icmp_seq=13 ttl=64 time=0.632 ms
64 bytes from 192.168.10.128: icmp_seq=14 ttl=64 time=0.537 ms
64 bytes from 192.168.10.128: icmp_seq=15 ttl=64 time=0.513 ms
64 bytes from 192.168.10.128: icmp_seq=16 ttl=64 time=0.627 ms
64 bytes from 192.168.10.128: icmp_seq=17 ttl=64 time=0.602 ms
64 bytes from 192.168.10.128: icmp_seq=18 ttl=64 time=0.473 ms
64 bytes from 192.168.10.128: icmp_seq=19 ttl=64 time=0.922 ms
64 bytes from 192.168.10.128: icmp_seq=20 ttl=64 time=0.569 ms
64 bytes from 192.168.10.128: icmp_seq=21 ttl=64 time=0.649 ms
64 bytes from 192.168.10.128: icmp_seq=22 ttl=64 time=0.816 ms
64 bytes from 192.168.10.128: icmp_seq=23 ttl=64 time=0.705 ms
64 bytes from 192.168.10.128: icmp_seq=24 ttl=64 time=0.425 ms
64 bytes from 192.168.10.128: icmp_seq=25 ttl=64 time=0.665 ms
64 bytes from 192.168.10.128: icmp_seq=26 ttl=64 time=0.807 ms
64 bytes from 192.168.10.128: icmp_seq=27 ttl=64 time=0.661 ms
64 bytes from 192.168.10.128: icmp_seq=28 ttl=64 time=0.543 ms
64 bytes from 192.168.10.128: icmp_seq=29 ttl=64 time=0.791 ms
64 bytes from 192.168.10.128: icmp_seq=30 ttl=64 time=0.561 ms
64 bytes from 192.168.10.128: icmp_seq=31 ttl=64 time=0.492 ms
64 bytes from 192.168.10.128: icmp_seq=32 ttl=64 time=0.840 ms
64 bytes from 192.168.10.128: icmp_seq=33 ttl=64 time=0.433 ms
64 bytes from 192.168.10.128: icmp_seq=34 ttl=64 time=0.713 ms
64 bytes from 192.168.10.128: icmp_seq=35 ttl=64 time=0.675 ms
64 bytes from 192.168.10.128: icmp_seq=36 ttl=64 time=0.892 ms
64 bytes from 192.168.10.128: icmp_seq=37 ttl=64 time=0.619 ms
64 bytes from 192.168.10.128: icmp_seq=38 ttl=64 time=0.817 ms
64 bytes from 192.168.10.128: icmp_seq=39 ttl=64 time=0.915 ms
64 bytes from 192.168.10.128: icmp_seq=40 ttl=64 time=0.626 ms
64 bytes from 192.168.10.128: icmp_seq=41 ttl=64 time=0.707 ms
64 bytes from 192.168.10.128: icmp_seq=42 ttl=64 time=0.881 ms
64 bytes from 192.168.10.128: icmp_seq=43 ttl=64 time=0.784 ms
64 bytes from 192.168.10.128: icmp_seq=44 ttl=64 time=0.896 ms
64 bytes from 192.168.10.128: icmp_seq=45 ttl=64 time=0.736 ms
64 bytes from 192.168.10.128: icmp_seq=46 ttl=64 time=0.778 ms
64 bytes from 192.168.10.128: icmp_seq=47 ttl=64 time=0.773 ms
64 bytes from 192.168.10.128: icmp_seq=48 ttl=64 time=0.596 ms
64 bytes from 192.168.10.128: icmp_seq=49 ttl=64 time=0.618 ms
64 bytes from 192.168.10.128: icmp_seq=50 ttl=64 time=0.806 ms
64 bytes from 192.168.10.128: icmp_seq=51 ttl=64 time=0.883 ms
64 bytes from 192.168.10.128: icmp_seq=52 ttl=64 time=0.629 ms
64 bytes from 192.168.10.128: icmp_seq=53 ttl=64 time=0.708 ms
64 bytes from 192.168.10.128: icmp_seq=54 ttl=64 time=0.731 ms
64 bytes from 192.168.10.128: icmp_seq=55 ttl=64 time=0.672 ms
64 bytes from 192.168.10.128: icmp_seq=56 ttl=64 time=0.664 ms
64 bytes from 192.168.10.128: icmp_seq=57 ttl=64 time=0.721 ms
64 bytes from 192.168.10.128: icmp_seq=58 ttl=64 time=0.590 ms
64 bytes from 192.168.10.128: icmp_seq=59 ttl=64 time=0.743 ms
64 bytes from 192.168.10.128: icmp_seq=60 ttl=64 time=0.584 ms
64 bytes from 192.168.10.128: icmp_seq=61 ttl=64 time=0.757 ms
64 bytes from 192.168.10.128: icmp_seq=62 ttl=64 time=0.650 ms
64 bytes from 192.168.10.128: icmp_seq=63 ttl=64 time=0.635 ms
64 bytes from 192.168.10.128: icmp_seq=64 ttl=64 time=0.947 ms
64 bytes from 192.168.10.128: icmp_seq=65 ttl=64 time=1.14 ms
64 bytes from 192.168.10.128: icmp_seq=66 ttl=64 time=0.721 ms
64 bytes from 192.168.10.128: icmp_seq=67 ttl=64 time=0.704 ms
64 bytes from 192.168.10.128: icmp_seq=68 ttl=64 time=0.635 ms
64 bytes from 192.168.10.128: icmp_seq=69 ttl=64 time=0.881 ms
64 bytes from 192.168.10.128: icmp_seq=70 ttl=64 time=0.552 ms
64 bytes from 192.168.10.128: icmp_seq=71 ttl=64 time=0.792 ms
64 bytes from 192.168.10.128: icmp_seq=72 ttl=64 time=0.848 ms
64 bytes from 192.168.10.128: icmp_seq=73 ttl=64 time=0.811 ms
64 bytes from 192.168.10.128: icmp_seq=74 ttl=64 time=0.694 ms
64 bytes from 192.168.10.128: icmp_seq=75 ttl=64 time=0.640 ms
64 bytes from 192.168.10.128: icmp_seq=76 ttl=64 time=0.437 ms
64 bytes from 192.168.10.128: icmp_seq=77 ttl=64 time=0.785 ms
64 bytes from 192.168.10.128: icmp_seq=78 ttl=64 time=0.804 ms
64 bytes from 192.168.10.128: icmp_seq=79 ttl=64 time=0.685 ms
64 bytes from 192.168.10.128: icmp_seq=80 ttl=64 time=0.720 ms
64 bytes from 192.168.10.128: icmp_seq=81 ttl=64 time=0.503 ms
64 bytes from 192.168.10.128: icmp_seq=82 ttl=64 time=0.802 ms
64 bytes from 192.168.10.128: icmp_seq=83 ttl=64 time=0.601 ms
64 bytes from 192.168.10.128: icmp_seq=84 ttl=64 time=0.784 ms
64 bytes from 192.168.10.128: icmp_seq=85 ttl=64 time=0.538 ms
64 bytes from 192.168.10.128: icmp_seq=86 ttl=64 time=0.742 ms
64 bytes from 192.168.10.128: icmp_seq=87 ttl=64 time=0.696 ms
64 bytes from 192.168.10.128: icmp_seq=88 ttl=64 time=1.21 ms
64 bytes from 192.168.10.128: icmp_seq=89 ttl=64 time=0.738 ms
64 bytes from 192.168.10.128: icmp_seq=90 ttl=64 time=0.580 ms
64 bytes from 192.168.10.128: icmp_seq=91 ttl=64 time=0.580 ms
64 bytes from 192.168.10.128: icmp_seq=92 ttl=64 time=0.942 ms
64 bytes from 192.168.10.128: icmp_seq=93 ttl=64 time=0.836 ms
64 bytes from 192.168.10.128: icmp_seq=94 ttl=64 time=0.873 ms
64 bytes from 192.168.10.128: icmp_seq=95 ttl=64 time=0.891 ms
64 bytes from 192.168.10.128: icmp_seq=96 ttl=64 time=1.03 ms
64 bytes from 192.168.10.128: icmp_seq=97 ttl=64 time=0.620 ms
64 bytes from 192.168.10.128: icmp_seq=98 ttl=64 time=0.676 ms
64 bytes from 192.168.10.128: icmp_seq=99 ttl=64 time=1.23 ms
64 bytes from 192.168.10.128: icmp_seq=100 ttl=64 time=0.659 ms

--- 192.168.10.128 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101181ms
rtt min/avg/max/mdev = 0.425/0.710/1.228/0.152 ms
