timestamp,cpu_percent,mem_used_mb
1762102654.010292,3.50,1405.64
1762102655.0118144,2.30,1411.09
1762102656.0132327,4.10,1416.80
1762102657.0147405,1.20,1421.39
1762102658.0162253,0.60,1426.42
1762102659.0177302,1.70,1430.80
1762102660.0192518,1.70,1434.22
1762102661.0207624,1.80,1434.25
1762102662.021823,1.20,1434.19
1762102663.0236707,0.60,1434.22
1762102664.0252004,0.60,1434.12
1762102665.0266948,0.00,1433.96
1762102666.0281737,2.30,1433.77
1762102667.0298555,2.30,1433.86
1762102668.0314465,1.10,1434.17
1762102669.032958,0.60,1434.01
1762102670.0346096,1.20,1433.89
1762102671.0360863,1.20,1434.26
1762102672.03673,1.20,1434.28
1762102673.0381403,1.70,1434.34
1762102674.039001,1.70,1434.27
1762102675.040928,1.20,1434.54
1762102676.042494,1.70,1434.65
1762102677.0440102,1.20,1434.89
1762102678.0455189,1.20,1434.32
1762102679.046776,1.70,1434.32
1762102680.0476637,1.20,1434.32
1762102681.0491674,1.80,1434.32
1762102682.0507276,1.70,1434.31
1762102683.0522153,1.20,1434.30
