PING 192.168.10.128 (192.168.10.128) 56(84) bytes of data.
64 bytes from 192.168.10.128: icmp_seq=1 ttl=64 time=0.480 ms
64 bytes from 192.168.10.128: icmp_seq=2 ttl=64 time=0.590 ms
64 bytes from 192.168.10.128: icmp_seq=3 ttl=64 time=0.649 ms
64 bytes from 192.168.10.128: icmp_seq=4 ttl=64 time=0.666 ms
64 bytes from 192.168.10.128: icmp_seq=5 ttl=64 time=0.681 ms
64 bytes from 192.168.10.128: icmp_seq=6 ttl=64 time=0.583 ms
64 bytes from 192.168.10.128: icmp_seq=7 ttl=64 time=0.449 ms
64 bytes from 192.168.10.128: icmp_seq=8 ttl=64 time=0.610 ms
64 bytes from 192.168.10.128: icmp_seq=9 ttl=64 time=0.613 ms
64 bytes from 192.168.10.128: icmp_seq=10 ttl=64 time=0.574 ms
64 bytes from 192.168.10.128: icmp_seq=11 ttl=64 time=0.509 ms
64 bytes from 192.168.10.128: icmp_seq=12 ttl=64 time=0.552 ms
64 bytes from 192.168.10.128: icmp_seq=13 ttl=64 time=0.562 ms
64 bytes from 192.168.10.128: icmp_seq=14 ttl=64 time=0.932 ms
64 bytes from 192.168.10.128: icmp_seq=15 ttl=64 time=0.662 ms
64 bytes from 192.168.10.128: icmp_seq=16 ttl=64 time=0.634 ms
64 bytes from 192.168.10.128: icmp_seq=17 ttl=64 time=0.607 ms
64 bytes from 192.168.10.128: icmp_seq=18 ttl=64 time=0.484 ms
64 bytes from 192.168.10.128: icmp_seq=19 ttl=64 time=0.567 ms
64 bytes from 192.168.10.128: icmp_seq=20 ttl=64 time=0.552 ms
64 bytes from 192.168.10.128: icmp_seq=21 ttl=64 time=0.648 ms
64 bytes from 192.168.10.128: icmp_seq=22 ttl=64 time=0.726 ms
64 bytes from 192.168.10.128: icmp_seq=23 ttl=64 time=0.468 ms
64 bytes from 192.168.10.128: icmp_seq=24 ttl=64 time=0.572 ms
64 bytes from 192.168.10.128: icmp_seq=25 ttl=64 time=0.704 ms
