timestamp,cpu_percent,mem_used_mb
1762103657.1651142,37.70,1421.38
1762103658.1668549,3.00,1421.38
1762103659.1685245,0.50,1421.34
1762103660.1705012,1.00,1421.34
1762103661.1713257,1.00,1421.33
1762103662.173461,1.50,1421.33
1762103663.1752942,1.50,1421.33
1762103664.1768594,2.00,1421.44
1762103665.1778872,20.20,1403.64
1762103666.1786122,20.50,1398.33
1762103667.1804552,22.50,1397.89
1762103668.1822317,25.10,1398.08
1762103669.1835277,18.40,1398.25
1762103670.1853135,20.80,1398.13
1762103671.1870935,19.80,1398.09
1762103672.1886525,22.40,1398.09
1762103673.1903296,19.50,1398.47
1762103674.1917722,20.20,1398.27
1762103675.1932366,18.10,1398.24
1762103676.1947722,18.60,1398.27
1762103677.1962442,21.40,1398.23
1762103678.1978657,13.80,1398.01
1762103679.1993482,12.60,1397.93
1762103680.200543,12.90,1397.65
1762103681.202066,14.20,1397.86
1762103682.2037976,19.40,1397.58
1762103683.2054682,16.00,1397.85
1762103684.207291,15.40,1398.29
1762103685.2087395,17.80,1397.98
1762103686.210272,17.10,1397.76
1762103687.2118487,16.10,1397.70
1762103688.2134411,15.40,1397.96
1762103689.2149682,16.00,1397.73
1762103690.2165806,19.20,1397.84
1762103691.2194636,21.40,1397.69
1762103692.2210405,18.60,1397.91
1762103693.2226288,18.70,1397.63
1762103694.2239158,21.30,1397.85
1762103695.2261014,1.50,1391.97
1762103696.2277799,0.00,1391.97
1762103697.2294166,1.00,1391.97
1762103698.2310135,1.00,1392.21
1762103699.2325594,1.50,1392.21
1762103700.2350519,0.50,1392.21
1762103701.2366717,1.00,1392.21
1762103702.2384198,1.50,1392.21
1762103703.2400556,1.00,1392.21
1762103704.2420046,1.00,1392.21
1762103705.2436213,1.00,1392.20
1762103706.2453558,0.50,1392.20
1762103707.2470088,5.00,1392.20
1762103708.248685,0.00,1392.20
1762103709.25039,0.50,1392.20
1762103710.2522016,0.50,1392.20
1762103711.253817,1.00,1392.20
1762103712.2555413,0.50,1392.20
1762103713.2573857,1.00,1392.19
1762103714.2590473,1.50,1392.32
1762103715.2608216,0.00,1392.32
1762103716.2626114,1.00,1392.31
1762103717.26425,0.00,1392.31
1762103718.2659578,0.00,1392.30
1762103719.2674615,0.50,1392.30
1762103720.2692134,0.00,1392.30
1762103721.2707984,1.50,1392.30
