timestamp,cpu_percent,mem_used_mb
1762108545.673876,29.30,1453.55
1762108546.6758842,3.00,1453.78
1762108547.677564,1.50,1453.77
1762108548.6804621,2.00,1454.81
1762108549.6818545,3.50,1451.76
1762108550.6835608,1.20,1448.38
1762108551.685049,2.40,1452.84
1762108552.6865797,1.80,1449.64
1762108553.6875975,1.70,1453.71
1762108554.688571,1.20,1450.11
1762108555.690225,1.20,1454.44
1762108556.6914217,1.20,1450.74
1762108557.6926894,1.80,1455.55
1762108558.6936412,0.00,1451.40
1762108559.6948845,1.80,1455.54
1762108560.6956882,1.80,1449.63
1762108561.696966,1.20,1449.62
1762108562.69888,2.40,1452.03
1762108563.6996117,1.80,1448.83
1762108564.7005484,0.00,1452.70
1762108565.7013829,1.70,1449.04
1762108566.7024343,1.20,1453.35
1762108567.7030518,2.30,1450.08
1762108568.7039623,0.60,1454.68
1762108569.7052813,1.80,1450.73
1762108570.7085853,1.70,1455.33
1762108571.709574,1.20,1451.17
1762108572.710644,1.20,1455.54
1762108573.711919,1.80,1451.84
1762108574.7133937,2.30,1448.65
1762108575.7140985,0.60,1452.71
1762108576.7151005,0.00,1449.77
1762108577.71651,0.60,1453.63
1762108578.717952,2.30,1449.52
1762108579.7198853,0.50,1439.81
1762108580.7217982,1.00,1439.81
1762108581.7235215,2.00,1439.73
1762108582.7250986,1.00,1439.93
1762108583.7269108,1.00,1439.92
1762108584.728599,0.50,1439.92
1762108585.730281,0.50,1439.92
1762108586.731788,1.00,1439.92
1762108587.7335284,0.00,1439.92
1762108588.7352855,2.00,1439.91
1762108589.7369416,0.00,1439.91
1762108590.7385907,1.00,1439.91
1762108591.7404573,5.50,1439.91
1762108592.7422,0.50,1439.91
1762108593.743837,2.00,1439.91
1762108594.745695,1.00,1439.90
1762108595.7474327,1.00,1439.90
1762108596.749321,0.00,1439.90
1762108597.7509089,0.50,1439.90
1762108598.7526953,0.00,1440.07
1762108599.7544405,1.00,1440.04
1762108600.755983,0.00,1440.04
1762108601.7576327,0.50,1440.04
1762108602.7592423,0.50,1440.04
1762108603.7609906,1.50,1440.04
1762108604.7626433,0.00,1440.04
1762108605.7645204,1.00,1440.01
1762108606.7662857,0.50,1440.01
1762108607.7678037,0.00,1440.00
1762108608.7694888,1.00,1440.00
1762108609.7712295,0.50,1440.00
1762108610.772855,0.00,1440.00
1762108611.7745473,1.50,1440.00
1762108612.776285,0.00,1440.00
1762108613.778039,1.00,1440.00
1762108614.7797325,1.50,1440.00
1762108615.7820346,0.00,1439.99
1762108616.7840967,0.50,1439.98
1762108617.785683,0.00,1439.98
1762108618.7874007,1.00,1439.98
1762108619.7889957,0.50,1439.98
1762108620.7906494,0.00,1439.98
1762108621.792347,1.00,1439.98
1762108622.79385,0.50,1439.98
1762108623.7945619,1.00,1439.98
1762108624.7962487,1.00,1439.86
1762108625.7980773,0.00,1439.86
1762108626.7996695,0.50,1439.86
1762108627.8015196,0.50,1439.84
1762108628.8032146,1.00,1439.84
1762108629.8051167,0.50,1439.84
1762108630.8069377,0.50,1439.84
1762108631.8076653,0.50,1439.84
1762108632.8093402,0.50,1439.84
1762108633.811024,1.00,1439.84
1762108634.8127136,2.00,1439.84
1762108635.814484,0.00,1439.84
1762108636.815577,0.50,1439.84
1762108637.8175042,0.50,1439.84
1762108638.8193245,1.00,1439.82
1762108639.8209743,0.50,1439.81
1762108640.822687,0.00,1439.81
1762108641.8236935,1.00,1439.80
1762108642.8254066,0.00,1439.80
1762108643.8270128,1.50,1439.80
1762108644.828571,0.50,1439.79
1762108645.8302848,0.50,1439.79
1762108646.8319352,0.00,1439.79
1762108647.8335824,1.00,1439.79
