timestamp,cpu_percent,mem_used_mb
1762109088.1868877,9.40,1459.37
1762109089.18853,2.80,1459.37
1762109090.1901066,2.80,1459.36
1762109091.1916037,3.90,1459.36
1762109092.1932228,2.30,1459.36
1762109093.194767,1.10,1459.36
1762109094.1965985,2.30,1459.35
1762109095.1981976,2.80,1459.35
1762109096.1997273,2.90,1459.35
1762109097.20164,2.90,1459.35
1762109098.203281,6.30,1459.35
1762109099.204867,2.80,1459.23
1762109100.2065792,2.80,1459.23
1762109101.20808,2.80,1459.21
1762109102.2096312,3.90,1459.21
1762109103.2111695,3.40,1459.21
1762109104.2127354,1.70,1459.21
1762109105.2142634,1.70,1459.21
1762109106.215874,2.90,1459.46
1762109107.2173133,1.70,1459.46
1762109108.2189481,6.30,1459.46
1762109109.220954,1.70,1459.46
1762109110.2226803,3.40,1459.46
1762109111.2241647,2.80,1459.45
1762109112.2257113,2.80,1459.45
1762109113.2271698,1.70,1459.44
1762109114.228873,3.40,1459.44
1762109115.230658,2.80,1459.44
1762109116.2321727,1.70,1459.44
1762109117.2338357,2.80,1459.44
