PING 192.168.10.128 (192.168.10.128) 56(84) bytes of data.
64 bytes from 192.168.10.128: icmp_seq=1 ttl=64 time=70.2 ms
64 bytes from 192.168.10.128: icmp_seq=2 ttl=64 time=0.747 ms
64 bytes from 192.168.10.128: icmp_seq=3 ttl=64 time=0.447 ms
64 bytes from 192.168.10.128: icmp_seq=4 ttl=64 time=0.772 ms
64 bytes from 192.168.10.128: icmp_seq=5 ttl=64 time=1.54 ms
64 bytes from 192.168.10.128: icmp_seq=6 ttl=64 time=0.808 ms
64 bytes from 192.168.10.128: icmp_seq=7 ttl=64 time=0.927 ms
64 bytes from 192.168.10.128: icmp_seq=8 ttl=64 time=0.821 ms
64 bytes from 192.168.10.128: icmp_seq=9 ttl=64 time=0.609 ms
64 bytes from 192.168.10.128: icmp_seq=10 ttl=64 time=0.808 ms
64 bytes from 192.168.10.128: icmp_seq=11 ttl=64 time=0.576 ms
64 bytes from 192.168.10.128: icmp_seq=12 ttl=64 time=0.980 ms
64 bytes from 192.168.10.128: icmp_seq=13 ttl=64 time=0.952 ms
64 bytes from 192.168.10.128: icmp_seq=14 ttl=64 time=0.750 ms
64 bytes from 192.168.10.128: icmp_seq=15 ttl=64 time=0.928 ms
64 bytes from 192.168.10.128: icmp_seq=16 ttl=64 time=0.628 ms
64 bytes from 192.168.10.128: icmp_seq=17 ttl=64 time=0.541 ms
64 bytes from 192.168.10.128: icmp_seq=18 ttl=64 time=0.470 ms
64 bytes from 192.168.10.128: icmp_seq=19 ttl=64 time=0.593 ms
64 bytes from 192.168.10.128: icmp_seq=20 ttl=64 time=0.649 ms
64 bytes from 192.168.10.128: icmp_seq=21 ttl=64 time=0.671 ms
64 bytes from 192.168.10.128: icmp_seq=22 ttl=64 time=0.855 ms
64 bytes from 192.168.10.128: icmp_seq=23 ttl=64 time=0.871 ms
64 bytes from 192.168.10.128: icmp_seq=24 ttl=64 time=0.915 ms
64 bytes from 192.168.10.128: icmp_seq=25 ttl=64 time=0.880 ms
64 bytes from 192.168.10.128: icmp_seq=26 ttl=64 time=0.869 ms
64 bytes from 192.168.10.128: icmp_seq=27 ttl=64 time=0.789 ms
64 bytes from 192.168.10.128: icmp_seq=28 ttl=64 time=0.942 ms
64 bytes from 192.168.10.128: icmp_seq=29 ttl=64 time=0.619 ms
64 bytes from 192.168.10.128: icmp_seq=30 ttl=64 time=0.780 ms
64 bytes from 192.168.10.128: icmp_seq=31 ttl=64 time=0.928 ms
64 bytes from 192.168.10.128: icmp_seq=32 ttl=64 time=0.814 ms
64 bytes from 192.168.10.128: icmp_seq=33 ttl=64 time=0.536 ms
64 bytes from 192.168.10.128: icmp_seq=34 ttl=64 time=0.968 ms
64 bytes from 192.168.10.128: icmp_seq=35 ttl=64 time=0.815 ms
64 bytes from 192.168.10.128: icmp_seq=36 ttl=64 time=15.2 ms
64 bytes from 192.168.10.128: icmp_seq=37 ttl=64 time=0.962 ms
64 bytes from 192.168.10.128: icmp_seq=38 ttl=64 time=0.729 ms
64 bytes from 192.168.10.128: icmp_seq=39 ttl=64 time=0.557 ms
64 bytes from 192.168.10.128: icmp_seq=40 ttl=64 time=0.470 ms
64 bytes from 192.168.10.128: icmp_seq=41 ttl=64 time=0.569 ms
64 bytes from 192.168.10.128: icmp_seq=42 ttl=64 time=11.8 ms
64 bytes from 192.168.10.128: icmp_seq=43 ttl=64 time=0.839 ms
64 bytes from 192.168.10.128: icmp_seq=44 ttl=64 time=0.820 ms
64 bytes from 192.168.10.128: icmp_seq=45 ttl=64 time=0.903 ms
