timestamp,cpu_percent,mem_used_mb,mem_percent
1762407709.1623037,39.60,1290.20,33.40
1762407710.170628,85.10,1306.86,33.80
1762407711.1721811,100.00,1304.94,33.70
1762407712.1732588,100.00,1307.37,33.80
1762407713.1754436,100.00,1302.67,33.70
1762407714.176824,100.00,1277.03,33.00
1762407715.178569,100.00,1279.10,33.10
1762407716.1792738,100.00,1278.86,33.10
1762407717.19215,100.00,1277.22,33.00
1762407718.193416,100.00,1282.23,33.10
1762407719.194324,100.00,1278.82,33.10
1762407720.1952827,99.50,1276.37,33.00
1762407721.1967766,100.00,1278.50,33.00
1762407722.1989286,95.10,1278.36,33.00
1762407723.2075238,100.00,1276.16,33.00
1762407724.2091584,100.00,1276.37,33.00
1762407725.210514,100.00,1286.52,33.30
1762407726.2114606,100.00,1275.23,33.00
1762407727.212765,100.00,1277.75,33.00
1762407728.2152119,100.00,1280.24,33.10
1762407729.216386,100.00,1278.14,33.00
1762407730.2172115,100.00,1278.49,33.00
1762407731.2183864,100.00,1281.61,33.10
1762407732.2191436,100.00,1278.04,33.00
1762407733.2202928,100.00,1277.05,33.00
1762407734.2214098,100.00,1279.63,33.10
1762407735.22256,100.00,1277.46,33.00
1762407736.2232118,100.00,1277.67,33.00
1762407737.224454,100.00,1276.76,33.00
1762407738.2257514,100.00,1277.47,33.00
1762407739.2275188,100.00,1279.53,33.10
1762407740.2295692,80.30,1275.23,33.00
1762407741.2316332,0.50,1275.23,33.00
1762407742.2333739,1.50,1275.47,33.00
1762407743.235322,0.50,1275.47,33.00
1762407744.2371125,0.50,1275.47,33.00
1762407745.2392745,1.50,1275.46,33.00
1762407746.2412457,1.00,1275.46,33.00
1762407747.2433002,0.50,1275.46,33.00
1762407748.2454877,0.00,1275.46,33.00
1762407749.2473683,1.00,1275.46,33.00
1762407750.249068,1.00,1275.46,33.00
1762407751.2512622,0.50,1275.46,33.00
1762407752.2533462,0.50,1275.46,33.00
1762407753.25539,1.00,1275.46,33.00
1762407754.2573767,0.00,1275.46,33.00
1762407755.2593446,1.00,1275.45,33.00
1762407756.261334,1.00,1275.45,33.00
1762407757.2634532,0.50,1275.45,33.00
1762407758.265224,1.00,1275.45,33.00
1762407759.2667696,0.00,1275.45,33.00
1762407760.2685015,1.00,1275.45,33.00
1762407761.2701528,0.00,1275.45,33.00
1762407762.2721965,0.50,1275.45,33.00
1762407763.2740626,0.00,1275.44,33.00
1762407764.2764788,0.00,1275.44,33.00
1762407765.278174,0.50,1275.44,33.00
1762407766.2798057,0.00,1275.44,33.00
1762407767.281643,0.50,1275.44,33.00
1762407768.2832458,0.50,1275.43,33.00
1762407769.285311,0.00,1275.43,33.00
1762407770.2872362,1.00,1275.43,33.00
1762407771.289092,0.00,1275.43,33.00
1762407772.2911236,1.00,1275.43,33.00
1762407773.292825,0.00,1275.43,33.00
1762407774.2949736,0.00,1275.43,33.00
1762407775.2967875,1.00,1275.43,33.00
1762407776.298326,0.50,1275.43,33.00
1762407777.3001041,0.00,1275.43,33.00
1762407778.3024583,1.00,1275.43,33.00
1762407779.3042793,0.00,1275.43,33.00
1762407780.3062623,0.50,1275.43,33.00
1762407781.3084824,0.00,1275.43,33.00
1762407782.310316,0.50,1275.42,33.00
1762407783.3121865,0.00,1275.42,33.00
1762407784.3141072,0.00,1275.42,33.00
1762407785.3161492,0.00,1275.42,33.00
1762407786.3180106,1.00,1275.42,33.00
1762407787.319721,0.00,1275.42,33.00
1762407788.3215077,0.50,1275.40,33.00
1762407789.32326,0.00,1275.40,33.00
1762407790.3253071,0.50,1275.40,33.00
1762407791.3273938,1.00,1275.40,33.00
1762407792.329123,0.00,1275.40,33.00
1762407793.3311157,0.00,1275.40,33.00
1762407794.3332877,0.50,1275.39,33.00
1762407795.3353598,0.50,1275.39,33.00
1762407796.3372433,0.50,1275.39,33.00
1762407797.3401961,0.00,1275.39,33.00
1762407798.34149,0.50,1275.39,33.00
1762407799.343421,0.50,1275.38,33.00
1762407800.3451073,0.50,1275.63,33.00
1762407801.3475318,0.00,1275.63,33.00
1762407802.349307,0.50,1275.63,33.00
1762407803.3513572,1.00,1275.63,33.00
1762407804.3533697,0.00,1275.63,33.00
1762407805.3551977,0.50,1275.63,33.00
1762407806.3573403,0.50,1275.62,33.00
1762407807.3590684,0.00,1275.62,33.00
1762407808.3607175,1.00,1275.62,33.00
1762407809.3627977,0.50,1275.62,33.00
1762407810.3653455,0.50,1275.62,33.00
1762407811.367512,1.00,1275.62,33.00
1762407812.369331,0.00,1275.62,33.00
1762407813.3716776,0.00,1275.62,33.00
1762407814.3734887,0.50,1275.62,33.00
1762407815.3754363,0.50,1275.61,33.00
1762407816.3772485,0.50,1275.61,33.00
1762407817.3791568,0.00,1275.61,33.00
1762407818.3808305,0.50,1275.60,33.00
1762407819.3826365,0.00,1275.60,33.00
1762407820.38434,1.00,1275.60,33.00
1762407821.386356,0.00,1275.60,33.00
1762407822.3883379,0.50,1275.60,33.00
1762407823.3902462,0.50,1275.60,33.00
1762407824.3923035,0.00,1275.60,33.00
1762407825.3943229,1.00,1275.59,33.00
1762407826.3964753,0.50,1275.59,33.00
1762407827.397508,0.50,1275.59,33.00
1762407828.3992822,0.50,1275.59,33.00
1762407829.401544,0.50,1275.59,33.00
1762407830.4034114,0.50,1275.59,33.00
1762407831.4055643,0.50,1275.59,33.00
1762407832.406832,0.00,1275.59,33.00
1762407833.4087715,0.00,1275.59,33.00
1762407834.4112847,0.50,1275.59,33.00
1762407835.4131517,0.00,1275.59,33.00
1762407836.4153702,2.50,1275.52,33.00
1762407837.4177883,0.50,1275.51,33.00
1762407838.4197507,0.50,1275.51,33.00
1762407839.4218345,0.00,1275.51,33.00
1762407840.4246569,1.00,1275.50,33.00
1762407841.42616,1.00,1276.14,33.00
1762407842.4291437,0.00,1276.08,33.00
1762407843.4316075,0.00,1276.08,33.00
1762407844.4322588,1.50,1277.58,33.00
1762407845.4335687,100.00,1275.93,33.00
1762407846.4375443,100.00,1277.00,33.00
1762407847.4405923,100.00,1275.73,33.00
1762407848.4412885,99.50,1276.80,33.00
1762407849.442229,100.00,1279.13,33.10
1762407850.4431312,100.00,1277.98,33.00
1762407851.444281,100.00,1274.73,33.00
1762407852.445398,100.00,1277.91,33.00
1762407853.4463108,100.00,1276.56,33.00
1762407854.447253,100.00,1277.85,33.00
1762407855.4482508,100.00,1273.83,32.90
1762407856.4492764,100.00,1274.77,33.00
1762407857.4503312,100.00,1279.29,33.10
1762407858.451669,100.00,1277.76,33.00
1762407859.4532523,100.00,1273.79,32.90
1762407860.454292,100.00,1277.77,33.00
1762407861.4554,100.00,1276.83,33.00
1762407862.4563735,100.00,1277.79,33.00
1762407863.4571888,100.00,1271.80,32.90
1762407864.4583485,99.50,1277.22,33.00
1762407865.4608817,100.00,1280.27,33.10
1762407866.4622877,100.00,1272.33,32.90
