timestamp,cpu_percent,mem_used_mb,mem_percent
1762407845.4252412,99.50,1277.97,33.00
1762407846.428121,100.00,1278.44,33.00
1762407847.4361382,100.00,1275.34,33.00
1762407848.4397273,99.50,1280.24,33.10
1762407849.4415853,100.00,1277.82,33.00
1762407850.4422016,100.00,1274.79,33.00
1762407851.4461427,100.00,1274.83,33.00
1762407852.4481459,100.00,1281.70,33.10
1762407853.4493577,100.00,1274.86,33.00
1762407854.4544418,100.00,1274.98,33.00
1762407855.4576418,100.00,1273.66,32.90
1762407856.4582608,100.00,1273.74,32.90
1762407857.4614992,100.00,1277.36,33.00
1762407858.4642727,100.00,1277.44,33.00
1762407859.465419,100.00,1277.75,33.00
1762407860.4677079,100.00,1275.64,33.00
1762407861.4736392,100.00,1277.25,33.00
1762407862.474508,100.00,1281.05,33.10
1762407863.4764686,100.00,1280.57,33.10
1762407864.4783127,99.50,1279.16,33.10
1762407865.481573,100.00,1272.55,32.90
1762407866.4862452,100.00,1272.47,32.90
1762407867.4907842,100.00,1273.55,32.90
1762407868.4923997,100.00,1274.26,32.90
1762407869.4943445,100.00,1276.33,33.00
1762407870.4973307,100.00,1274.93,33.00
1762407871.5001075,100.00,1272.96,32.90
1762407872.505392,100.00,1273.39,32.90
1762407873.5073235,100.00,1275.72,33.00
1762407874.5094564,94.00,1272.78,32.90
