timestamp,cpu_percent,mem_used_mb,mem_percent
1762420467.9985476,33.80,2442.93,63.20
1762420469.000434,60.00,2465.88,63.70
1762420470.0024133,20.20,2464.71,63.70
1762420471.0038402,4.00,2465.41,63.70
1762420472.0073693,5.20,2466.60,63.80
1762420473.0083299,4.50,2431.73,62.90
1762420474.0100248,2.20,2430.89,62.80
1762420475.0107331,0.00,2431.30,62.80
1762420476.0114746,1.60,2431.70,62.90
1762420477.0120702,1.10,2432.39,62.90
1762420478.0127418,0.50,2432.68,62.90
1762420479.0143132,0.60,2432.41,62.90
1762420480.0159752,1.10,2432.41,62.90
1762420481.017399,1.10,2433.06,62.90
1762420482.0181894,1.10,2432.14,62.90
1762420483.0189455,5.50,2433.82,62.90
1762420484.0204856,3.30,2431.92,62.90
1762420485.0220623,3.80,2436.07,63.00
1762420486.0233216,3.80,2434.05,62.90
1762420487.0242457,0.50,2435.09,62.90
1762420488.0250285,3.80,2433.58,62.90
1762420489.0256026,0.60,2433.95,62.90
1762420490.0263395,1.10,2432.95,62.90
1762420491.0271392,1.60,2434.19,62.90
1762420492.0279436,0.00,2434.52,62.90
1762420493.0292337,1.10,2433.22,62.90
1762420494.0302126,0.60,2433.71,62.90
1762420495.0310478,0.50,2433.83,62.90
1762420496.0317204,0.60,2434.73,62.90
1762420497.0338264,0.60,2434.21,62.90
1762420498.0346534,1.10,2434.59,62.90
1762420499.0351708,1.10,2435.02,62.90
1762420500.0373313,3.10,2429.74,62.80
1762420501.0398355,1.00,2429.69,62.80
1762420502.0430534,2.00,2430.92,62.80
1762420503.0454755,1.00,2430.96,62.80
1762420504.0473907,0.50,2430.96,62.80
1762420505.0493557,1.00,2430.96,62.80
1762420506.0516915,1.50,2430.96,62.80
1762420507.0541563,0.50,2430.96,62.80
1762420508.0561025,1.00,2430.96,62.80
1762420509.0582774,1.00,2430.95,62.80
1762420510.060638,1.00,2430.95,62.80
1762420511.0633516,0.50,2430.95,62.80
1762420512.0653753,1.00,2430.95,62.80
1762420513.0675254,0.50,2430.95,62.80
1762420514.0696511,1.00,2430.95,62.80
1762420515.0726511,1.00,2430.95,62.80
1762420516.074459,0.50,2430.95,62.80
1762420517.0764213,1.00,2430.95,62.80
1762420518.0784895,0.50,2429.89,62.80
1762420519.0816503,1.50,2429.88,62.80
1762420520.0841503,1.00,2429.88,62.80
1762420521.0863853,0.00,2429.88,62.80
1762420522.088427,1.50,2429.87,62.80
1762420523.0904303,0.00,2429.87,62.80
1762420524.0929291,0.50,2429.87,62.80
1762420525.096097,1.00,2429.86,62.80
1762420526.0982265,0.00,2429.86,62.80
1762420527.1004434,0.50,2429.86,62.80
1762420528.1026855,2.50,2429.86,62.80
1762420529.1047256,0.50,2429.86,62.80
1762420530.1066933,1.50,2429.86,62.80
1762420531.1089861,0.00,2429.85,62.80
1762420532.111338,1.00,2429.85,62.80
1762420533.1136642,0.50,2429.85,62.80
1762420534.1167417,0.50,2429.85,62.80
1762420535.1187406,0.50,2429.84,62.80
1762420536.121002,0.50,2429.84,62.80
1762420537.123664,1.00,2429.83,62.80
1762420538.125671,0.00,2429.83,62.80
1762420539.1276145,0.50,2429.83,62.80
1762420540.129473,0.50,2429.83,62.80
1762420541.1315866,0.50,2429.83,62.80
1762420542.1337373,1.00,2429.83,62.80
1762420543.1357558,4.50,2429.83,62.80
1762420544.138569,2.00,2429.82,62.80
1762420545.1411633,0.50,2429.82,62.80
1762420546.143653,1.00,2429.82,62.80
1762420547.1462512,1.00,2429.82,62.80
1762420548.148266,2.00,2429.81,62.80
1762420549.1505134,1.00,2429.81,62.80
1762420550.1533108,0.00,2429.81,62.80
1762420551.155508,0.50,2429.80,62.80
1762420552.158303,0.50,2429.80,62.80
1762420553.1604178,0.50,2429.80,62.80
1762420554.163563,1.00,2429.80,62.80
1762420555.1655374,0.50,2429.80,62.80
1762420556.1675434,0.50,2429.80,62.80
1762420557.169614,1.00,2429.79,62.80
1762420558.1725523,0.50,2429.79,62.80
1762420559.1750433,0.50,2429.79,62.80
1762420560.1772594,1.00,2429.79,62.80
1762420561.1793666,6.50,2453.15,63.40
1762420562.1817818,0.00,2453.15,63.40
1762420563.1843562,1.00,2453.15,63.40
1762420564.1862557,2.00,2453.14,63.40
1762420565.1884604,1.50,2453.13,63.40
1762420566.1909502,0.50,2453.13,63.40
1762420567.1936893,0.50,2453.13,63.40
1762420568.195617,2.00,2453.12,63.40
1762420569.1974566,1.00,2453.12,63.40
1762420570.2001607,0.00,2453.11,63.40
1762420571.202542,1.50,2453.11,63.40
1762420572.204476,0.50,2453.11,63.40
1762420573.2072072,5.00,2453.11,63.40
1762420574.209711,0.50,2453.11,63.40
1762420575.2117393,1.00,2453.10,63.40
1762420576.2137413,0.50,2453.10,63.40
1762420577.2160783,0.00,2453.10,63.40
1762420578.2181606,1.00,2453.10,63.40
1762420579.2202601,2.00,2453.01,63.40
1762420580.2226114,0.50,2453.01,63.40
1762420581.2251022,1.00,2453.01,63.40
1762420582.2267365,0.00,2453.01,63.40
1762420583.2291007,0.50,2453.01,63.40
1762420584.2315633,1.50,2453.01,63.40
1762420585.234295,1.50,2453.01,63.40
1762420586.2364037,2.50,2453.00,63.40
1762420587.2384021,2.00,2453.00,63.40
1762420588.2405765,0.50,2453.00,63.40
1762420589.2430491,3.50,2453.00,63.40
1762420590.2455096,0.00,2453.00,63.40
1762420591.2476823,0.50,2452.98,63.40
1762420592.250019,0.50,2452.98,63.40
