timestamp,cpu_percent,mem_used_mb,mem_percent
1762420470.0485651,15.70,2463.51,63.70
1762420471.050077,4.00,2466.09,63.70
1762420472.052393,5.20,2465.70,63.70
1762420473.0567222,4.50,2431.91,62.90
1762420474.0586634,1.70,2432.73,62.90
1762420475.0591726,0.50,2431.75,62.90
1762420476.0596159,1.60,2431.91,62.90
1762420477.060225,1.10,2431.81,62.90
1762420478.0607035,0.50,2432.25,62.90
1762420479.0611656,0.60,2432.44,62.90
1762420480.0626674,1.10,2432.66,62.90
1762420481.0632794,1.10,2433.06,62.90
1762420482.0637789,1.10,2432.14,62.90
1762420483.064647,5.50,2432.00,62.90
1762420484.0652165,3.80,2431.54,62.90
1762420485.0670118,3.30,2436.07,63.00
1762420486.0679421,3.80,2434.55,62.90
1762420487.0686393,0.50,2434.27,62.90
1762420488.0695662,3.80,2433.18,62.90
1762420489.070641,0.50,2434.17,62.90
1762420490.0717304,1.10,2433.32,62.90
1762420491.0727298,1.60,2434.66,62.90
1762420492.0732632,0.00,2434.74,62.90
1762420493.0739934,1.10,2434.08,62.90
1762420494.074705,0.60,2433.93,62.90
1762420495.0757742,0.50,2434.08,62.90
1762420496.0765078,1.10,2434.95,62.90
1762420497.0775807,0.50,2434.92,62.90
1762420498.0781944,1.10,2435.09,62.90
1762420499.0792365,1.10,2434.73,62.90
