timestamp,cpu_percent,mem_used_mb,mem_percent
1762415746.2947161,38.80,2356.79,60.90
1762415747.296403,5.50,2365.88,61.20
1762415748.3009098,90.40,2372.43,61.30
1762415749.3024712,100.00,2369.64,61.30
1762415750.3035138,100.00,2371.25,61.30
1762415751.3136907,100.00,2372.88,61.30
1762415752.3154156,100.00,2341.43,60.50
1762415753.316353,100.00,2343.09,60.60
1762415754.3185625,100.00,2341.12,60.50
1762415755.3341403,95.30,2352.13,60.80
1762415756.3353872,100.00,2339.10,60.50
1762415757.336389,100.00,2342.64,60.60
1762415758.3380675,93.80,2341.89,60.50
1762415759.3420496,100.00,2341.03,60.50
1762415760.3433466,100.00,2338.25,60.40
1762415761.3463135,100.00,2343.29,60.60
1762415762.3487978,100.00,2348.96,60.70
1762415763.3523164,100.00,2337.21,60.40
1762415764.3579154,100.00,2337.15,60.40
1762415765.3596852,100.00,2340.54,60.50
1762415766.361666,100.00,2337.73,60.40
1762415767.3633773,100.00,2342.13,60.50
1762415768.365517,99.50,2336.43,60.40
1762415769.3709028,100.00,2340.15,60.50
1762415770.3734007,100.00,2340.87,60.50
1762415771.3743556,100.00,2339.05,60.50
1762415772.3753333,100.00,2338.90,60.50
1762415773.3767269,100.00,2339.38,60.50
1762415774.3792913,100.00,2338.38,60.40
1762415775.3810458,100.00,2336.14,60.40
1762415776.3823252,100.00,2338.42,60.40
1762415777.3840737,100.00,2338.09,60.40
1762415778.3872144,79.40,2333.46,60.30
1762415779.3911114,1.00,2333.46,60.30
1762415780.3929853,2.00,2334.20,60.30
1762415781.3955243,0.50,2334.19,60.30
1762415782.3977356,1.50,2334.19,60.30
1762415783.4001188,1.00,2334.19,60.30
1762415784.402358,0.50,2334.19,60.30
1762415785.4042838,1.50,2334.19,60.30
1762415786.4064875,1.00,2334.19,60.30
1762415787.409032,1.00,2334.19,60.30
1762415788.4112313,0.50,2334.19,60.30
1762415789.4139874,1.50,2334.18,60.30
1762415790.41571,1.00,2334.18,60.30
1762415791.4165335,1.00,2334.43,60.30
1762415792.4184813,1.00,2334.43,60.30
1762415793.420318,0.50,2334.40,60.30
1762415794.4221704,1.00,2334.40,60.30
1762415795.4242332,1.00,2334.40,60.30
1762415796.4266193,1.00,2334.40,60.30
1762415797.429363,5.00,2339.06,60.50
1762415798.4314263,1.50,2339.04,60.50
1762415799.433186,0.00,2339.03,60.50
1762415800.4350667,0.00,2339.03,60.50
1762415801.4372237,1.00,2339.03,60.50
1762415802.4397428,0.50,2339.03,60.50
1762415803.4421768,2.50,2339.03,60.50
1762415804.444133,0.00,2339.03,60.50
1762415805.446392,6.00,2339.77,60.50
1762415806.4484434,1.50,2339.77,60.50
1762415807.449306,0.50,2339.77,60.50
1762415808.4504106,2.00,2340.75,60.50
1762415809.4527612,4.00,2345.90,60.60
1762415810.454776,1.00,2345.90,60.60
1762415811.4564357,0.50,2345.90,60.60
1762415812.4582303,0.00,2345.90,60.60
1762415813.4601488,1.00,2345.89,60.60
1762415814.4617453,1.00,2345.89,60.60
1762415815.4634268,3.00,2347.62,60.70
1762415816.4655468,0.50,2347.62,60.70
1762415817.467497,0.00,2347.60,60.70
1762415818.4697485,0.50,2347.59,60.70
1762415819.4719973,1.00,2347.59,60.70
1762415820.4744124,0.50,2347.59,60.70
1762415821.477212,1.00,2347.59,60.70
1762415822.479793,0.50,2347.59,60.70
1762415823.4823153,0.50,2347.59,60.70
1762415824.484545,0.50,2347.59,60.70
1762415825.4867575,0.50,2347.59,60.70
1762415826.4899027,1.00,2347.59,60.70
1762415827.4921591,1.00,2347.59,60.70
1762415828.4940813,1.50,2347.59,60.70
1762415829.4966185,1.00,2347.59,60.70
1762415830.498486,0.00,2347.59,60.70
1762415831.5005863,2.00,2347.59,60.70
1762415832.5031245,0.00,2347.59,60.70
1762415833.5053697,1.50,2347.58,60.70
1762415834.507662,0.50,2347.58,60.70
1762415835.510268,1.50,2347.57,60.70
1762415836.5121276,4.00,2349.05,60.70
1762415837.514157,1.00,2349.04,60.70
1762415838.5155761,0.00,2349.04,60.70
1762415839.5181072,0.00,2349.03,60.70
1762415840.5204778,1.00,2349.03,60.70
1762415841.5222654,0.50,2349.03,60.70
1762415842.5242643,0.00,2349.03,60.70
1762415843.5257215,0.00,2349.03,60.70
1762415844.5277486,1.00,2349.03,60.70
1762415845.530391,0.00,2349.02,60.70
1762415846.5325677,1.00,2349.02,60.70
1762415847.5350814,0.50,2349.02,60.70
1762415848.537362,1.00,2349.02,60.70
1762415849.5395794,1.00,2349.02,60.70
1762415850.5424259,0.50,2349.02,60.70
1762415851.5443728,0.50,2349.02,60.70
1762415852.5464735,0.50,2349.02,60.70
1762415853.5485382,0.00,2349.02,60.70
1762415854.551437,1.00,2349.02,60.70
1762415855.5536327,1.00,2349.01,60.70
1762415856.5562603,1.00,2349.01,60.70
1762415857.558466,0.50,2349.01,60.70
1762415858.560821,0.00,2349.01,60.70
1762415859.5634232,2.50,2349.25,60.70
1762415860.5654216,0.00,2349.23,60.70
1762415861.567233,0.50,2349.23,60.70
1762415862.5694237,0.50,2349.23,60.70
1762415863.5717385,2.00,2349.23,60.70
1762415864.574223,0.50,2349.23,60.70
1762415865.5766096,6.00,2349.23,60.70
1762415866.579131,1.00,2349.22,60.70
1762415867.5820425,1.50,2349.22,60.70
1762415868.5843313,0.50,2349.22,60.70
1762415869.5865073,0.50,2349.22,60.70
1762415870.5885897,1.00,2349.22,60.70
1762415871.5913455,0.50,2349.22,60.70
1762415872.5934062,0.50,2349.22,60.70
1762415873.595975,0.50,2349.22,60.70
1762415874.5979934,0.00,2349.22,60.70
1762415875.599797,0.00,2349.22,60.70
