timestamp,cpu_percent,mem_used_mb,mem_percent
1762415883.572312,99.50,2336.23,60.40
1762415884.5765836,100.00,2338.38,60.40
1762415885.579308,100.00,2338.59,60.50
1762415886.5817952,100.00,2338.06,60.40
1762415887.5862646,100.00,2338.29,60.40
1762415888.589434,100.00,2337.93,60.40
1762415889.5912046,100.00,2338.25,60.40
1762415890.5932095,100.00,2340.38,60.50
1762415891.5942128,100.00,2340.57,60.50
1762415892.59574,100.00,2339.83,60.50
1762415893.5971906,100.00,2341.94,60.50
1762415894.6075637,100.00,2346.45,60.70
1762415895.6124005,100.00,2339.01,60.50
1762415896.617167,100.00,2338.19,60.40
1762415897.6187294,99.50,2340.69,60.50
1762415898.6219585,100.00,2339.64,60.50
1762415899.6234982,100.00,2339.41,60.50
1762415900.626007,100.00,2343.22,60.60
1762415901.6271908,100.00,2339.70,60.50
1762415902.6298015,100.00,2339.32,60.50
1762415903.6337705,100.00,2340.18,60.50
1762415904.638587,100.00,2338.16,60.40
1762415905.6428301,100.00,2339.88,60.50
1762415906.6444173,100.00,2338.80,60.50
1762415907.6476626,100.00,2339.21,60.50
1762415908.64928,100.00,2347.51,60.70
1762415909.6527238,100.00,2346.59,60.70
1762415910.656958,100.00,2338.97,60.50
1762415911.6588805,100.00,2339.22,60.50
1762415912.6624556,93.00,2339.67,60.50
