timestamp,cpu_percent,mem_used_mb,mem_percent
1762424120.576153,13.80,2583.06,66.80
1762424121.5782325,41.50,2585.11,66.80
1762424122.5907953,100.00,2588.11,66.90
1762424123.598804,100.00,2590.80,67.00
1762424124.6112232,100.00,2590.76,67.00
1762424125.6122952,100.00,2587.61,66.90
1762424126.6139657,100.00,2587.63,66.90
1762424127.615438,100.00,2585.17,66.80
1762424128.6166267,97.50,2595.04,67.10
1762424129.6196167,100.00,2572.84,66.50
1762424130.624761,100.00,2569.62,66.40
1762424131.6446977,92.50,2609.64,67.50
1762424132.7437613,96.60,2569.20,66.40
1762424133.8918197,94.40,2581.12,66.70
1762424134.8934145,61.40,2566.79,66.40
1762424135.909444,90.60,2567.36,66.40
1762424136.9311893,98.50,2568.97,66.40
1762424137.9326792,96.60,2567.26,66.40
1762424138.9469695,100.00,2572.91,66.50
1762424139.9595804,98.60,2575.86,66.60
1762424140.981173,100.00,2573.21,66.50
1762424141.9825635,100.00,2568.96,66.40
1762424142.9884627,100.00,2570.36,66.40
1762424143.9927871,100.00,2569.79,66.40
1762424144.9947543,100.00,2570.95,66.50
1762424145.996816,100.00,2569.30,66.40
1762424147.0037827,90.50,2587.25,66.90
1762424148.0456913,92.20,2569.05,66.40
1762424149.047537,100.00,2571.29,66.50
1762424150.0485456,100.00,2571.14,66.50
1762424151.0573702,100.00,2568.64,66.40
1762424152.0594537,55.00,2565.77,66.30
1762424153.0636504,4.50,2565.77,66.30
1762424154.0677898,2.00,2566.02,66.30
1762424155.071114,2.00,2566.01,66.30
1762424156.0737562,2.00,2566.01,66.30
1762424157.0761795,0.50,2566.01,66.30
1762424158.0781655,1.00,2566.01,66.30
1762424159.0798085,3.00,2566.00,66.30
1762424160.0827253,2.00,2566.00,66.30
1762424161.0870702,2.00,2566.00,66.30
1762424162.0894418,4.00,2566.00,66.30
1762424163.0915205,0.50,2566.00,66.30
1762424164.0941203,1.00,2566.00,66.30
1762424165.0962703,1.50,2566.00,66.30
1762424166.1007912,1.50,2566.00,66.30
1762424167.1037674,2.50,2566.00,66.30
1762424168.106726,2.00,2566.00,66.30
1762424169.1087604,1.00,2566.00,66.30
1762424170.1105847,0.50,2566.00,66.30
1762424171.112289,1.50,2566.00,66.30
1762424172.1151104,1.00,2566.00,66.30
1762424173.1187446,0.50,2566.00,66.30
1762424174.1210723,1.50,2566.00,66.30
1762424175.123042,2.00,2566.47,66.30
1762424176.1252067,1.00,2566.47,66.30
1762424177.1267931,1.00,2566.47,66.30
1762424178.136262,0.50,2566.47,66.30
1762424179.1392002,0.50,2566.47,66.30
1762424180.1416945,1.00,2566.46,66.30
1762424181.1444016,1.00,2566.46,66.30
1762424182.1466808,1.50,2566.46,66.30
1762424183.1546078,1.50,2566.46,66.30
1762424184.1562529,0.50,2566.46,66.30
1762424185.1585367,2.00,2566.46,66.30
1762424186.1602364,1.00,2566.46,66.30
1762424187.167104,1.00,2566.46,66.30
1762424188.1698327,1.00,2566.46,66.30
1762424189.1725626,0.50,2566.46,66.30
1762424190.1747932,2.00,2566.36,66.30
1762424191.1768084,0.50,2566.45,66.30
1762424192.183475,3.00,2566.45,66.30
1762424193.1863644,1.50,2566.45,66.30
1762424194.2197232,2.90,2566.44,66.30
1762424195.2972786,1.00,2566.44,66.30
1762424196.3007002,1.00,2566.44,66.30
1762424197.303643,1.00,2566.44,66.30
1762424198.4685695,0.40,2566.44,66.30
1762424199.4711227,0.50,2566.44,66.30
1762424200.47296,0.00,2566.43,66.30
1762424201.474699,1.00,2566.43,66.30
1762424202.4771812,0.00,2566.43,66.30
1762424203.479035,2.50,2566.43,66.30
1762424204.4802392,5.60,2569.14,66.40
1762424205.4822054,2.50,2569.12,66.40
1762424206.483704,0.50,2569.12,66.40
1762424207.485698,0.50,2569.12,66.40
1762424208.4881444,0.50,2569.12,66.40
1762424209.4901958,0.50,2569.12,66.40
1762424210.4922478,0.50,2569.12,66.40
1762424211.49478,1.00,2569.12,66.40
1762424212.4980135,6.00,2569.85,66.40
1762424213.5003192,0.00,2569.85,66.40
1762424214.5022123,0.50,2569.85,66.40
1762424215.5042303,1.00,2569.85,66.40
1762424216.5058115,1.50,2569.85,66.40
1762424217.5081384,0.00,2569.83,66.40
1762424218.5097592,0.50,2569.83,66.40
1762424219.5113199,0.50,2569.83,66.40
1762424220.513257,1.00,2569.83,66.40
1762424221.515272,1.50,2569.82,66.40
1762424222.517596,3.00,2569.71,66.40
1762424223.519292,0.50,2569.70,66.40
1762424224.5213716,1.00,2569.70,66.40
1762424225.5233855,0.50,2569.70,66.40
1762424226.5261528,1.00,2569.68,66.40
1762424227.5284176,0.00,2569.68,66.40
1762424228.530314,1.00,2569.68,66.40
1762424229.5322475,1.00,2569.68,66.40
1762424230.5334277,0.50,2569.68,66.40
1762424231.5355387,1.50,2569.68,66.40
1762424232.5381594,0.50,2569.67,66.40
1762424233.54012,0.00,2569.67,66.40
1762424234.5417638,25.50,2569.67,66.40
1762424235.5435581,1.50,2569.67,66.40
1762424236.5456061,0.00,2569.67,66.40
1762424237.5477974,0.50,2569.67,66.40
1762424238.5503068,0.00,2569.67,66.40
1762424239.5522542,0.50,2569.67,66.40
1762424240.5537848,0.00,2569.67,66.40
1762424241.5557342,0.50,2569.67,66.40
1762424242.5576131,0.50,2569.66,66.40
1762424243.5595174,0.50,2569.66,66.40
1762424244.5615222,0.00,2569.65,66.40
1762424245.5632408,0.50,2569.65,66.40
1762424246.564826,1.00,2569.65,66.40
1762424247.5665693,0.00,2569.65,66.40
1762424248.5695431,7.00,2570.04,66.40
1762424249.5713336,0.00,2570.09,66.40
1762424250.5737023,1.00,2570.09,66.40
1762424251.57545,0.00,2570.09,66.40
1762424252.5775125,3.50,2562.21,66.20
1762424253.5799835,2.00,2562.20,66.20
1762424254.5818074,1.50,2562.20,66.20
1762424255.5836577,0.00,2562.20,66.20
1762424256.5847075,76.90,2503.66,64.70
1762424257.5861917,100.00,2502.31,64.70
1762424258.5873578,100.00,2503.34,64.70
1762424259.588476,100.00,2504.66,64.70
1762424260.5900197,100.00,2508.66,64.80
1762424261.5916462,100.00,2521.53,65.20
1762424262.593302,100.00,2508.42,64.80
1762424263.5943053,100.00,2507.89,64.80
1762424264.5965347,100.00,2502.64,64.70
1762424265.5978885,100.00,2511.58,64.90
1762424266.5995357,100.00,2512.10,64.90
1762424267.6010451,100.00,2506.08,64.80
1762424268.6025007,100.00,2506.07,64.80
1762424269.606189,100.00,2505.83,64.80
1762424270.6085656,100.00,2509.07,64.90
1762424271.6113684,100.00,2504.34,64.70
1762424272.6123376,100.00,2507.35,64.80
1762424273.6140366,100.00,2512.44,64.90
1762424274.6208663,100.00,2515.89,65.00
1762424275.623109,100.00,2507.68,64.80
1762424276.6242409,100.00,2504.12,64.70
1762424277.6257854,100.00,2508.12,64.80
1762424278.6283722,100.00,2509.58,64.90
1762424279.6322343,100.00,2511.73,64.90
1762424280.6331801,100.00,2505.48,64.80
1762424281.6347373,100.00,2510.80,64.90
1762424282.637213,99.50,2506.54,64.80
1762424283.6381874,100.00,2504.17,64.70
1762424284.6415346,100.00,2509.35,64.90
1762424285.6422167,100.00,2508.39,64.80
1762424286.6439838,19.70,2501.36,64.70
1762424287.6463535,1.50,2501.36,64.70
1762424288.6483278,1.50,2501.60,64.70
1762424289.650572,1.00,2501.60,64.70
1762424290.651953,0.00,2501.60,64.70
1762424291.6533575,2.50,2501.84,64.70
1762424292.6553369,1.00,2501.84,64.70
1762424293.6580079,0.00,2501.84,64.70
1762424294.6600213,15.60,2501.83,64.70
1762424295.6621225,1.00,2501.83,64.70
1762424296.66432,0.50,2501.83,64.70
1762424297.6662042,1.00,2501.83,64.70
1762424298.6679788,0.50,2501.83,64.70
1762424299.6695318,0.50,2501.83,64.70
1762424300.6712065,0.50,2501.82,64.70
1762424301.6730692,0.50,2501.82,64.70
1762424302.6752343,0.50,2501.82,64.70
1762424303.6775463,1.00,2501.82,64.70
1762424304.679276,1.00,2501.82,64.70
1762424305.6814537,0.50,2501.82,64.70
1762424306.683449,1.00,2501.81,64.70
1762424307.6851811,0.00,2501.81,64.70
1762424308.6870544,3.50,2501.90,64.70
1762424309.6890905,1.50,2501.90,64.70
1762424310.691065,0.50,2501.90,64.70
1762424311.6934729,0.50,2501.89,64.70
1762424312.6955593,1.00,2501.89,64.70
1762424313.6977894,0.50,2501.89,64.70
1762424314.6997154,1.00,2501.89,64.70
1762424315.7013068,1.00,2501.89,64.70
1762424316.7034771,1.00,2501.89,64.70
1762424317.7057147,0.50,2501.89,64.70
1762424318.7074552,1.00,2501.89,64.70
1762424319.7091596,0.50,2501.89,64.70
1762424320.7117321,0.50,2501.89,64.70
1762424321.7137148,1.00,2501.89,64.70
1762424322.715509,1.00,2501.89,64.70
1762424323.7181456,2.00,2501.88,64.70
1762424324.719826,0.50,2501.88,64.70
1762424325.7216587,1.00,2501.88,64.70
1762424326.7245054,1.50,2501.88,64.70
1762424327.726299,0.50,2501.88,64.70
1762424328.7281497,1.00,2501.88,64.70
1762424329.730149,0.00,2501.88,64.70
1762424330.7317376,0.50,2501.88,64.70
1762424331.7336195,1.00,2501.88,64.70
1762424332.7357185,5.00,2501.87,64.70
1762424333.7376952,0.50,2501.87,64.70
1762424334.739714,1.00,2501.87,64.70
1762424335.7422454,2.00,2501.86,64.70
1762424336.7440352,1.50,2501.86,64.70
1762424337.746152,0.00,2501.86,64.70
1762424338.7488313,0.50,2501.85,64.70
1762424339.7508078,0.50,2501.85,64.70
1762424340.7530687,1.50,2501.85,64.70
1762424341.7550974,0.00,2501.85,64.70
1762424342.757168,1.50,2501.85,64.70
1762424343.7602894,0.50,2501.85,64.70
1762424344.7622578,1.00,2501.84,64.70
1762424345.7643209,0.50,2501.83,64.70
1762424346.76635,1.00,2501.83,64.70
1762424347.768586,0.00,2501.82,64.70
1762424348.770535,1.50,2501.82,64.70
1762424349.7725346,1.00,2501.82,64.70
1762424350.7746923,1.50,2501.82,64.70
1762424351.7785141,1.50,2501.81,64.70
1762424352.7817645,0.50,2501.81,64.70
1762424353.7840269,1.00,2501.81,64.70
1762424354.785973,0.50,2501.81,64.70
1762424355.7876658,1.00,2501.81,64.70
1762424356.7894826,1.50,2501.81,64.70
1762424357.7903411,1.00,2501.81,64.70
1762424358.7936583,1.00,2501.81,64.70
1762424359.7971375,1.00,2501.80,64.70
1762424360.7995675,1.50,2501.80,64.70
1762424361.8013763,1.50,2501.80,64.70
1762424362.8031564,0.00,2501.80,64.70
1762424363.8047285,1.00,2501.80,64.70
1762424364.8057637,1.00,2501.80,64.70
1762424365.809452,0.00,2501.80,64.70
1762424366.811749,2.00,2501.80,64.70
1762424367.8150709,0.50,2501.80,64.70
1762424368.8176646,1.50,2501.80,64.70
1762424369.8195627,0.50,2501.80,64.70
1762424370.82169,0.00,2501.80,64.70
1762424371.8266163,1.00,2501.80,64.70
1762424372.8296022,1.00,2501.80,64.70
1762424373.8331516,1.50,2501.80,64.70
1762424374.8386912,3.00,2501.79,64.70
1762424375.84756,0.50,2501.79,64.70
1762424376.8509586,1.50,2501.79,64.70
1762424377.8535275,0.50,2501.79,64.70
1762424378.855338,0.00,2501.79,64.70
1762424379.8573413,1.00,2501.79,64.70
1762424380.8599362,0.00,2501.79,64.70
1762424381.8616035,0.50,2501.79,64.70
1762424382.8637204,0.50,2501.79,64.70
1762424383.8661149,1.50,2501.79,64.70
1762424384.8680856,0.50,2501.79,64.70
1762424385.8704016,0.50,2501.79,64.70
1762424386.8720772,1.00,2501.78,64.70
1762424387.87373,1.50,2501.78,64.70
1762424388.8763018,0.50,2501.78,64.70
1762424389.8782887,1.00,2501.78,64.70
1762424390.880194,66.30,2500.58,64.60
1762424391.881246,100.00,2502.82,64.70
1762424392.8830357,100.00,2503.45,64.70
1762424393.8841872,100.00,2497.49,64.60
1762424394.8855457,100.00,2497.82,64.60
1762424395.8913827,100.00,2501.31,64.70
1762424396.8925235,100.00,2499.40,64.60
1762424397.8955462,100.00,2502.17,64.70
1762424398.8973792,100.00,2505.33,64.80
1762424399.8982317,100.00,2498.29,64.60
1762424400.9025326,100.00,2503.12,64.70
1762424401.9033976,100.00,2501.43,64.70
1762424402.904414,100.00,2503.58,64.70
1762424403.918801,98.90,2503.52,64.70
1762424404.920276,100.00,2506.27,64.80
1762424405.9233847,100.00,2505.96,64.80
1762424406.9252324,100.00,2504.72,64.70
1762424407.926192,100.00,2509.08,64.90
1762424408.927313,100.00,2506.92,64.80
1762424409.929723,100.00,2502.85,64.70
1762424410.9323661,100.00,2506.87,64.80
1762424411.9349396,100.00,2510.95,64.90
1762424412.938262,100.00,2509.17,64.90
1762424413.939352,100.00,2509.16,64.90
1762424414.941239,100.00,2506.46,64.80
1762424415.943466,100.00,2511.14,64.90
1762424416.9464324,100.00,2503.98,64.70
1762424417.9486475,100.00,2503.12,64.70
1762424418.952392,100.00,2513.54,65.00
1762424419.953732,100.00,2506.92,64.80
1762424420.9572914,37.20,2500.90,64.60
1762424421.9601681,7.10,2500.90,64.60
1762424422.962084,6.60,2501.64,64.70
1762424423.9640975,6.00,2501.64,64.70
1762424424.966203,5.50,2501.64,64.70
1762424425.9683933,5.00,2501.64,64.70
1762424426.9701903,4.50,2501.64,64.70
1762424427.9722207,3.50,2501.64,64.70
1762424428.9739914,3.50,2501.64,64.70
1762424429.9755948,3.00,2501.64,64.70
1762424430.9774961,26.80,2473.07,63.90
1762424431.979285,1.00,2473.07,63.90
1762424432.9814277,1.00,2473.07,63.90
1762424433.998208,0.00,2473.07,63.90
1762424435.001675,5.00,2473.07,63.90
1762424436.0035014,1.00,2473.07,63.90
1762424437.0054832,0.50,2473.06,63.90
1762424438.0076246,0.00,2473.06,63.90
1762424439.0097437,0.50,2473.06,63.90
1762424440.0124772,0.00,2473.06,63.90
1762424441.0142252,0.50,2473.06,63.90
1762424442.0158033,0.50,2473.05,63.90
1762424443.0183938,0.00,2473.05,63.90
1762424444.0202637,1.50,2473.05,63.90
1762424445.0218265,0.50,2473.05,63.90
1762424446.02433,0.50,2473.05,63.90
1762424447.0264347,2.00,2473.05,63.90
1762424448.0282211,0.50,2473.05,63.90
1762424449.0301685,0.00,2473.05,63.90
1762424450.0311594,1.50,2473.04,63.90
1762424451.0335276,0.50,2473.04,63.90
1762424452.035178,7.00,2473.78,63.90
1762424453.0371945,1.50,2473.78,63.90
1762424454.0397034,0.00,2473.78,63.90
1762424455.0415063,0.50,2473.78,63.90
1762424456.0431933,1.00,2473.77,63.90
1762424457.0452132,1.50,2473.77,63.90
1762424458.0472894,2.00,2474.25,64.00
1762424459.0493703,1.50,2474.49,64.00
1762424460.0515192,1.00,2474.71,64.00
1762424461.0535872,0.50,2474.71,64.00
1762424462.0561955,0.00,2474.71,64.00
1762424463.057824,1.00,2474.96,64.00
1762424464.0594094,0.50,2474.96,64.00
1762424465.0611799,1.00,2474.96,64.00
1762424466.0634873,1.00,2474.96,64.00
1762424467.065784,0.50,2474.95,64.00
1762424468.0674021,1.00,2474.95,64.00
1762424469.069778,0.00,2474.95,64.00
1762424470.0715146,0.50,2474.95,64.00
1762424471.0732024,1.50,2474.95,64.00
1762424472.0761693,0.50,2474.94,64.00
1762424473.077385,0.00,2474.94,64.00
1762424474.0794923,1.00,2474.94,64.00
1762424475.0816343,0.50,2474.94,64.00
1762424476.084697,0.50,2474.93,64.00
1762424477.0864987,1.00,2474.93,64.00
1762424478.0881343,0.00,2474.93,64.00
1762424479.089817,0.50,2474.93,64.00
1762424480.0920875,0.50,2474.93,64.00
1762424481.0942416,0.50,2474.93,64.00
1762424482.0965395,1.50,2474.93,64.00
1762424483.0986197,0.50,2474.93,64.00
1762424484.1003156,0.00,2474.93,64.00
1762424485.1022947,0.50,2474.93,64.00
1762424486.1043818,1.00,2474.93,64.00
1762424487.1064496,0.50,2474.93,64.00
1762424488.1086602,1.00,2474.93,64.00
1762424489.1103182,0.00,2474.92,64.00
1762424490.1121829,0.50,2474.92,64.00
1762424491.1142886,0.50,2474.92,64.00
1762424492.1166217,0.00,2474.92,64.00
1762424493.1178253,1.50,2474.92,64.00
1762424494.119955,0.50,2474.91,64.00
1762424495.1216226,0.50,2474.91,64.00
1762424496.1384268,3.00,2474.91,64.00
1762424497.141043,0.50,2474.91,64.00
1762424498.143265,0.50,2474.91,64.00
1762424499.1455157,0.50,2474.91,64.00
1762424500.1474001,0.50,2474.91,64.00
1762424501.1493664,0.00,2474.91,64.00
1762424502.1513698,1.00,2474.91,64.00
1762424503.1531549,0.00,2474.91,64.00
1762424504.1553802,5.00,2478.35,64.10
1762424505.157533,6.50,2478.56,64.10
1762424506.1594143,3.80,2478.56,64.10
1762424507.16131,1.00,2478.56,64.10
1762424508.1632776,0.50,2478.56,64.10
1762424509.1660998,0.00,2478.56,64.10
1762424510.167684,0.50,2478.56,64.10
1762424511.169406,1.50,2478.56,64.10
1762424512.1720726,0.50,2478.56,64.10
1762424513.1743646,0.50,2478.56,64.10
1762424514.1801717,0.50,2478.56,64.10
1762424515.2052705,18.90,2479.52,64.10
