timestamp,cpu_percent,mem_used_mb,mem_percent
1762424525.6374702,98.70,2485.69,64.30
1762424526.6435554,98.70,2478.13,64.10
1762424527.6547527,100.00,2480.46,64.10
1762424528.6607468,100.00,2478.21,64.10
1762424529.665218,100.00,2478.98,64.10
1762424530.670387,100.00,2481.43,64.10
1762424531.677213,98.70,2487.24,64.30
1762424532.6839712,100.00,2478.18,64.10
1762424533.6879876,100.00,2483.90,64.20
1762424534.6899776,100.00,2481.22,64.10
1762424535.6924717,100.00,2477.92,64.10
1762424536.697888,100.00,2481.86,64.20
1762424537.6999006,100.00,2484.44,64.20
1762424538.7105145,100.00,2480.12,64.10
1762424539.7124734,100.00,2480.38,64.10
1762424540.7196329,100.00,2481.01,64.10
1762424541.7227366,100.00,2481.50,64.10
1762424542.727028,100.00,2482.20,64.20
1762424543.7345264,100.00,2478.61,64.10
1762424544.7401168,100.00,2475.61,64.00
1762424545.7426655,100.00,2479.90,64.10
1762424546.7481441,100.00,2476.34,64.00
1762424547.7509148,100.00,2475.38,64.00
1762424548.753117,100.00,2478.05,64.10
1762424549.7572122,100.00,2475.17,64.00
1762424550.7611983,100.00,2478.09,64.10
1762424551.7656097,100.00,2478.46,64.10
1762424552.7680094,100.00,2478.74,64.10
1762424553.7726953,100.00,2480.03,64.10
1762424554.7747746,88.50,2473.11,63.90
