timestamp,cpu_percent,mem_used_mb,mem_percent
1762426964.127709,99.50,2583.75,66.80
1762426965.1342928,100.00,2584.87,66.80
1762426966.1383176,100.00,2581.16,66.70
1762426967.1395051,100.00,2575.63,66.60
1762426968.145196,100.00,2577.68,66.60
1762426969.1491957,100.00,2576.09,66.60
1762426970.1556728,100.00,2575.80,66.60
1762426971.1576724,100.00,2575.74,66.60
1762426972.1737888,99.30,2585.94,66.80
1762426973.1756012,100.00,2575.61,66.60
1762426974.1845474,99.40,2588.12,66.90
1762426975.1901839,90.60,2580.21,66.70
1762426976.1914089,100.00,2579.57,66.70
1762426977.1974795,100.00,2591.84,67.00
1762426978.1993506,100.00,2587.21,66.90
1762426979.201117,100.00,2588.10,66.90
1762426980.208508,99.40,2596.16,67.10
1762426981.233902,99.40,2594.93,67.10
1762426982.2577198,99.40,2600.96,67.20
1762426983.263146,100.00,2591.32,67.00
1762426984.2661765,100.00,2591.28,67.00
1762426985.2707393,100.00,2610.43,67.50
1762426986.2735868,98.00,2584.70,66.80
1762426987.2783897,100.00,2587.97,66.90
1762426988.2814407,100.00,2581.03,66.70
1762426989.2823415,100.00,2585.32,66.80
1762426990.2852373,100.00,2580.93,66.70
1762426991.2891772,100.00,2582.13,66.70
1762426992.2939785,100.00,2579.84,66.70
1762426993.2964954,85.60,2577.66,66.60
