timestamp,cpu_percent,mem_used_mb,mem_percent
1762426962.4471672,10.70,2576.44,66.60
1762426963.4501889,60.00,2589.92,66.90
1762426964.4516113,100.00,2578.00,66.60
1762426965.4555023,100.00,2576.15,66.60
1762426966.4585643,100.00,2579.35,66.70
1762426967.4654043,100.00,2576.19,66.60
1762426968.4664638,100.00,2578.49,66.70
1762426969.4694567,100.00,2580.91,66.70
1762426970.509797,100.00,2588.51,66.90
1762426971.561354,100.00,2588.17,66.90
1762426972.5656862,99.10,2583.89,66.80
1762426973.5681295,100.00,2576.85,66.60
1762426974.5951025,95.10,2598.34,67.20
1762426975.6004536,96.30,2588.08,66.90
1762426976.6024334,100.00,2593.95,67.10
1762426977.6075404,100.00,2590.07,67.00
1762426978.6122189,100.00,2589.18,66.90
1762426979.613516,99.40,2588.07,66.90
1762426980.6172798,100.00,2597.96,67.20
1762426981.6218116,99.40,2592.25,67.00
1762426982.6292071,99.40,2593.36,67.00
1762426983.63137,100.00,2591.75,67.00
1762426984.6323912,100.00,2592.56,67.00
1762426985.6539931,98.10,2596.63,67.10
1762426986.6571977,100.00,2582.88,66.80
1762426987.6593418,100.00,2586.83,66.90
1762426988.6629672,100.00,2587.48,66.90
1762426989.6675823,100.00,2584.98,66.80
1762426990.6704545,100.00,2581.53,66.70
1762426991.6732042,100.00,2579.43,66.70
1762426992.6778624,100.00,2583.68,66.80
1762426993.6796522,48.20,2577.65,66.60
1762426994.6815422,0.50,2577.65,66.60
1762426995.6834767,2.50,2578.64,66.70
1762426996.6854413,1.00,2578.64,66.70
1762426997.6875126,1.00,2578.64,66.70
1762426998.689458,0.00,2578.64,66.70
1762426999.6912823,1.50,2578.64,66.70
1762427000.693442,0.50,2578.64,66.70
1762427001.6955113,1.00,2578.64,66.70
1762427002.6972845,1.50,2578.64,66.70
1762427003.699054,1.00,2578.64,66.70
1762427004.7074296,1.00,2578.63,66.70
1762427005.7096908,1.50,2578.63,66.70
1762427006.7125258,1.00,2578.63,66.70
1762427007.714274,1.50,2578.63,66.70
1762427008.7164147,1.00,2578.63,66.70
1762427009.7214332,1.00,2578.63,66.70
1762427010.723342,0.50,2578.63,66.70
1762427011.7254765,10.10,2580.10,66.70
1762427012.7276113,0.00,2580.10,66.70
1762427013.7296836,0.50,2580.10,66.70
1762427014.7317746,1.50,2580.10,66.70
1762427015.7346895,0.00,2580.09,66.70
1762427016.736823,1.00,2580.09,66.70
1762427017.7389126,1.00,2580.09,66.70
1762427018.7404597,0.00,2580.09,66.70
1762427019.743331,1.00,2580.09,66.70
1762427020.7442307,0.50,2580.09,66.70
1762427021.7545452,6.20,2580.09,66.70
1762427022.7564006,0.50,2580.09,66.70
1762427023.7584412,2.50,2580.09,66.70
1762427024.7603216,1.00,2580.34,66.70
1762427025.7626474,1.00,2580.34,66.70
1762427026.7645242,1.00,2580.33,66.70
1762427027.7669544,0.00,2580.33,66.70
1762427028.7691405,0.50,2580.33,66.70
1762427029.7721803,6.20,2580.57,66.70
1762427030.7740564,0.50,2580.57,66.70
1762427031.7887082,2.00,2580.57,66.70
1762427032.791593,0.50,2580.56,66.70
1762427033.7934008,2.00,2580.56,66.70
1762427034.7954884,5.60,2579.83,66.70
1762427035.798568,1.00,2579.77,66.70
1762427036.8034625,1.00,2579.77,66.70
1762427037.8062894,1.50,2579.77,66.70
1762427038.8084784,0.50,2579.74,66.70
1762427039.8102496,3.00,2579.74,66.70
1762427040.8122783,0.50,2579.74,66.70
1762427041.8140526,0.00,2579.74,66.70
1762427042.8163276,0.50,2579.74,66.70
1762427043.8192277,0.50,2579.74,66.70
1762427044.8210702,0.50,2579.74,66.70
1762427045.8232896,3.50,2579.72,66.70
1762427046.8251262,2.50,2580.46,66.70
1762427047.8275228,0.50,2580.46,66.70
1762427048.830299,1.00,2580.44,66.70
1762427049.8324316,0.50,2580.44,66.70
1762427050.83473,1.00,2580.44,66.70
