timestamp,cpu_percent,mem_used_mb
1762777885.9124343,8.10,2013.07
1762777886.9132526,1.70,2014.34
1762777887.9143472,3.40,2008.77
1762777888.9150743,3.40,2009.57
1762777889.91617,2.20,2009.57
1762777890.917568,2.80,2009.99
1762777891.9194722,1.10,2009.60
1762777892.921468,4.10,2008.95
1762777893.923849,1.80,2009.73
1762777894.9259417,6.40,2009.59
1762777895.928007,4.70,2011.48
1762777896.9298203,4.00,2009.53
1762777897.931547,2.70,2009.84
1762777898.9336622,2.80,2009.14
1762777899.9350374,2.30,2010.09
1762777900.9367232,2.20,2009.21
1762777901.9381227,2.80,2009.82
1762777902.9415832,2.30,2008.99
1762777903.9433234,2.20,2009.81
1762777904.945785,4.50,2009.54
1762777905.947424,4.10,2009.53
1762777906.9489257,2.90,2010.10
1762777907.9504085,4.70,2009.71
1762777908.9522958,4.10,2009.47
1762777909.9558394,3.40,2010.00
1762777910.956963,5.10,2009.32
1762777911.9596992,4.10,2009.31
1762777912.96086,24.10,2010.48
1762777913.9627512,5.80,2009.16
1762777914.9640303,3.60,2009.46
