timestamp,cpu_percent,mem_used_mb,mem_percent
1762428832.7567582,11.30,2612.21,67.50
1762428833.7610555,85.10,2607.04,67.40
1762428834.762833,100.00,2608.02,67.40
1762428835.7677724,100.00,2606.32,67.40
1762428836.7695494,100.00,2608.45,67.40
1762428837.7711825,99.50,2606.35,67.40
1762428838.7731812,100.00,2611.25,67.50
1762428839.774979,91.00,2608.81,67.40
1762428840.779047,98.30,2620.53,67.70
1762428841.7863765,99.40,2615.31,67.60
1762428842.7881792,99.50,2606.50,67.40
1762428843.7894905,100.00,2608.58,67.40
1762428844.796806,100.00,2619.09,67.70
1762428845.7989345,100.00,2616.05,67.60
1762428846.800166,100.00,2616.11,67.60
1762428847.801545,100.00,2612.41,67.50
1762428848.8039885,100.00,2615.56,67.60
1762428849.8059833,100.00,2610.27,67.50
1762428850.8084176,100.00,2610.86,67.50
1762428851.8133302,100.00,2607.52,67.40
1762428852.8172278,100.00,2606.66,67.40
1762428853.8193228,100.00,2606.80,67.40
1762428854.822966,100.00,2610.82,67.50
1762428855.8255024,100.00,2615.41,67.60
1762428856.8317807,100.00,2614.45,67.60
1762428857.8343055,100.00,2610.95,67.50
1762428858.8373573,100.00,2612.23,67.50
1762428859.8383746,100.00,2608.16,67.40
1762428860.8399084,100.00,2612.56,67.50
1762428861.8424938,100.00,2610.17,67.50
1762428862.8453238,100.00,2612.46,67.50
1762428863.8471913,34.20,2606.85,67.40
1762428864.8487914,1.00,2606.85,67.40
1762428865.8513823,2.50,2607.62,67.40
1762428866.8536663,0.50,2607.62,67.40
1762428867.8556716,1.50,2607.62,67.40
1762428868.8577821,1.00,2607.62,67.40
1762428869.8605964,1.00,2607.62,67.40
1762428870.8630743,5.50,2613.27,67.60
1762428871.86516,3.00,2613.50,67.60
1762428872.867646,0.50,2613.50,67.60
1762428873.8704832,1.50,2613.48,67.60
1762428874.8727398,1.00,2613.48,67.60
1762428875.8747427,0.50,2613.48,67.60
1762428876.8770242,1.00,2613.48,67.60
1762428877.8803208,1.00,2613.48,67.60
1762428878.8828046,0.50,2613.48,67.60
1762428879.8851178,1.00,2613.48,67.60
1762428880.887469,1.00,2613.48,67.60
1762428881.8900793,1.00,2613.48,67.60
1762428882.8925807,1.00,2613.48,67.60
1762428883.8952494,3.00,2613.46,67.60
1762428884.8972044,1.50,2613.46,67.60
1762428885.8993542,0.50,2613.46,67.60
1762428886.90132,1.00,2613.46,67.60
1762428887.9032402,0.50,2613.46,67.60
