timestamp,cpu_percent,mem_used_mb,mem_percent
1762428834.1580603,99.00,2606.91,67.40
1762428835.1597397,100.00,2607.14,67.40
1762428836.1613297,100.00,2604.25,67.30
1762428837.1673632,100.00,2612.01,67.50
1762428838.1722722,99.50,2607.39,67.40
1762428839.2273607,98.90,2618.80,67.70
1762428840.2326262,91.50,2609.13,67.40
1762428841.2395027,100.00,2610.61,67.50
1762428842.241324,98.90,2606.92,67.40
1762428843.2453313,100.00,2607.58,67.40
1762428844.2492936,100.00,2606.64,67.40
1762428845.2532651,100.00,2608.42,67.40
1762428846.2542956,100.00,2606.96,67.40
1762428847.2565827,100.00,2608.83,67.40
1762428848.2643802,100.00,2618.50,67.70
1762428849.265488,100.00,2610.03,67.50
1762428850.2685099,100.00,2606.55,67.40
1762428851.2693307,100.00,2606.84,67.40
1762428852.272183,100.00,2608.18,67.40
1762428853.2754452,100.00,2607.64,67.40
1762428854.27716,100.00,2606.81,67.40
1762428855.279781,100.00,2608.21,67.40
1762428856.2841744,100.00,2606.90,67.40
1762428857.2856593,100.00,2611.75,67.50
1762428858.2891927,100.00,2610.99,67.50
1762428859.2902994,100.00,2608.73,67.40
1762428860.293191,100.00,2613.28,67.60
1762428861.2950845,100.00,2614.22,67.60
1762428862.3012133,100.00,2608.54,67.40
1762428863.3037786,87.90,2606.85,67.40
