timestamp,cpu_percent,mem_used_mb
1762684072.1844764,15.20,2049.39
1762684073.187187,2.00,2049.39
1762684074.1893504,2.00,2049.39
1762684075.1915698,1.50,2049.64
1762684076.193482,2.50,2049.62
1762684077.195344,2.00,2049.62
1762684078.1974952,1.00,2049.62
1762684079.1994944,5.10,2049.61
1762684080.2024355,2.00,2049.61
1762684081.2046235,3.00,2049.61
1762684082.207548,1.00,2049.60
1762684083.2096953,1.00,2049.60
1762684084.2116008,1.00,2049.60
1762684085.2135558,1.50,2049.60
1762684086.2160993,1.50,2049.60
1762684087.218208,2.00,2049.59
1762684088.2242534,1.00,2049.59
1762684089.2283106,2.00,2049.59
1762684090.2305999,2.50,2049.59
1762684091.2325227,2.00,2049.59
1762684092.2367368,2.00,2049.59
1762684093.2389948,1.00,2049.58
1762684094.241037,2.00,2049.58
1762684095.2427685,2.50,2049.58
1762684096.244754,0.50,2049.58
1762684097.2467952,16.10,2049.66
1762684098.251206,42.50,2049.86
1762684099.2565382,7.70,2049.79
1762684100.2581177,2.00,2049.79
1762684101.2603688,6.60,2049.79
1762684102.2644184,2.00,2049.79
1762684103.2667449,1.50,2049.79
1762684104.2687416,1.50,2049.79
1762684105.2708063,36.50,2055.04
1762684106.2772245,76.90,2054.93
1762684107.2784503,92.90,2055.03
1762684108.2814982,91.80,2054.94
1762684109.2846608,90.10,2057.89
1762684110.2883718,81.10,2059.66
1762684111.30134,87.50,2075.80
1762684112.3024948,91.70,2052.55
1762684113.303494,92.40,2053.71
1762684114.3107026,82.50,2054.03
1762684115.320385,83.50,2057.01
1762684116.3236248,82.50,2053.32
1762684117.3257642,85.90,2046.01
1762684118.3275437,89.90,2046.82
1762684119.3286932,92.60,2048.10
1762684120.3360808,89.80,2046.91
1762684121.3376513,90.00,2047.80
1762684122.3403437,93.10,2046.81
1762684123.3421967,92.30,2047.57
1762684124.3466878,92.30,2053.38
1762684125.3485866,90.90,2049.00
1762684126.3578098,70.30,2050.30
1762684127.7390687,67.00,2046.32
1762684128.8767757,40.70,2046.41
1762684129.8843973,54.10,2068.06
1762684130.8859177,81.20,2051.87
1762684131.8876996,80.70,2046.32
1762684132.9033945,63.60,2060.34
1762684133.9071054,77.10,2048.93
1762684134.9745312,37.70,2053.60
1762684135.9867406,65.60,2078.64
1762684136.98937,9.70,2041.08
1762684137.9964445,1.00,2041.08
1762684138.9998765,3.00,2042.31
1762684140.0033941,1.50,2042.30
1762684141.0064223,2.00,2042.30
1762684142.0084534,1.00,2042.30
1762684143.0155938,1.50,2042.30
1762684144.0189939,1.00,2042.30
1762684145.0379615,2.00,2042.30
1762684146.0402002,5.10,2043.02
1762684147.0564892,1.50,2043.02
1762684148.0645854,1.50,2043.02
1762684149.0666335,1.50,2043.02
1762684150.0877678,3.00,2043.02
1762684151.0972846,3.00,2043.01
1762684152.0995305,1.00,2043.01
1762684153.1014428,1.50,2043.01
1762684154.1058705,1.50,2043.01
1762684155.1082716,1.50,2043.01
1762684156.1108737,15.50,2043.25
1762684157.1198864,12.70,2043.24
1762684158.1306643,1.00,2043.24
1762684159.133151,1.50,2043.24
1762684160.1852055,1.40,2043.24
1762684161.2332978,4.10,2043.24
1762684162.245715,1.50,2043.24
1762684163.2828305,1.00,2043.23
1762684164.2862172,1.50,2043.23
1762684165.2961988,4.10,2043.23
1762684166.301989,2.00,2043.23
1762684167.3035321,1.00,2043.23
1762684168.3114822,1.50,2043.23
1762684169.3177989,1.00,2043.23
1762684170.320659,0.00,2043.23
1762684171.3703725,2.00,2043.23
1762684172.3866227,0.00,2043.23
1762684173.4172735,1.00,2043.23
1762684174.4197447,22.20,2043.22
1762684175.4231682,12.20,2043.42
1762684176.4394197,1.50,2043.42
1762684177.4535253,0.50,2043.42
1762684178.4642963,1.50,2043.42
1762684179.4664505,0.50,2043.41
1762684180.4734907,4.60,2043.66
1762684181.4762838,0.50,2043.57
1762684182.500472,1.00,2043.57
1762684183.509448,8.20,2047.27
1762684184.5159419,75.00,2093.07
1762684185.5272284,5.20,2090.57
1762684186.529218,2.60,2092.27
1762684187.53125,4.00,2092.47
1762684188.5336974,0.50,2092.32
1762684189.5371547,1.50,2092.32
1762684190.5433683,1.50,2092.32
1762684191.5468087,6.10,2092.32
1762684192.5536976,1.00,2092.32
1762684193.55819,0.50,2092.32
1762684194.5834754,1.00,2092.32
1762684195.5858407,2.50,2092.32
1762684196.5878172,2.00,2092.32
1762684197.5913253,1.00,2092.32
1762684198.5956624,3.00,2092.31
1762684199.5980344,1.00,2092.31
1762684200.6086366,1.50,2092.30
1762684201.6114318,1.50,2092.30
1762684202.616429,3.60,2061.71
1762684203.6187472,1.50,2061.95
1762684204.6207263,1.50,2062.44
1762684205.623862,1.00,2062.44
1762684206.6334493,1.00,2062.44
1762684207.635639,2.00,2062.44
1762684208.6375196,8.10,2063.63
1762684209.639534,3.00,2063.58
1762684210.6457355,3.50,2063.58
1762684211.6480908,0.50,2063.58
1762684212.6571584,0.50,2063.58
1762684213.659229,1.50,2063.58
1762684214.6662703,2.00,2063.58
1762684215.668656,2.00,2063.58
1762684216.6851726,1.00,2063.58
1762684217.6917002,3.00,2063.58
1762684218.7013729,4.10,2063.58
1762684219.7186375,3.60,2063.57
1762684220.720739,3.00,2063.57
1762684221.7228699,0.00,2063.57
1762684222.7251458,1.00,2063.57
1762684223.7273698,0.50,2063.57
1762684224.729412,1.50,2063.57
1762684225.7313962,2.50,2063.57
1762684226.7382832,2.50,2063.57
1762684227.7406983,3.00,2063.57
1762684228.7473197,0.50,2063.57
1762684229.7493641,1.50,2063.57
1762684230.753606,1.60,2063.56
1762684231.756878,0.50,2063.56
1762684232.760239,1.00,2063.56
1762684233.7656794,1.00,2063.56
1762684234.7859368,9.60,2063.56
1762684235.821395,18.80,2063.56
1762684236.8498085,2.00,2063.56
1762684237.8542259,0.50,2063.56
1762684238.8565319,2.00,2063.56
1762684239.871938,0.50,2063.55
1762684240.8862479,2.00,2063.55
1762684241.9134617,54.40,2051.82
1762684242.9281788,86.40,2055.03
1762684243.9300308,81.30,2052.64
1762684244.9453762,84.70,2054.46
1762684245.9697778,79.90,2058.12
1762684246.9990716,82.00,2051.91
1762684248.2994924,61.00,2058.64
1762684249.407493,72.50,2057.52
1762684250.4202895,88.00,2052.78
1762684251.4284227,79.50,2052.26
1762684252.4384727,88.50,2052.75
