timestamp,cpu_percent,mem_used_mb
1762684925.8562098,82.40,2070.32
1762684926.8633184,76.80,2078.86
1762684927.866839,83.80,2072.65
1762684928.869373,89.70,2086.44
1762684929.8704424,91.40,2070.99
1762684930.8755565,90.30,2084.93
1762684931.877541,85.20,2076.35
1762684932.8794336,87.70,2074.62
1762684933.882481,89.90,2069.46
1762684934.8836699,90.40,2069.84
1762684935.8885307,94.10,2069.38
1762684936.8894446,92.00,2070.03
1762684937.8924348,95.70,2069.66
1762684938.8974845,92.50,2070.79
1762684939.8984206,93.40,2069.43
1762684940.9011228,91.40,2069.46
1762684941.9036798,91.30,2079.50
1762684942.9056242,91.90,2081.82
1762684943.9065547,93.00,2111.38
1762684944.9084485,86.90,2095.36
1762684945.9126208,90.60,2107.61
1762684946.9177508,90.90,2084.46
1762684947.92059,92.10,2071.58
1762684948.9244895,92.60,2071.08
1762684949.9256976,92.00,2071.10
1762684950.9324968,93.50,2071.98
1762684951.933715,93.60,2104.31
1762684952.9393072,89.30,2070.88
1762684953.9455497,87.60,2068.17
1762684954.9495797,95.20,2049.65
