timestamp,cpu_percent,mem_used_mb
1762686114.42808,8.30,2204.86
1762686115.4332645,1.50,2204.85
1762686116.4348376,19.50,2230.20
1762686117.4426768,81.80,2231.54
1762686118.4508882,67.90,2240.76
1762686119.4659965,16.30,2232.95
1762686120.4682078,7.50,2233.87
1762686121.4702077,9.80,2234.75
1762686122.5062757,13.90,2233.33
1762686123.509476,9.20,2233.56
1762686124.5171456,9.50,2234.08
1762686125.5210383,10.50,2233.50
1762686126.5240989,26.20,2234.01
1762686127.582199,11.90,2234.30
1762686128.5838616,33.80,2226.79
1762686129.5855203,12.40,2227.03
1762686130.5881948,20.00,2227.12
1762686131.7329793,5.10,2227.82
1762686132.7405207,7.30,2227.29
1762686133.7417285,14.60,2227.22
1762686134.7439609,47.00,2228.03
1762686135.761619,41.40,2230.05
1762686136.7801273,9.30,2228.57
1762686137.7826283,13.50,2226.65
1762686138.790299,17.20,2227.08
1762686139.7951787,22.20,2227.86
1762686140.8061564,25.30,2227.97
1762686141.9087687,8.60,2227.17
1762686142.9628828,11.10,2226.82
1762686143.9738026,15.20,2227.57
1762686144.9933379,13.60,2227.57
1762686145.998282,9.00,2227.30
1762686147.006595,12.30,2226.84
1762686148.0097628,13.30,2223.24
1762686149.0127099,15.50,2217.08
1762686150.0146718,2.50,2217.07
1762686151.025078,5.30,2217.31
1762686152.034046,4.20,2217.31
1762686153.04448,3.60,2221.00
1762686154.0466,1.00,2221.00
1762686155.048555,2.50,2221.00
1762686156.0674667,12.40,2221.95
1762686157.0694842,2.20,2221.95
1762686158.0741587,4.60,2221.95
1762686159.0755212,5.10,2222.20
1762686160.2546964,4.80,2222.18
1762686161.3785005,4.00,2222.18
1762686162.3804986,2.00,2222.18
1762686163.3831906,4.60,2222.41
1762686164.3843958,0.50,2222.41
1762686165.3920195,1.50,2222.40
1762686166.410106,1.00,2222.40
1762686167.4126296,17.10,2222.40
1762686168.426867,22.80,2222.64
1762686169.4710135,1.00,2222.64
1762686170.5909648,6.30,2222.64
1762686171.6038213,9.90,2222.63
1762686172.6144671,7.00,2222.61
1762686173.6188345,2.60,2222.61
1762686174.6403239,5.90,2223.10
1762686175.6613965,8.20,2223.10
1762686176.6753166,2.60,2223.08
1762686177.6815586,1.80,2223.08
1762686178.6868558,0.50,2223.08
1762686179.6888494,1.50,2223.08
1762686180.6919618,1.50,2223.07
1762686181.6941333,0.50,2223.07
1762686182.6973455,1.00,2223.07
1762686183.704824,1.50,2223.07
1762686184.7111688,2.00,2223.30
1762686185.718863,1.50,2223.30
1762686186.7234757,1.50,2223.30
1762686187.728086,0.50,2223.30
1762686188.7306428,5.00,2223.30
1762686189.733464,2.50,2223.52
1762686190.7375472,5.20,2223.52
1762686191.7396088,0.50,2223.52
1762686192.7414737,2.00,2223.52
1762686193.7433667,1.00,2223.52
1762686194.7454016,1.00,2223.52
