timestamp,cpu_percent,mem_used_mb
1762687337.6352737,15.00,2207.79
1762687338.6421537,20.10,2209.25
1762687339.6445343,22.40,2205.07
1762687340.6512568,7.60,2206.41
1762687341.6538095,8.50,2205.47
1762687342.6568823,13.00,2206.51
1762687343.6596076,11.40,2205.68
1762687344.6627717,9.00,2207.89
1762687345.678978,7.90,2207.23
1762687346.6802297,10.50,2208.12
1762687347.6814063,6.50,2206.37
1762687348.6822042,5.30,2205.84
1762687349.684088,3.50,2206.29
1762687350.6853173,5.40,2206.12
1762687351.6926274,8.40,2206.68
1762687352.694571,5.30,2206.81
1762687353.7064753,5.10,2206.56
1762687354.708244,7.20,2206.88
1762687355.717267,3.40,2206.43
1762687356.7186902,7.40,2207.16
1762687357.7208288,8.30,2206.50
1762687358.7222881,9.00,2206.14
1762687359.7233405,6.50,2206.95
1762687360.7255943,5.80,2206.59
1762687361.7304382,8.60,2207.23
1762687362.7673328,7.80,2207.41
1762687363.7701716,9.60,2207.83
1762687364.7717474,8.40,2206.73
1762687365.773315,6.30,2206.75
1762687366.7745428,9.40,2206.52
