timestamp,cpu_percent,mem_used_mb
1762689457.5167758,6.10,2188.38
1762689458.5186205,1.00,2188.37
1762689459.5203874,2.00,2188.37
1762689460.5232384,1.00,2188.37
1762689461.5256126,2.00,2188.37
1762689462.5276513,2.00,2188.36
1762689463.529752,2.00,2188.36
1762689464.531421,1.50,2188.36
1762689465.533385,1.00,2188.36
1762689466.5367446,2.50,2188.36
1762689467.53967,1.00,2188.36
1762689468.5416355,2.00,2188.36
1762689469.5436065,1.00,2188.36
1762689470.5455775,1.50,2188.36
1762689471.552701,1.50,2188.36
1762689472.5800407,2.50,2188.36
1762689473.5822608,1.00,2188.35
1762689474.5853007,3.00,2188.35
1762689475.5880466,2.00,2188.35
1762689476.589397,43.20,2203.93
1762689477.591503,41.10,2200.96
1762689478.5934615,17.80,2203.76
1762689479.5953853,11.10,2188.89
1762689480.5966413,11.90,2191.13
1762689481.5982351,8.60,2186.45
1762689482.6044664,13.50,2186.18
1762689483.6083226,9.40,2186.62
1762689484.6101708,15.10,2185.92
1762689485.6122608,47.20,2187.29
1762689486.6137984,71.30,2192.60
1762689487.617825,66.90,2193.26
1762689488.6293607,37.30,2190.26
1762689489.6308234,58.60,2194.45
1762689490.6354291,81.10,2204.57
1762689491.6365569,87.60,2207.14
1762689492.6386259,70.80,2202.91
1762689493.6405566,18.70,2203.30
1762689494.65628,68.70,2217.28
1762689495.6574728,97.70,2245.77
1762689496.6590824,85.20,2246.51
1762689497.6665015,85.20,2233.28
1762689498.6675966,91.80,2229.77
1762689499.6687682,68.20,2230.25
1762689500.6708417,85.20,2228.02
1762689501.6725533,86.30,2245.81
1762689502.678008,94.90,2256.91
1762689503.6838343,72.10,2254.46
1762689504.6855693,49.40,2254.92
1762689505.6865108,94.90,2283.05
1762689506.6907833,87.80,2257.89
1762689507.692964,79.80,2248.69
1762689508.6956968,12.70,2248.93
1762689509.7001457,70.70,2249.64
1762689510.7033355,87.20,2250.12
1762689511.7166178,88.60,2272.51
1762689512.7243643,84.70,2273.15
1762689513.7282605,90.80,2255.24
1762689514.730606,78.00,2261.30
1762689515.743659,70.00,2255.28
1762689516.7675018,49.10,2256.45
1762689517.7684224,72.10,2256.67
1762689518.7745848,88.20,2280.96
1762689519.77756,83.90,2271.06
1762689520.7800195,34.40,2271.16
1762689521.7822013,4.00,2271.11
1762689522.7840471,80.90,2282.05
1762689523.7891276,15.50,2278.02
1762689524.7904458,44.20,2262.54
1762689525.7914393,84.90,2267.88
1762689526.7955797,66.50,2267.93
1762689527.7987363,47.90,2245.17
1762689528.8010151,91.00,2276.26
1762689529.8036757,58.90,2275.14
1762689530.805651,32.50,2261.75
1762689531.8085325,11.30,2262.08
1762689532.8122997,65.20,2262.30
1762689533.8157525,65.50,2262.19
1762689534.8177152,79.20,2262.19
1762689535.8235025,84.90,2262.18
1762689536.8281386,81.20,2262.13
1762689537.8303137,39.30,2262.12
1762689538.8325396,66.70,2288.13
1762689539.8533654,62.00,2265.14
1762689540.855484,9.10,2265.14
1762689541.8575554,30.80,2265.30
1762689542.8596647,16.80,2265.30
1762689543.8622782,43.10,2265.30
1762689544.8677442,43.30,2265.93
1762689545.8696728,86.10,2265.18
1762689546.8714828,86.10,2235.38
1762689547.8732555,55.30,2220.31
1762689548.8761387,35.60,2228.40
1762689549.879153,33.00,2228.40
1762689550.881617,30.30,2228.87
1762689551.8834407,64.00,2229.33
1762689552.884982,84.20,2229.49
1762689553.8864982,44.10,2229.48
1762689554.8875027,76.60,2241.25
1762689555.8962476,86.90,2242.84
1762689556.8975832,92.80,2248.34
1762689557.8985274,85.90,2252.47
1762689558.900696,91.00,2264.27
1762689559.9025593,9.60,2264.27
1762689560.9050488,41.00,2265.20
1762689561.9065018,90.80,2307.84
1762689562.908882,45.20,2309.93
1762689563.9116175,27.20,2299.24
1762689564.9138167,9.20,2291.80
1762689565.9182136,19.30,2291.95
1762689566.9276354,17.90,2291.53
1762689567.929829,14.20,2291.70
1762689568.931646,16.80,2291.45
1762689569.9335206,8.70,2291.45
1762689570.93635,2.00,2291.45
1762689571.9396117,2.50,2291.45
1762689572.9440682,16.00,2291.66
1762689573.9461737,7.70,2291.63
1762689574.949492,10.60,2291.57
1762689575.9600098,12.30,2291.77
1762689576.9620762,61.20,2291.73
1762689577.9642184,68.30,2291.73
1762689578.9693203,40.20,2294.23
1762689579.971558,30.10,2294.52
1762689580.9737577,5.50,2294.52
1762689581.9760787,2.00,2294.52
1762689582.9793074,10.70,2294.75
1762689583.9813194,1.00,2294.75
1762689584.9844544,3.00,2294.75
1762689585.9873018,3.00,2294.73
1762689586.9891207,4.00,2294.73
1762689587.990808,10.20,2294.93
1762689588.9927342,2.50,2294.93
1762689589.9955335,6.10,2294.93
1762689590.998781,7.60,2265.92
1762689592.0004942,36.50,2266.61
1762689593.0059605,31.20,2266.76
1762689594.0081983,15.20,2266.75
1762689595.009537,21.30,2266.73
1762689596.0124083,29.40,2270.86
1762689597.014003,57.70,2255.46
1762689598.0175993,69.20,2253.03
1762689599.0206234,41.30,2253.59
1762689600.0226376,40.20,2253.81
1762689601.0284321,15.80,2254.21
1762689602.0386913,71.10,2250.04
1762689603.040941,36.00,2251.17
1762689604.042619,72.70,2251.82
1762689605.0496597,73.00,2260.36
1762689606.050582,79.50,2255.75
1762689607.0524597,52.20,2265.03
1762689608.0545106,59.50,2266.54
1762689609.060009,81.20,2268.43
1762689610.0633013,77.30,2271.21
1762689611.0652854,54.40,2271.12
1762689612.0685008,76.50,2269.28
1762689613.070295,91.80,2268.24
1762689614.0727088,85.80,2267.89
1762689615.0819545,92.60,2285.58
1762689616.0874534,81.10,2277.61
1762689617.0886538,81.10,2282.54
1762689618.0940704,95.50,2283.30
1762689619.158186,83.30,2280.70
1762689620.161351,86.10,2282.35
1762689621.165792,89.60,2316.68
1762689622.168516,97.70,2330.69
1762689623.171828,67.20,2303.79
1762689624.173845,69.70,2311.58
1762689625.1747417,61.40,2306.75
1762689626.1774302,7.10,2303.25
1762689627.178554,50.30,2304.66
1762689628.1804147,78.70,2276.09
1762689629.1836367,59.40,2268.31
1762689630.1923845,58.00,2272.45
1762689631.1951594,59.20,2272.33
1762689632.204565,55.10,2268.25
1762689633.2058532,23.60,2253.46
1762689634.207549,3.60,2253.05
1762689635.2144768,13.90,2253.37
1762689636.216689,59.10,2254.85
1762689637.218759,60.30,2255.85
1762689638.2312403,68.70,2253.80
1762689639.233322,52.60,2254.67
1762689640.235261,42.50,2255.34
1762689641.2371254,26.50,2256.13
1762689642.2397547,47.20,2253.36
1762689643.2418664,4.50,2250.58
1762689644.2468493,15.60,2250.82
1762689645.2507458,13.40,2251.32
1762689646.2532961,18.80,2251.54
1762689647.2579224,71.80,2254.77
1762689648.2595947,44.40,2254.92
1762689649.2618308,36.60,2255.61
1762689650.2720706,17.80,2255.59
1762689651.275693,58.20,2255.55
1762689652.2813292,83.50,2260.69
1762689653.2858229,90.20,2261.91
1762689654.288485,33.20,2261.90
1762689655.2932203,75.90,2265.81
1762689656.2953627,87.50,2266.25
1762689657.3095982,71.50,2266.76
1762689658.3114946,86.90,2266.48
1762689659.3127184,83.20,2266.59
1762689660.3151488,66.00,2267.06
1762689661.3174548,75.60,2266.82
1762689662.3206706,86.60,2272.52
1762689663.324971,86.80,2293.93
1762689664.326824,98.90,2339.47
1762689665.3325236,81.00,2341.14
1762689666.3365214,79.80,2338.22
1762689667.3375273,84.00,2357.23
1762689668.3447506,96.30,2351.36
1762689669.3477757,16.30,2351.86
1762689670.351384,5.10,2351.86
1762689671.353355,8.20,2352.20
1762689672.3555877,3.00,2352.19
1762689673.3575003,18.20,2336.01
1762689674.3599555,11.20,2334.92
1762689675.3621793,21.40,2334.84
1762689676.372137,27.70,2334.75
1762689677.375685,54.60,2330.12
1762689678.3776443,27.70,2330.28
1762689679.3804405,39.60,2330.70
1762689680.382571,27.80,2330.67
1762689681.3844948,11.50,2330.66
1762689682.3875456,10.60,2330.05
1762689683.3887398,14.00,2330.04
1762689684.3918438,14.20,2330.61
1762689685.3966024,19.80,2330.81
1762689686.4024227,6.00,2330.76
1762689687.403582,19.20,2331.16
1762689688.4066198,51.40,2301.35
1762689689.408663,50.30,2303.24
1762689690.41171,15.10,2303.24
1762689691.4322429,15.60,2301.93
1762689692.437755,1.60,2300.96
1762689693.4397762,2.60,2300.77
1762689694.445119,1.50,2300.72
1762689695.4964216,5.10,2300.71
1762689696.4981394,1.00,2300.71
1762689697.7181659,3.60,2300.71
1762689698.732877,13.70,2299.81
1762689699.7793987,34.60,2299.81
1762689701.2304668,1.60,2299.79
1762689702.2326694,3.10,2300.03
1762689703.2396424,1.50,2299.77
1762689704.2423048,1.00,2299.53
1762689705.2444146,2.60,2299.53
1762689706.2505076,1.60,2299.77
1762689707.2595105,2.00,2299.57
1762689708.2760153,2.00,2299.52
1762689709.2796288,2.60,2299.52
1762689710.2817645,1.50,2299.52
1762689711.2880166,1.50,2299.51
1762689712.29436,0.50,2299.51
1762689713.2964103,1.00,2299.51
1762689714.298572,1.00,2299.51
1762689715.3007278,1.00,2299.51
1762689716.3027096,1.00,2299.50
1762689717.3046126,2.50,2299.50
1762689718.3076413,3.00,2299.50
1762689719.3105862,1.00,2299.50
1762689720.3124738,2.60,2299.50
1762689721.3149602,1.00,2299.50
1762689722.323689,0.50,2299.50
1762689723.3257675,1.50,2299.50
1762689724.3277316,2.50,2299.49
1762689725.3501256,1.50,2299.49
1762689726.3526998,3.10,2299.49
