PING 192.168.1.3 (192.168.1.3) 56(84) bytes of data.
64 bytes from 192.168.1.3: icmp_seq=1 ttl=32 time=465 ms
64 bytes from 192.168.1.3: icmp_seq=2 ttl=32 time=1408 ms
64 bytes from 192.168.1.3: icmp_seq=3 ttl=32 time=368 ms
64 bytes from 192.168.1.3: icmp_seq=4 ttl=32 time=1312 ms
64 bytes from 192.168.1.3: icmp_seq=5 ttl=32 time=265 ms
64 bytes from 192.168.1.3: icmp_seq=6 ttl=32 time=1210 ms
64 bytes from 192.168.1.3: icmp_seq=7 ttl=32 time=163 ms
64 bytes from 192.168.1.3: icmp_seq=8 ttl=32 time=1107 ms
64 bytes from 192.168.1.3: icmp_seq=9 ttl=32 time=60.3 ms
64 bytes from 192.168.1.3: icmp_seq=10 ttl=32 time=1005 ms
64 bytes from 192.168.1.3: icmp_seq=11 ttl=32 time=1946 ms
64 bytes from 192.168.1.3: icmp_seq=12 ttl=32 time=944 ms
64 bytes from 192.168.1.3: icmp_seq=13 ttl=32 time=1889 ms
64 bytes from 192.168.1.3: icmp_seq=14 ttl=32 time=842 ms
64 bytes from 192.168.1.3: icmp_seq=15 ttl=32 time=1788 ms
64 bytes from 192.168.1.3: icmp_seq=16 ttl=32 time=739 ms
64 bytes from 192.168.1.3: icmp_seq=17 ttl=32 time=1685 ms
64 bytes from 192.168.1.3: icmp_seq=18 ttl=32 time=637 ms
64 bytes from 192.168.1.3: icmp_seq=19 ttl=32 time=1583 ms
64 bytes from 192.168.1.3: icmp_seq=20 ttl=32 time=535 ms
64 bytes from 192.168.1.3: icmp_seq=21 ttl=32 time=1481 ms
64 bytes from 192.168.1.3: icmp_seq=22 ttl=32 time=433 ms
64 bytes from 192.168.1.3: icmp_seq=23 ttl=32 time=1382 ms
64 bytes from 192.168.1.3: icmp_seq=24 ttl=32 time=333 ms
64 bytes from 192.168.1.3: icmp_seq=25 ttl=32 time=1273 ms
64 bytes from 192.168.1.3: icmp_seq=26 ttl=32 time=227 ms
64 bytes from 192.168.1.3: icmp_seq=27 ttl=32 time=1171 ms
64 bytes from 192.168.1.3: icmp_seq=28 ttl=32 time=125 ms
64 bytes from 192.168.1.3: icmp_seq=29 ttl=32 time=1068 ms
64 bytes from 192.168.1.3: icmp_seq=30 ttl=32 time=28.4 ms
64 bytes from 192.168.1.3: icmp_seq=31 ttl=32 time=967 ms
64 bytes from 192.168.1.3: icmp_seq=32 ttl=32 time=1912 ms
64 bytes from 192.168.1.3: icmp_seq=33 ttl=32 time=906 ms
64 bytes from 192.168.1.3: icmp_seq=34 ttl=32 time=1852 ms
64 bytes from 192.168.1.3: icmp_seq=35 ttl=32 time=799 ms
64 bytes from 192.168.1.3: icmp_seq=36 ttl=32 time=1744 ms
64 bytes from 192.168.1.3: icmp_seq=37 ttl=32 time=701 ms
64 bytes from 192.168.1.3: icmp_seq=38 ttl=32 time=1648 ms
64 bytes from 192.168.1.3: icmp_seq=39 ttl=32 time=600 ms
64 bytes from 192.168.1.3: icmp_seq=40 ttl=32 time=1544 ms
64 bytes from 192.168.1.3: icmp_seq=41 ttl=32 time=496 ms
64 bytes from 192.168.1.3: icmp_seq=42 ttl=32 time=1442 ms
64 bytes from 192.168.1.3: icmp_seq=43 ttl=32 time=394 ms
64 bytes from 192.168.1.3: icmp_seq=44 ttl=32 time=1338 ms
64 bytes from 192.168.1.3: icmp_seq=45 ttl=32 time=291 ms
64 bytes from 192.168.1.3: icmp_seq=46 ttl=32 time=1244 ms
64 bytes from 192.168.1.3: icmp_seq=47 ttl=32 time=197 ms
64 bytes from 192.168.1.3: icmp_seq=48 ttl=32 time=1134 ms
64 bytes from 192.168.1.3: icmp_seq=49 ttl=32 time=87.7 ms
64 bytes from 192.168.1.3: icmp_seq=50 ttl=32 time=1030 ms
64 bytes from 192.168.1.3: icmp_seq=51 ttl=32 time=1947 ms
64 bytes from 192.168.1.3: icmp_seq=52 ttl=32 time=907 ms
64 bytes from 192.168.1.3: icmp_seq=53 ttl=32 time=1852 ms
64 bytes from 192.168.1.3: icmp_seq=54 ttl=32 time=804 ms
64 bytes from 192.168.1.3: icmp_seq=55 ttl=32 time=1750 ms
64 bytes from 192.168.1.3: icmp_seq=56 ttl=32 time=702 ms
64 bytes from 192.168.1.3: icmp_seq=57 ttl=32 time=1649 ms
64 bytes from 192.168.1.3: icmp_seq=58 ttl=32 time=601 ms
64 bytes from 192.168.1.3: icmp_seq=59 ttl=32 time=1544 ms
64 bytes from 192.168.1.3: icmp_seq=62 ttl=32 time=398 ms
64 bytes from 192.168.1.3: icmp_seq=63 ttl=32 time=1339 ms
