timestamp,cpu_percent,mem_used_mb
1762781877.6840482,10.40,2180.32
1762781878.6864057,7.50,2175.36
1762781879.6883235,4.70,2175.08
1762781880.6899326,8.60,2173.25
1762781881.691849,12.10,2173.78
1762781882.6936786,43.70,2173.79
1762781883.6972072,46.60,2174.98
1762781884.7002692,31.80,2173.96
1762781885.701223,39.80,2212.22
1762781886.702184,69.20,2228.46
1762781887.7039645,30.30,2173.42
1762781888.7060945,17.10,2174.42
1762781889.7081637,11.90,2173.87
1762781890.7091331,11.40,2174.70
1762781891.7102394,15.90,2173.99
1762781892.7121336,37.90,2174.42
1762781893.7143216,27.70,2176.18
1762781894.7161121,22.40,2175.99
1762781895.718135,21.70,2175.91
1762781896.7204316,26.30,2175.99
1762781897.7224994,32.80,2176.28
1762781898.724426,30.10,2176.40
1762781899.7265015,14.30,2176.87
1762781900.728364,47.80,2176.36
1762781901.7295086,13.00,2175.76
1762781902.7311513,15.30,2176.55
1762781903.732478,32.40,2176.89
1762781904.7339628,43.70,2176.60
1762781905.7354462,21.40,2177.14
1762781906.736717,34.10,2177.88
