PING 10.244.1.19 (10.244.1.19) 56(84) bytes of data.
64 bytes from 10.244.1.19: icmp_seq=1 ttl=62 time=22.1 ms
64 bytes from 10.244.1.19: icmp_seq=2 ttl=62 time=4.17 ms
64 bytes from 10.244.1.19: icmp_seq=3 ttl=62 time=8.06 ms
64 bytes from 10.244.1.19: icmp_seq=4 ttl=62 time=4.40 ms
64 bytes from 10.244.1.19: icmp_seq=5 ttl=62 time=12.2 ms
64 bytes from 10.244.1.19: icmp_seq=6 ttl=62 time=8.74 ms
64 bytes from 10.244.1.19: icmp_seq=7 ttl=62 time=4.10 ms
64 bytes from 10.244.1.19: icmp_seq=8 ttl=62 time=15.5 ms
64 bytes from 10.244.1.19: icmp_seq=9 ttl=62 time=4.19 ms
64 bytes from 10.244.1.19: icmp_seq=10 ttl=62 time=29.6 ms
64 bytes from 10.244.1.19: icmp_seq=11 ttl=62 time=8.00 ms
64 bytes from 10.244.1.19: icmp_seq=12 ttl=62 time=4.53 ms
64 bytes from 10.244.1.19: icmp_seq=13 ttl=62 time=4.26 ms
64 bytes from 10.244.1.19: icmp_seq=14 ttl=62 time=7.58 ms
64 bytes from 10.244.1.19: icmp_seq=15 ttl=62 time=14.3 ms
64 bytes from 10.244.1.19: icmp_seq=16 ttl=62 time=4.40 ms
64 bytes from 10.244.1.19: icmp_seq=17 ttl=62 time=5.52 ms
64 bytes from 10.244.1.19: icmp_seq=18 ttl=62 time=6.11 ms
64 bytes from 10.244.1.19: icmp_seq=19 ttl=62 time=13.2 ms
64 bytes from 10.244.1.19: icmp_seq=20 ttl=62 time=3.54 ms
64 bytes from 10.244.1.19: icmp_seq=21 ttl=62 time=3.59 ms
64 bytes from 10.244.1.19: icmp_seq=22 ttl=62 time=4.02 ms
64 bytes from 10.244.1.19: icmp_seq=23 ttl=62 time=6.07 ms
64 bytes from 10.244.1.19: icmp_seq=24 ttl=62 time=6.02 ms
64 bytes from 10.244.1.19: icmp_seq=25 ttl=62 time=19.8 ms
64 bytes from 10.244.1.19: icmp_seq=26 ttl=62 time=5.59 ms
64 bytes from 10.244.1.19: icmp_seq=27 ttl=62 time=7.88 ms
64 bytes from 10.244.1.19: icmp_seq=28 ttl=62 time=5.40 ms
64 bytes from 10.244.1.19: icmp_seq=29 ttl=62 time=6.26 ms
64 bytes from 10.244.1.19: icmp_seq=30 ttl=62 time=4.89 ms
64 bytes from 10.244.1.19: icmp_seq=31 ttl=62 time=4.89 ms
64 bytes from 10.244.1.19: icmp_seq=32 ttl=62 time=4.49 ms
64 bytes from 10.244.1.19: icmp_seq=33 ttl=62 time=3.52 ms
64 bytes from 10.244.1.19: icmp_seq=34 ttl=62 time=10.1 ms
64 bytes from 10.244.1.19: icmp_seq=35 ttl=62 time=10.5 ms
64 bytes from 10.244.1.19: icmp_seq=36 ttl=62 time=6.83 ms
64 bytes from 10.244.1.19: icmp_seq=37 ttl=62 time=9.17 ms
64 bytes from 10.244.1.19: icmp_seq=38 ttl=62 time=7.73 ms
64 bytes from 10.244.1.19: icmp_seq=39 ttl=62 time=11.3 ms
64 bytes from 10.244.1.19: icmp_seq=40 ttl=62 time=6.75 ms
64 bytes from 10.244.1.19: icmp_seq=41 ttl=62 time=10.5 ms
64 bytes from 10.244.1.19: icmp_seq=42 ttl=62 time=4.06 ms
64 bytes from 10.244.1.19: icmp_seq=43 ttl=62 time=3.65 ms
64 bytes from 10.244.1.19: icmp_seq=44 ttl=62 time=8.58 ms
64 bytes from 10.244.1.19: icmp_seq=45 ttl=62 time=7.14 ms
64 bytes from 10.244.1.19: icmp_seq=46 ttl=62 time=4.47 ms
64 bytes from 10.244.1.19: icmp_seq=47 ttl=62 time=7.01 ms
64 bytes from 10.244.1.19: icmp_seq=48 ttl=62 time=6.49 ms
64 bytes from 10.244.1.19: icmp_seq=49 ttl=62 time=3.18 ms
64 bytes from 10.244.1.19: icmp_seq=50 ttl=62 time=3.51 ms
64 bytes from 10.244.1.19: icmp_seq=51 ttl=62 time=3.47 ms
64 bytes from 10.244.1.19: icmp_seq=52 ttl=62 time=7.62 ms
64 bytes from 10.244.1.19: icmp_seq=53 ttl=62 time=8.54 ms
64 bytes from 10.244.1.19: icmp_seq=54 ttl=62 time=7.23 ms
64 bytes from 10.244.1.19: icmp_seq=55 ttl=62 time=9.72 ms
64 bytes from 10.244.1.19: icmp_seq=56 ttl=62 time=4.89 ms
64 bytes from 10.244.1.19: icmp_seq=57 ttl=62 time=9.73 ms
64 bytes from 10.244.1.19: icmp_seq=58 ttl=62 time=6.02 ms
64 bytes from 10.244.1.19: icmp_seq=59 ttl=62 time=19.9 ms
64 bytes from 10.244.1.19: icmp_seq=60 ttl=62 time=4.45 ms
64 bytes from 10.244.1.19: icmp_seq=61 ttl=62 time=11.9 ms
64 bytes from 10.244.1.19: icmp_seq=62 ttl=62 time=9.68 ms
64 bytes from 10.244.1.19: icmp_seq=63 ttl=62 time=8.36 ms
64 bytes from 10.244.1.19: icmp_seq=64 ttl=62 time=5.40 ms
64 bytes from 10.244.1.19: icmp_seq=65 ttl=62 time=9.98 ms
64 bytes from 10.244.1.19: icmp_seq=66 ttl=62 time=10.5 ms
64 bytes from 10.244.1.19: icmp_seq=67 ttl=62 time=4.63 ms
64 bytes from 10.244.1.19: icmp_seq=68 ttl=62 time=6.35 ms
64 bytes from 10.244.1.19: icmp_seq=69 ttl=62 time=3.57 ms
64 bytes from 10.244.1.19: icmp_seq=70 ttl=62 time=7.43 ms
