PING 10.244.1.22 (10.244.1.22) 56(84) bytes of data.
64 bytes from 10.244.1.22: icmp_seq=1 ttl=62 time=611 ms
64 bytes from 10.244.1.22: icmp_seq=2 ttl=62 time=487 ms
64 bytes from 10.244.1.22: icmp_seq=3 ttl=62 time=722 ms
64 bytes from 10.244.1.22: icmp_seq=4 ttl=62 time=384 ms
64 bytes from 10.244.1.22: icmp_seq=5 ttl=62 time=299 ms
64 bytes from 10.244.1.22: icmp_seq=6 ttl=62 time=216 ms
64 bytes from 10.244.1.22: icmp_seq=7 ttl=62 time=28.6 ms
64 bytes from 10.244.1.22: icmp_seq=8 ttl=62 time=9.91 ms
64 bytes from 10.244.1.22: icmp_seq=9 ttl=62 time=3.81 ms
64 bytes from 10.244.1.22: icmp_seq=10 ttl=62 time=6.12 ms
64 bytes from 10.244.1.22: icmp_seq=11 ttl=62 time=4.11 ms
64 bytes from 10.244.1.22: icmp_seq=12 ttl=62 time=5.70 ms
64 bytes from 10.244.1.22: icmp_seq=13 ttl=62 time=5.23 ms
64 bytes from 10.244.1.22: icmp_seq=14 ttl=62 time=10.4 ms
64 bytes from 10.244.1.22: icmp_seq=15 ttl=62 time=4.97 ms
64 bytes from 10.244.1.22: icmp_seq=16 ttl=62 time=11.3 ms
64 bytes from 10.244.1.22: icmp_seq=17 ttl=62 time=18.0 ms
64 bytes from 10.244.1.22: icmp_seq=18 ttl=62 time=8.21 ms
64 bytes from 10.244.1.22: icmp_seq=19 ttl=62 time=4.43 ms
64 bytes from 10.244.1.22: icmp_seq=20 ttl=62 time=9.69 ms
64 bytes from 10.244.1.22: icmp_seq=21 ttl=62 time=7.79 ms
64 bytes from 10.244.1.22: icmp_seq=22 ttl=62 time=7.83 ms
64 bytes from 10.244.1.22: icmp_seq=23 ttl=62 time=8.10 ms
64 bytes from 10.244.1.22: icmp_seq=24 ttl=62 time=8.03 ms
64 bytes from 10.244.1.22: icmp_seq=25 ttl=62 time=8.44 ms
64 bytes from 10.244.1.22: icmp_seq=26 ttl=62 time=28.2 ms
64 bytes from 10.244.1.22: icmp_seq=27 ttl=62 time=32.2 ms
64 bytes from 10.244.1.22: icmp_seq=28 ttl=62 time=41.5 ms
64 bytes from 10.244.1.22: icmp_seq=29 ttl=62 time=5.05 ms
64 bytes from 10.244.1.22: icmp_seq=30 ttl=62 time=10.5 ms
64 bytes from 10.244.1.22: icmp_seq=31 ttl=62 time=6.74 ms
64 bytes from 10.244.1.22: icmp_seq=32 ttl=62 time=46.2 ms
64 bytes from 10.244.1.22: icmp_seq=33 ttl=62 time=6.96 ms
64 bytes from 10.244.1.22: icmp_seq=34 ttl=62 time=4.96 ms
