timestamp,cpu_percent,mem_used_mb
1762583950.2752283,9.00,2528.23
1762583951.2765555,5.30,2528.23
1762583952.2785738,3.70,2527.43
1762583953.280752,6.20,2527.92
1762583954.2824602,5.80,2528.28
1762583955.2842667,6.90,2528.38
1762583956.2862847,5.30,2527.41
1762583957.2880912,7.30,2526.92
1762583958.2896397,3.60,2526.91
1762583959.2918181,5.80,2526.98
1762583960.293429,11.10,2528.17
1762583961.2953808,6.30,2528.17
1762583962.2972825,7.00,2528.14
1762583963.2991664,7.30,2528.14
1762583964.3031132,7.30,2528.10
1762583965.3054326,8.90,2528.92
1762583966.306223,10.50,2528.92
1762583967.3080814,4.80,2519.69
1762583968.3090417,5.90,2519.72
1762583969.3109953,5.80,2519.71
1762583970.3120131,12.00,2521.43
1762583971.3135686,12.20,2521.43
1762583972.3160317,5.80,2508.73
1762583973.318328,4.30,2509.70
1762583974.320482,8.70,2509.86
1762583975.322369,14.70,2511.82
1762583976.3239737,3.80,2511.82
1762583977.3261342,4.70,2511.82
1762583978.3271952,4.80,2511.82
1762583979.329036,4.80,2511.82
