PING 10.244.1.25 (10.244.1.25) 56(84) bytes of data.
64 bytes from 10.244.1.25: icmp_seq=1 ttl=62 time=356 ms
64 bytes from 10.244.1.25: icmp_seq=2 ttl=62 time=33.5 ms
64 bytes from 10.244.1.25: icmp_seq=3 ttl=62 time=39.6 ms
64 bytes from 10.244.1.25: icmp_seq=4 ttl=62 time=30.2 ms
64 bytes from 10.244.1.25: icmp_seq=5 ttl=62 time=32.9 ms
64 bytes from 10.244.1.25: icmp_seq=6 ttl=62 time=79.1 ms
64 bytes from 10.244.1.25: icmp_seq=7 ttl=62 time=31.0 ms
64 bytes from 10.244.1.25: icmp_seq=8 ttl=62 time=33.1 ms
64 bytes from 10.244.1.25: icmp_seq=9 ttl=62 time=37.3 ms
64 bytes from 10.244.1.25: icmp_seq=10 ttl=62 time=37.3 ms
64 bytes from 10.244.1.25: icmp_seq=11 ttl=62 time=37.7 ms
64 bytes from 10.244.1.25: icmp_seq=12 ttl=62 time=64.1 ms
64 bytes from 10.244.1.25: icmp_seq=13 ttl=62 time=48.3 ms
64 bytes from 10.244.1.25: icmp_seq=14 ttl=62 time=118 ms
64 bytes from 10.244.1.25: icmp_seq=15 ttl=62 time=249 ms
64 bytes from 10.244.1.25: icmp_seq=16 ttl=62 time=37.3 ms
64 bytes from 10.244.1.25: icmp_seq=17 ttl=62 time=32.8 ms
64 bytes from 10.244.1.25: icmp_seq=18 ttl=62 time=46.3 ms
64 bytes from 10.244.1.25: icmp_seq=19 ttl=62 time=48.3 ms
64 bytes from 10.244.1.25: icmp_seq=20 ttl=62 time=71.1 ms
64 bytes from 10.244.1.25: icmp_seq=21 ttl=62 time=29.2 ms
64 bytes from 10.244.1.25: icmp_seq=22 ttl=62 time=30.6 ms
64 bytes from 10.244.1.25: icmp_seq=23 ttl=62 time=34.2 ms
64 bytes from 10.244.1.25: icmp_seq=24 ttl=62 time=35.6 ms
64 bytes from 10.244.1.25: icmp_seq=25 ttl=62 time=35.8 ms
64 bytes from 10.244.1.25: icmp_seq=26 ttl=62 time=45.4 ms
64 bytes from 10.244.1.25: icmp_seq=27 ttl=62 time=67.3 ms
64 bytes from 10.244.1.25: icmp_seq=28 ttl=62 time=32.8 ms
64 bytes from 10.244.1.25: icmp_seq=29 ttl=62 time=36.4 ms
64 bytes from 10.244.1.25: icmp_seq=30 ttl=62 time=45.2 ms
64 bytes from 10.244.1.25: icmp_seq=31 ttl=62 time=37.9 ms
64 bytes from 10.244.1.25: icmp_seq=32 ttl=62 time=47.7 ms
64 bytes from 10.244.1.25: icmp_seq=33 ttl=62 time=31.0 ms
64 bytes from 10.244.1.25: icmp_seq=34 ttl=62 time=109 ms
64 bytes from 10.244.1.25: icmp_seq=35 ttl=62 time=35.6 ms
64 bytes from 10.244.1.25: icmp_seq=36 ttl=62 time=126 ms
64 bytes from 10.244.1.25: icmp_seq=37 ttl=62 time=234 ms
64 bytes from 10.244.1.25: icmp_seq=38 ttl=62 time=246 ms
64 bytes from 10.244.1.25: icmp_seq=39 ttl=62 time=33.8 ms
64 bytes from 10.244.1.25: icmp_seq=40 ttl=62 time=61.5 ms
64 bytes from 10.244.1.25: icmp_seq=41 ttl=62 time=188 ms
64 bytes from 10.244.1.25: icmp_seq=42 ttl=62 time=218 ms
64 bytes from 10.244.1.25: icmp_seq=43 ttl=62 time=460 ms
64 bytes from 10.244.1.25: icmp_seq=44 ttl=62 time=48.9 ms
64 bytes from 10.244.1.25: icmp_seq=45 ttl=62 time=322 ms
64 bytes from 10.244.1.25: icmp_seq=46 ttl=62 time=59.8 ms
64 bytes from 10.244.1.25: icmp_seq=47 ttl=62 time=392 ms
64 bytes from 10.244.1.25: icmp_seq=48 ttl=62 time=86.6 ms
64 bytes from 10.244.1.25: icmp_seq=49 ttl=62 time=888 ms
64 bytes from 10.244.1.25: icmp_seq=50 ttl=62 time=1484 ms
64 bytes from 10.244.1.25: icmp_seq=52 ttl=62 time=1265 ms
64 bytes from 10.244.1.25: icmp_seq=53 ttl=62 time=818 ms
64 bytes from 10.244.1.25: icmp_seq=54 ttl=62 time=1088 ms
64 bytes from 10.244.1.25: icmp_seq=55 ttl=62 time=2095 ms
64 bytes from 10.244.1.25: icmp_seq=56 ttl=62 time=1380 ms
64 bytes from 10.244.1.25: icmp_seq=57 ttl=62 time=1276 ms
