timestamp,cpu_percent,mem_used_mb
1762585476.291923,5.60,2556.75
1762585477.2982192,1.00,2556.75
1762585478.3013866,4.60,2549.58
1762585479.3217654,2.00,2549.57
1762585480.3298144,4.30,2549.79
1762585481.338529,14.10,2549.79
1762585482.3405306,2.60,2549.79
1762585483.34249,1.50,2549.79
1762585484.349584,6.90,2549.79
1762585485.3533711,10.90,2549.79
1762585486.3550768,9.80,2549.78
1762585487.356934,1.50,2549.78
1762585488.3600798,18.60,2549.78
1762585489.3902476,17.90,2547.12
1762585490.391374,2.60,2547.97
1762585491.3929522,6.60,2548.68
1762585492.3941984,2.50,2548.67
1762585493.3977408,2.50,2548.67
1762585494.4091134,5.60,2548.67
1762585495.4148552,2.60,2548.62
1762585496.4236279,11.60,2548.87
1762585497.4255009,2.60,2548.87
1762585498.4275384,2.60,2548.87
1762585499.4483662,3.10,2548.86
1762585500.4500954,1.50,2548.85
1762585501.4525187,3.50,2548.85
1762585502.455316,2.00,2548.85
1762585503.4575608,2.00,2548.85
1762585504.460195,5.10,2548.84
1762585505.4623973,1.50,2548.84
