timestamp,cpu_percent,mem_used_mb
1762588356.7994978,11.40,2358.27
1762588357.8014293,37.60,2382.56
1762588358.8035278,31.10,2386.23
1762588359.8054106,20.40,2384.80
1762588360.8072007,22.10,2385.99
1762588361.8090594,13.80,2385.96
1762588362.810436,28.20,2386.17
1762588363.8136342,14.90,2386.38
1762588364.8162918,11.30,2386.61
1762588365.8183513,6.70,2386.61
1762588366.8201892,13.80,2386.59
1762588367.8222864,11.30,2386.59
1762588368.8244016,24.90,2386.79
1762588369.827588,9.20,2379.39
1762588370.8296452,3.00,2379.39
1762588371.8318536,5.10,2380.09
1762588372.834336,4.10,2380.08
1762588373.8371818,5.10,2380.07
1762588374.839235,4.50,2380.07
1762588375.8415337,2.50,2380.08
1762588376.8440504,6.10,2380.29
1762588377.8462124,4.50,2373.12
1762588378.8491113,13.80,2373.29
1762588379.851452,4.60,2373.50
1762588380.8545375,2.00,2373.50
1762588381.8581939,5.10,2373.50
1762588382.8602254,3.50,2373.50
1762588383.8625615,3.60,2373.50
1762588384.865252,6.10,2366.80
1762588385.8674302,4.60,2366.10
